year,month,model_variant,model_label,direction,bin_idx,k_mid,n_days,loss_median,loss_mean,data_spectrum_mean,expected_spectrum_mean,expected_spectrum_profile_mean,continuous_spectrum_mean,continuous_spectrum_profile_mean,ratio_I_over_EI_mean,ratio_I_over_EI_median,ratio_I_over_EI_p10,ratio_I_over_EI_p90,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_median,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_EI_over_continuous_mean,ratio_EI_over_continuous_median,ratio_EI_over_continuous_p10,ratio_EI_over_continuous_p90,whitened_ratio_mean,whitened_ratio_median,whitened_ratio_p10,whitened_ratio_p90,global_scale_mean,profile_sigmasq_mean
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,18,3.198703,30,,,0.258914,0.334308,0.322295,0.319462,0.308762,0.796263,0.723971,0.550108,1.067940,0.819500,0.752736,0.561296,1.123786,1.042580,1.017150,1.004981,1.127607,0.840051,0.747088,0.597090,1.193585,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,19,3.371606,30,,,0.263468,0.291361,0.281163,0.279182,0.269985,0.910988,0.948948,0.624426,1.220745,0.937309,0.948970,0.634925,1.265262,1.040560,1.015525,1.005180,1.101126,0.920144,0.903176,0.627679,1.236813,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,20,3.544509,30,,,0.225395,0.262421,0.253334,0.251344,0.243173,0.873031,0.866776,0.536696,1.292344,0.896130,0.866192,0.592477,1.343630,1.041485,1.016513,1.005950,1.100415,0.860814,0.836306,0.592710,1.257545,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,21,3.717412,30,,,0.223828,0.252690,0.243977,0.241626,0.233811,0.889425,0.929324,0.519709,1.284143,0.917965,0.920454,0.521502,1.304753,1.043719,1.016328,1.005537,1.139926,0.916450,0.885746,0.534229,1.305044,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,22,3.890315,30,,,0.213090,0.221902,0.214357,0.211859,0.205125,0.979970,0.877654,0.637155,1.609384,1.003309,0.883787,0.674977,1.572315,1.045745,1.016553,1.005528,1.154325,0.990937,0.909682,0.709116,1.460170,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,23,4.063217,30,,,0.168485,0.204203,0.197245,0.194127,0.188027,0.839101,0.780334,0.453473,1.334700,0.860233,0.774012,0.482029,1.346659,1.050712,1.016014,1.005871,1.154936,0.855338,0.779670,0.482676,1.316672,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,24,4.236120,30,,,0.169711,0.191050,0.184630,0.181934,0.176268,0.877353,0.770912,0.578797,1.306265,0.901934,0.783340,0.623967,1.371262,1.048583,1.016194,1.006062,1.143768,0.897323,0.781700,0.651969,1.353853,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,25,4.409023,30,,,0.155546,0.179713,0.173703,0.170792,0.165520,0.869585,0.871920,0.514371,1.216329,0.897349,0.919018,0.528198,1.262106,1.051019,1.015591,1.006367,1.164222,0.896981,0.928188,0.524495,1.224404,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,26,4.581926,30,,,0.152278,0.163027,0.157571,0.154224,0.149532,0.911889,0.932314,0.548179,1.283401,0.935570,0.945297,0.551414,1.246126,1.056869,1.016770,1.006971,1.199469,0.935122,0.964529,0.538798,1.243089,0.970030,17.465490
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,27,4.754829,30,,,0.137071,0.152310,0.147292,0.144063,0.139723,0.898842,0.916684,0.435384,1.342397,0.925710,0.928125,0.457488,1.380139,1.057040,1.018212,1.007516,1.189770,0.929569,0.935335,0.469499,1.405791,0.970030,17.465490
