year,month,model_variant,model_label,parameter,n,mean,median,sd,p10,p90
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,sigmasq,30,18.405160,17.626406,9.483347,7.991355,29.818473
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,sigmasq,30,13.723045,13.511395,6.435578,6.488220,21.296744
2023,7,matern_s03,Matern s=0.3 nugget0,sigmasq,30,11.454091,11.547992,3.796721,6.965137,16.654552
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,range_lat,30,0.227849,0.169370,0.206474,0.046523,0.543950
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,range_lat,30,0.384761,0.300990,0.316578,0.097381,0.863400
2023,7,matern_s03,Matern s=0.3 nugget0,range_lat,30,0.288586,0.253886,0.163270,0.123249,0.539276
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,range_lon,30,0.272729,0.202918,0.251343,0.062118,0.647044
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,range_lon,30,0.460422,0.362002,0.384781,0.129046,1.043455
2023,7,matern_s03,Matern s=0.3 nugget0,range_lon,30,0.341625,0.287607,0.187964,0.157832,0.613572
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,range_time,30,1.233740,0.941415,0.935994,0.514258,2.455263
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,range_time,30,2.127778,1.735088,1.379099,1.069955,3.865023
2023,7,matern_s03,Matern s=0.3 nugget0,range_time,30,1.749728,1.683304,0.495464,1.155081,2.373106
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,advec_lat,30,0.002692,0.003872,0.050060,-0.025335,0.033760
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,advec_lat,30,0.002369,0.003862,0.050522,-0.025595,0.033526
2023,7,matern_s03,Matern s=0.3 nugget0,advec_lat,30,0.004569,0.003102,0.040917,-0.026016,0.034760
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,advec_lon,30,-0.091496,-0.063637,0.117377,-0.264655,0.009383
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,advec_lon,30,-0.091407,-0.063134,0.116693,-0.263957,0.008878
2023,7,matern_s03,Matern s=0.3 nugget0,advec_lon,30,-0.093207,-0.057522,0.113249,-0.263550,0.006249
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,nugget,30,0.000000,0.000000,0.000000,0.000000,0.000000
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,nugget,30,0.000000,0.000000,0.000000,0.000000,0.000000
2023,7,matern_s03,Matern s=0.3 nugget0,nugget,30,0.000000,0.000000,0.000000,0.000000,0.000000
