year,month,model_variant,model_label,direction,frequency_band,bin_idx_min,bin_idx_max,k_mid_mean,n_bins,ratio_I_over_EI_mean,ratio_I_over_EI_median,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_median,ratio_EI_over_continuous_mean,ratio_EI_over_continuous_median,whitened_ratio_mean,data_spectrum_mean,expected_spectrum_mean,expected_spectrum_profile_mean,continuous_spectrum_mean,continuous_spectrum_profile_mean
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,high_frequency_band,64,79,12.424306,14,0.864338,0.847934,0.889855,0.896884,1.064903,1.020339,0.894066,0.050844,0.058798,0.057097,0.055573,0.054140
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,low_frequency_bins_1_5,1,5,0.605160,4,0.636227,0.535099,0.653642,0.552943,1.027655,1.015979,1.093305,16.691428,25.737508,24.348969,24.616977,23.310159
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,lowest_frequency_bin,0,0,0.086451,1,1.399682,1.197758,1.420538,1.207074,0.853349,0.850665,3.041146,736.542751,903.920043,845.921271,2714.492285,2529.562625
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,diag,mid_frequency_band,28,43,6.224503,16,0.930220,0.890738,0.957142,0.909337,1.058152,1.018824,0.956810,0.097482,0.105072,0.101775,0.099556,0.096716
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,lat,high_frequency_band,64,79,10.250947,12,2.220927,1.816345,2.260003,1.919362,74633170095004973653614293049123484506928078942564772770127693194429102449711716098678853833552031111901968921137769617622871304217440885285231541335266276667855242877215477738098300966570229436754022020612175388865864643539299212664040289333276263008814777947646113362272236144093976426934075129856.000000,5.721069,3.847713,0.404411,0.230327,0.217856,0.033801,0.033694
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,lat,low_frequency_bins_1_5,1,5,0.497159,4,1.275251,0.980390,1.299134,1.006492,2.185393,1.884244,1.807997,64.408816,55.156450,51.992376,25.523142,24.305964
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,lat,lowest_frequency_bin,0,0,0.071023,1,0.570629,0.281013,0.601820,0.275937,0.296355,0.304491,0.259854,1637.397741,2176.738603,2034.538372,7678.326081,7150.463953
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,lat,mid_frequency_band,28,43,5.089962,12,2.008354,1.642440,2.047142,1.710927,115829728894742527053078294471462142259186580173770683650118637576195824282494684987265211512399460896907767793387404595462194741736862157817095694638540440090940694060876132991769557672267033472412244858471382776124444133933400659712743554122146907344915198211381401175052164571558544191578817167360.000000,3.880896,2.107995,0.647303,0.390406,0.370556,0.078904,0.078409
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,lon,high_frequency_band,64,79,7.097934,16,0.838617,0.734704,0.852072,0.748789,15798078788172780399054662851654841135006123462800650099297070207511341428744312561285765835647477386936207037448736773090365747325350186448123417667197634815789655992116035442825193702194867635605605077836322349494074512043710578782711768246023457102668359574084996360298425824399585827634385256448.000000,2.168355,0.996777,0.111730,0.156500,0.149109,0.057135,0.056472
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,lon,low_frequency_bins_1_5,1,5,0.345038,5,1.346789,0.866420,1.359779,0.877718,1.314032,1.273763,2.547828,88.036786,88.450938,83.330450,71.972766,68.001605
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,lon,lowest_frequency_bin,0,0,0.049291,1,0.570629,0.281013,0.601820,0.275937,0.296355,0.304491,0.259854,1637.397741,2176.738603,2034.538372,7678.326081,7150.463953
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,lon,mid_frequency_band,28,43,3.548967,16,0.997170,0.778105,1.013852,0.810317,5035890235115834934365688971626594435907676949973696057010546451848258582062416316631991131314061146023654434641003736118368345418593279739178403612933860517148393718087732600172797860662540270263322852198726188479093630237362678789989280378549928832348332193974428607954506676237856286459960492032.000000,1.798815,0.950405,0.324197,0.362005,0.345346,0.162686,0.159574
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,norm,high_frequency_band,64,79,12.449007,16,0.875518,0.882392,0.901107,0.905505,45319994568059983487508609257307377426843085909806031044158662336633694177364462143167431673980900639378474586855647359404954258069622295987314709191791822019028164259594155529518802535887416515331314690727732359068505171153850235891902336281248793385920376327759011661276009230973714335304515584.000000,1.021167,0.905988,0.052540,0.059662,0.057926,0.056146,0.054697
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,norm,low_frequency_bins_1_5,1,5,0.605160,5,1.004307,0.896991,1.028511,0.896689,1.193132,1.124091,1.443274,27.324740,26.051231,24.620977,20.869118,19.798395
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,norm,lowest_frequency_bin,0,0,0.086451,1,1.399682,1.197758,1.420538,1.207074,0.853349,0.850665,3.041146,736.542751,903.920043,845.921271,2714.492285,2529.562625
2023,7,gc_a075_b05,GC a=0.75 b=0.5 nugget0,norm,mid_frequency_band,28,43,6.224503,16,1.012940,1.021426,1.043624,1.041000,650155591673562106406349190923481953357054870086577631866375855830634818683812755030175360400874608434911977941189081383516204041699884054364618223712301429938109931905230115164244856799098455101350537636015147197020803990184512301319752722965260441782701506242353711675776182008256061195644043264.000000,1.072834,1.048967,0.110782,0.109472,0.105840,0.097728,0.094972
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,diag,high_frequency_band,64,79,12.424306,14,0.883042,0.869968,0.895248,0.903832,1.046639,1.015700,0.896160,0.050866,0.057519,0.056798,0.055196,0.054606
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,diag,low_frequency_bins_1_5,1,5,0.605160,4,0.750980,0.595414,0.757964,0.611502,1.003076,1.001083,1.134090,16.268859,21.202847,20.451884,21.073538,20.334454
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,diag,lowest_frequency_bin,0,0,0.086451,1,2.431849,1.745984,2.424129,1.777664,0.761701,0.764680,3.399770,404.447842,369.713365,352.247984,876.777594,831.336334
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,diag,mid_frequency_band,28,43,6.224503,16,0.938308,0.896376,0.950962,0.912647,1.041094,1.013969,0.948203,0.097347,0.103843,0.102362,0.099934,0.098672
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,lat,high_frequency_band,64,79,10.250947,12,3.594109,3.035696,3.623222,3.120799,16717462062442039377722013645207308123645821434399314063760296375354724333141811859747679261161831292785645113220649955536530668638631922232407684286645288818548611840127522707028794473623012302930917128775789467221280316657118679714796866331674342263096477563905087981661884723814955193020488613888.000000,2.105066,4.112010,0.399345,0.125402,0.121777,0.047154,0.047254
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,lat,low_frequency_bins_1_5,1,5,0.497159,4,1.532563,1.200161,1.540042,1.197942,1.469286,1.365075,1.921420,57.418711,40.779418,39.191215,26.801300,25.921916
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,lat,lowest_frequency_bin,0,0,0.071023,1,0.646516,0.264108,0.667092,0.269192,0.361179,0.371031,0.269322,656.161541,754.247274,717.034825,2266.161361,2145.185658
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,lat,mid_frequency_band,28,43,5.089962,12,2.730287,2.169988,2.754526,2.202872,19515106457662631333688433249775101539147707981688643435089332295846372864747247760244405568189749967609437782788680525148235493812234024063015208001212213045100128600873045405592046649710737227707100033324747917008516694338518713018744336689117727647908444860450959010138959440124078408530395136000.000000,1.825160,2.367504,0.635186,0.264240,0.257118,0.115417,0.115356
2023,7,gc_a075_b1,GC a=0.75 b=1 nugget0,lon,high_frequency_band,64,79,7.097934,16,1.061999,0.956870,1.067957,0.969252,1.888868,1.363756,1.094724,0.109911,0.112089,0.109573,0.070532,0.070114
