method,seed_lat,seed_lon,seed_total_s,subgrid_used,selection_reason,quadratic_residual_df,lat_step,lon_step,fft_surface_s,q3_extra_s,q5_extra_s,initializer_wall_s,dataset_id,direction_deg_grid,speed_cells,signal_regime,replicate,true_advec_lat,true_advec_lon,seed_error_euclid,seed_angle_error_deg,seed_norm,true_advec_norm,seed_norm_abs_error,correct_quadrant,seed_error_grid_cells,grid_seed_lat,grid_seed_lon,delta_lat_cells,delta_lon_cells,hessian_condition_cells,hessian_eigenvalue_min_cells,quadratic_residual_rmse
M3_fft,0.0440000000,0.0000000000,0.0025507920,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0025507920,0.0001701250,0.0001052500,0.0033915830,a022_s0p75_strong_r00,22.5000000000,0.7500000000,strong,0,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
M3_fft_Q3,0.0295377535,0.0243315472,0.0027209170,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0025507920,0.0001701250,0.0001052500,0.0033915830,a022_s0p75_strong_r00,22.5000000000,0.7500000000,strong,0,0.0304880246,0.0180817922,0.0063215862,8.8085165618,0.0382688264,0.0354467326,0.0028220938,True,0.1015261618,0.0440000000,0.0000000000,-0.3286874197,0.3862150346,1.1131119212,0.3699923186,0.0056333026
M3_fft_Q5,0.0295904307,0.0248913556,0.0026560420,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0025507920,0.0001701250,0.0001052500,0.0033915830,a022_s0p75_strong_r00,22.5000000000,0.7500000000,strong,0,0.0304880246,0.0180817922,0.0068684663,9.3991479463,0.0386674692,0.0354467326,0.0032207366,True,0.1099965306,0.0440000000,0.0000000000,-0.3274902110,0.3951008828,1.1169984447,0.3239797522,0.0302883394
M3_fft,0.0440000000,0.0000000000,0.0024080420,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0024080420,0.0001145830,0.0000968340,0.0031687500,a022_s0p75_strong_r01,22.5000000000,0.7500000000,strong,1,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
M3_fft_Q3,0.0329969736,0.0261371086,0.0025226250,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0024080420,0.0001145830,0.0000968340,0.0031687500,a022_s0p75_strong_r01,22.5000000000,0.7500000000,strong,1,0.0304880246,0.0180817922,0.0084369988,7.7116956298,0.0420945212,0.0354467326,0.0066477886,True,0.1400006880,0.0440000000,0.0000000000,-0.2500687824,0.4148747399,1.0255501053,0.4570033815,0.0058352953
M3_fft_Q5,0.0336156506,0.0262391649,0.0025048760,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0024080420,0.0001145830,0.0000968340,0.0031687500,a022_s0p75_strong_r01,22.5000000000,0.7500000000,strong,1,0.0304880246,0.0180817922,0.0087364052,7.3030460301,0.0426439415,0.0354467326,0.0071972089,True,0.1477102744,0.0440000000,0.0000000000,-0.2360079401,0.4164946815,1.0500000699,0.3996504298,0.0354334822
M3_fft,0.0440000000,0.0000000000,0.0023737500,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0023737500,0.0001095410,0.0000965000,0.0031265830,a022_s0p75_strong_r02,22.5000000000,0.7500000000,strong,2,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
M3_fft_Q3,0.0346927395,0.0291549659,0.0024832910,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0023737500,0.0001095410,0.0000965000,0.0031265830,a022_s0p75_strong_r02,22.5000000000,0.7500000000,strong,2,0.0304880246,0.0180817922,0.0118446107,9.3716386756,0.0453166438,0.0354467326,0.0098699112,True,0.2000631282,0.0440000000,0.0000000000,-0.2115286485,0.4627772362,1.2937136236,0.3209564578,0.0061186576
M3_fft_Q5,0.0352913832,0.0301204576,0.0024702500,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0023737500,0.0001095410,0.0000965000,0.0031265830,a022_s0p75_strong_r02,22.5000000000,0.7500000000,strong,2,0.0304880246,0.0180817922,0.0129615477,9.8087948056,0.0463974535,0.0354467326,0.0109507210,True,0.2200746397,0.0440000000,0.0000000000,-0.1979231086,0.4781025015,1.2897618429,0.2815950239,0.0302865310
M3_fft,0.0440000000,0.0000000000,0.0023470000,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0023470000,0.0001035000,0.0000938340,0.0030852920,a022_s0p75_strong_r03,22.5000000000,0.7500000000,strong,3,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
M3_fft_Q3,0.0313982241,0.0262332971,0.0024505000,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0023470000,0.0001035000,0.0000938340,0.0030852920,a022_s0p75_strong_r03,22.5000000000,0.7500000000,strong,3,0.0304880246,0.0180817922,0.0082021641,9.2075746731,0.0409149649,0.0354467326,0.0054682324,True,0.1310321718,0.0440000000,0.0000000000,-0.2864039970,0.4164015415,1.3435890966,0.3428580126,0.0059662261
M3_fft_Q5,0.0311318276,0.0275710926,0.0024408340,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0023470000,0.0001035000,0.0000938340,0.0030852920,a022_s0p75_strong_r03,22.5000000000,0.7500000000,strong,3,0.0304880246,0.0180817922,0.0095111148,10.8576018680,0.0415855244,0.0354467326,0.0061387918,True,0.1513328321,0.0440000000,0.0000000000,-0.2924584633,0.4376363903,1.3455344831,0.2927743123,0.0359794048
M3_fft,0.0440000000,0.0000000000,0.0029950000,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0029950000,0.0001011250,0.0000872910,0.0037354170,a022_s0p75_strong_r04,22.5000000000,0.7500000000,strong,4,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
M3_fft_Q3,0.0339626353,0.0119841506,0.0030961250,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0029950000,0.0001011250,0.0000872910,0.0037354170,a022_s0p75_strong_r04,22.5000000000,0.7500000000,strong,4,0.0304880246,0.0180817922,0.0070181302,11.2352271581,0.0360150033,0.0354467326,0.0005682707,True,0.1249156583,0.0440000000,0.0000000000,-0.2281219249,0.1902246132,1.0774283289,0.4215719641,0.0043480131
M3_fft_Q5,0.0343000256,0.0112357325,0.0030822910,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0029950000,0.0001011250,0.0000872910,0.0037354170,a022_s0p75_strong_r04,22.5000000000,0.7500000000,strong,4,0.0304880246,0.0180817922,0.0078358079,12.5339148507,0.0360933989,0.0354467326,0.0006466663,True,0.1389766667,0.0440000000,0.0000000000,-0.2204539631,0.1783449608,1.0479751825,0.3721226892,0.0320439636
M3_fft,0.0440000000,0.0630000000,0.0033822920,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0033822920,0.0001208750,0.0001011670,0.0040877920,a022_s0p75_reference_r00,22.5000000000,0.7500000000,reference,0,0.0304880246,0.0180817922,0.0469064907,24.3977939643,0.0768439978,0.0354467326,0.0413972652,True,0.7763089286,,,,,,,
M3_fft_Q3,0.0378755883,0.0317248895,0.0035031670,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0033822920,0.0001208750,0.0001011670,0.0040877920,a022_s0p75_reference_r00,22.5000000000,0.7500000000,reference,0,0.0304880246,0.0180817922,0.0155148381,9.2785363431,0.0494067688,0.0354467326,0.0139600362,True,0.2740202746,0.0440000000,0.0630000000,-0.1391911741,-0.4964303261,1.2713745167,0.2413951499,0.0037124219
M3_fft_Q5,0.0386872023,0.0340646218,0.0034834590,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0033822920,0.0001208750,0.0001011670,0.0040877920,a022_s0p75_reference_r00,22.5000000000,0.7500000000,reference,0,0.0304880246,0.0180817922,0.0179632223,10.6931002479,0.0515470472,0.0354467326,0.0161003146,True,0.3147792110,0.0440000000,0.0630000000,-0.1207454033,-0.4592917177,1.2640860554,0.2173507057,0.0238309042
M3_fft,0.0440000000,0.0000000000,0.0028948750,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0028948750,0.0001098750,0.0000963750,0.0036342080,a022_s0p75_reference_r01,22.5000000000,0.7500000000,reference,1,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
M3_fft_Q3,0.0362158667,0.0266481267,0.0030047500,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0028948750,0.0001098750,0.0000963750,0.0036342080,a022_s0p75_reference_r01,22.5000000000,0.7500000000,reference,1,0.0304880246,0.0180817922,0.0103048659,5.6748709188,0.0449634480,0.0354467326,0.0095167154,True,0.1882423481,0.0440000000,0.0000000000,-0.1769121199,0.4229861374,1.3343475488,0.2625025457,0.0029823452
M3_fft_Q5,0.0370254610,0.0277122030,0.0029912500,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0028948750,0.0001098750,0.0000963750,0.0036342080,a022_s0p75_reference_r01,22.5000000000,0.7500000000,reference,1,0.0304880246,0.0180817922,0.0116397117,6.1422419083,0.0462477130,0.0354467326,0.0108009804,True,0.2131730563,0.0440000000,0.0000000000,-0.1585122500,0.4398762388,1.3366560397,0.2386201582,0.0171892922
M3_fft,0.0440000000,0.0000000000,0.0033621660,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0033621660,0.0000967090,0.0000867920,0.0040797080,a022_s0p75_reference_r02,22.5000000000,0.7500000000,reference,2,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
M3_fft_Q3,0.0290506945,0.0133931298,0.0034588750,True,accepted,3.0000000000,0.0440000000,0.0630000000,0.0033621660,0.0000967090,0.0000867920,0.0040797080,a022_s0p75_reference_r02,22.5000000000,0.7500000000,reference,2,0.0304880246,0.0180817922,0.0049040262,5.9203315780,0.0319893541,0.0354467326,0.0034573785,True,0.0812768166,0.0440000000,0.0000000000,-0.3397569433,0.2125893612,1.1564810658,0.2602018060,0.0036409182
M3_fft_Q5,0.0294093793,0.0122325500,0.0034489580,True,accepted,19.0000000000,0.0440000000,0.0630000000,0.0033621660,0.0000967090,0.0000867920,0.0040797080,a022_s0p75_reference_r02,22.5000000000,0.7500000000,reference,2,0.0304880246,0.0180817922,0.0059478660,8.0868677273,0.0318519524,0.0354467326,0.0035947802,True,0.0960269968,0.0440000000,0.0000000000,-0.3316050154,0.1941674596,1.1374292702,0.2339788969,0.0208792648
M3_fft,0.0440000000,0.0000000000,0.0030086670,False,discrete_fft_argmin,,0.0440000000,0.0630000000,0.0030086670,0.0001068330,0.0000960830,0.0036920830,a022_s0p75_reference_r03,22.5000000000,0.7500000000,reference,3,0.0304880246,0.0180817922,0.0225726536,30.6712687346,0.0440000000,0.0354467326,0.0085532674,False,0.4203340353,,,,,,,
