method,n,mean_seed_error,median_seed_error,mean_error_cells,median_error_cells,mean_angle_error_deg,correct_quadrant_rate,mean_seed_s,subgrid_use_rate
M3_fft,360,0.0318732089,0.0302207218,0.5874996610,0.5593925650,13.8828686076,0.6555555556,0.0028283684,0.0000000000
M3_fft_Q3,360,0.0206214779,0.0146978515,0.3809788473,0.2660821837,8.8306250376,0.9444444444,0.0029132780,0.9527777778
M3_fft_Q5,360,0.0211698881,0.0153030787,0.3909519980,0.2852724781,9.1091254891,0.9444444444,0.0029141026,0.9583333333
