tile_y,tile_x,tile_id,tile_center_lat,tile_center_lon,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,dist_to_nadir_deg,dist_to_nadir_km,n_days,n_hours,mean_tile_nugget,median_tile_nugget,sd_tile_nugget
0,0,0,15.6495,123.8094,15.0280,16.2710,123.0130,124.6057,4.5790,509.1753,31,241,0.6220,0.1804,0.7587
0,1,1,15.6495,125.4226,15.0280,16.2710,124.6195,126.2258,3.2544,361.4729,31,242,0.5322,0.4094,0.5901
0,2,2,15.6495,127.0093,15.0280,16.2710,126.2101,127.8086,2.3822,264.0597,31,246,0.8591,0.8077,0.7492
0,3,3,15.6495,128.5944,15.0280,16.2710,127.7972,129.3918,2.4401,270.5768,31,248,0.6797,0.5072,0.6663
0,4,4,15.6495,130.1891,15.0280,16.2710,129.3918,130.9864,3.0890,342.8788,31,248,0.5333,0.4682,0.4303
0,5,5,15.6495,131.7837,15.0280,16.2710,130.9864,132.5810,4.1224,458.0869,31,248,0.5894,0.4707,0.6130
0,6,6,15.6495,133.3783,15.0280,16.2710,132.5810,134.1757,5.4042,600.9751,31,248,0.6493,0.2980,0.6719
0,7,7,15.6495,134.9729,15.0280,16.2710,134.1757,135.7702,6.8005,756.5567,31,248,0.6525,0.5239,0.6336
1,0,8,16.8925,123.8106,16.2710,17.5140,123.0133,124.6079,4.2302,470.8464,31,248,1.2191,0.9232,1.3339
1,1,9,16.8925,125.4226,16.2710,17.5140,124.6195,126.2258,2.7219,302.8984,31,242,1.0829,0.8202,1.1454
1,2,10,16.8925,127.0243,16.2710,17.5140,126.2221,127.8266,1.4570,161.9010,31,239,1.1634,1.3462,0.9450
1,3,11,16.8925,128.6282,16.2710,17.5140,127.8261,129.4303,1.6909,188.0603,31,243,1.0601,0.9750,1.0062
1,4,12,16.8925,130.1891,16.2710,17.5140,129.3918,130.9864,2.2865,254.2724,31,248,1.0690,0.7404,1.1355
1,5,13,16.8925,131.7732,16.2710,17.5140,130.9768,132.5696,3.5118,390.7866,31,247,1.0574,1.0057,0.9358
1,6,14,16.8925,133.4031,16.2710,17.5140,132.6039,134.2023,5.0181,558.5362,31,246,0.9925,0.8396,0.8079
1,7,15,16.8925,134.9729,16.2710,17.5140,134.1757,135.7702,6.4982,723.3294,31,248,0.9253,0.6800,0.9202
2,0,16,18.1355,123.8115,17.5140,18.7570,123.0133,124.6098,4.2335,471.1976,31,243,1.4967,1.4927,1.5332
2,1,17,18.1355,125.4052,17.5140,18.7570,124.6079,126.2025,2.7449,305.4396,31,246,1.1052,0.9732,1.1232
2,2,18,18.1355,127.0093,17.5140,18.7570,126.2101,127.8086,1.4858,165.1009,31,246,1.1144,1.0518,0.8734
2,3,19,18.1355,128.6213,17.5140,18.7570,127.8202,129.4225,1.7001,189.0765,31,244,1.1099,0.8235,0.8598
2,4,20,18.1355,130.1976,17.5140,18.7570,129.3993,130.9959,2.3091,256.7837,31,247,1.2130,1.1155,1.1050
2,5,21,18.1355,131.7837,17.5140,18.7570,130.9864,132.5810,3.5306,392.8694,31,248,0.8733,0.7516,0.7848
2,6,22,18.1355,133.3660,17.5140,18.7570,132.5696,134.1624,4.9884,555.2143,31,247,0.8816,0.8753,0.7699
2,7,23,18.1355,134.9729,17.5140,18.7570,134.1757,135.7702,6.5019,723.7283,31,248,1.0979,0.8867,1.0654
3,0,24,19.3785,123.8106,18.7570,20.0000,123.0133,124.6079,4.5894,510.3127,31,248,1.0224,0.6587,1.1692
3,1,25,19.3785,125.4052,18.7570,20.0000,124.6079,126.2025,3.2843,364.7902,31,248,1.0812,0.7073,1.1309
3,2,26,19.3785,126.9998,18.7570,20.0000,126.2025,127.7972,2.4095,267.0753,31,248,1.0486,0.7922,0.8702
3,3,27,19.3785,128.5944,18.7570,20.0000,127.7972,129.3918,2.4616,272.9487,31,248,0.8983,0.6450,0.7555
3,4,28,19.3785,130.1891,18.7570,20.0000,129.3918,130.9864,3.1090,345.0868,31,248,0.7876,0.6336,0.6749
3,5,29,19.3785,131.7837,18.7570,20.0000,130.9864,132.5810,4.1391,459.9266,31,248,0.6232,0.4587,0.5552
3,6,30,19.3785,133.3783,18.7570,20.0000,132.5810,134.1757,5.4169,602.3731,31,248,0.7033,0.4672,0.7019
3,7,31,19.3785,134.9729,18.7570,20.0000,134.1757,135.7702,6.8104,757.6363,31,248,0.6627,0.3444,0.8237
