tile_y,tile_x,tile_id,n_days,n_hours,mean_tile_nugget,median_tile_nugget,sd_tile_nugget,mean_ratio_to_global,median_ratio_to_global,mean_tile_n,tile_center_x,tile_center_y,tile_center_lon,tile_center_lat,tile_x_min,tile_x_max,tile_y_min,tile_y_max,tile_lon_min,tile_lon_max,tile_lat_min,tile_lat_max,dist_to_nadir_deg,dist_to_nadir_km
0,0,0,31,247,0.2919,0.0406,0.4893,63027.1924,4.3888,662.0893,123.8094,15.6495,123.8094,15.6495,123.0130,124.6059,15.0280,16.2710,123.0130,124.6059,15.0280,16.2710,4.5789,509.1684
0,1,1,31,246,0.3220,0.1433,0.4810,88168.3055,8145.2621,649.0271,125.4051,15.6495,125.4051,15.6495,124.6078,126.2025,15.0280,16.2710,124.6078,126.2025,15.0280,16.2710,3.2680,362.9919
0,2,2,31,242,0.3452,0.1667,0.4445,55008.2697,5257.4599,676.8116,127.0192,15.6495,127.0192,15.6495,126.2180,127.8205,15.0280,16.2710,126.2180,127.8205,15.0280,16.2710,2.3778,263.5697
0,3,3,31,244,0.2394,0.0942,0.2853,22725.2200,1834.6844,675.7108,128.6081,15.6495,128.6081,15.6495,127.8088,129.4074,15.0280,16.2710,127.8088,129.4074,15.0280,16.2710,2.4425,270.8433
0,4,4,31,245,0.1872,0.1434,0.2242,33158.4767,3601.7048,655.0518,130.1980,15.6495,130.1980,15.6495,129.3997,130.9963,15.0280,16.2710,129.3997,130.9963,15.0280,16.2710,3.0946,343.5024
0,5,5,31,247,0.3127,0.1920,0.3899,94983.0153,7972.7335,654.2782,131.7737,15.6495,131.7737,15.6495,130.9773,132.5702,15.0280,16.2710,130.9773,132.5702,15.0280,16.2710,4.1147,457.2307
0,6,6,31,247,0.3424,0.1329,0.5137,37922.2413,3757.6714,652.7350,133.3665,15.6495,133.3665,15.6495,132.5702,134.1630,15.0280,16.2710,132.5702,134.1630,15.0280,16.2710,5.3941,599.8472
0,7,7,31,247,0.2480,0.0741,0.3644,64634.4435,9482.8836,590.3018,134.9594,15.6495,134.9594,15.6495,134.1630,135.7558,15.0280,16.2710,134.1630,135.7558,15.0280,16.2710,6.7884,755.2005
1,0,8,31,247,0.3474,0.0806,0.6426,62327.1817,3687.0736,630.2229,123.8094,16.8925,123.8094,16.8925,123.0130,124.6059,16.2710,17.5140,123.0130,124.6059,16.2710,17.5140,4.2313,470.9660
1,1,9,31,245,0.3306,0.2182,0.3951,217837.8193,20688.5138,631.8950,125.4080,16.8925,125.4080,16.8925,124.6097,126.2064,16.2710,17.5140,124.6097,126.2064,16.2710,17.5140,2.7355,304.4104
