tile_y,tile_x,tile_id,tile_center_lat,tile_center_lon,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,dist_to_nadir_deg,dist_to_nadir_km,n_days,n_hours,mean_tile_nugget,median_tile_nugget,sd_tile_nugget
0,0,0,15.6495,123.6922,15.0280,16.2710,123.0130,124.3714,4.6811,520.5598,31,248,0.7672,0.2754,0.8957
0,1,1,15.6495,125.0507,15.0280,16.2710,124.3714,125.7299,3.5437,393.7440,31,248,0.5289,0.3316,0.5279
0,2,2,15.6495,126.4091,15.0280,16.2710,125.7299,127.0883,2.6559,294.6548,31,248,0.5237,0.3788,0.5185
0,3,3,15.6495,127.7572,15.0280,16.2710,127.0795,128.4350,2.3163,256.7399,31,243,0.6322,0.3792,0.6494
0,4,4,15.6495,129.1302,15.0280,16.2710,128.4505,129.8099,2.4694,273.7154,31,247,0.4496,0.3009,0.5395
0,5,5,15.6495,130.4948,15.0280,16.2710,129.8146,131.1750,3.1040,344.5133,31,246,0.6446,0.3968,0.6609
0,6,6,15.6495,131.8613,15.0280,16.2710,131.1807,132.5420,4.0825,453.6889,31,245,0.7974,0.5428,0.7567
0,7,7,15.6495,133.2013,15.0280,16.2710,132.5221,133.8805,5.1959,577.8095,31,248,0.6595,0.6205,0.5657
1,0,8,16.8925,123.6937,16.2710,17.5140,123.0130,124.3743,4.3406,483.1326,31,245,1.2722,1.2126,1.0900
1,1,9,16.8925,125.0549,16.2710,17.5140,124.3743,125.7356,3.0633,340.9111,31,245,0.8721,0.7080,0.7427
1,2,10,16.8925,126.4114,16.2710,17.5140,125.7318,127.0912,1.9087,212.2765,31,247,0.7879,0.7611,0.7314
1,3,11,16.8925,127.7675,16.2710,17.5140,127.0883,128.4467,1.5070,167.5739,31,248,0.8415,0.5032,1.0017
1,4,12,16.8925,129.1388,16.2710,17.5140,128.4581,129.8194,1.4582,161.9718,31,245,0.7111,0.4406,0.7339
1,5,13,16.8925,130.4844,16.2710,17.5140,129.8052,131.1637,2.3193,257.9871,31,248,0.6646,0.5078,0.6595
1,6,14,16.8925,131.8551,16.2710,17.5140,131.1750,132.5353,3.5585,396.0272,31,246,0.7460,0.5617,0.6669
1,7,15,16.8925,133.2154,16.2710,17.5140,132.5353,133.8956,4.8322,537.8445,31,246,0.8756,0.7412,0.6396
2,0,16,18.1355,123.6937,17.5140,18.7570,123.0130,124.3743,4.3446,483.5737,31,245,1.0903,0.9571,1.0196
2,1,17,18.1355,125.0564,17.5140,18.7570,124.3752,125.7375,3.0679,341.4135,31,244,0.8345,0.7805,0.6438
2,2,18,18.1355,126.4138,17.5140,18.7570,125.7337,127.0940,1.9195,213.4675,31,246,0.6340,0.4001,0.5157
2,3,19,18.1355,127.7741,17.5140,18.7570,127.0940,128.4543,1.5203,169.0347,31,246,0.6451,0.3817,0.6834
2,4,20,18.1355,129.1346,17.5140,18.7570,128.4544,129.8148,1.4766,164.0056,31,242,1.0375,0.6801,1.1235
2,5,21,18.1355,130.5001,17.5140,18.7570,129.8194,131.1807,2.3459,260.9385,31,245,0.8183,0.5817,0.7485
2,6,22,18.1355,131.8551,17.5140,18.7570,131.1750,132.5353,3.5652,396.7632,31,246,0.8226,0.6664,0.9557
2,7,23,18.1355,133.2298,17.5140,18.7570,132.5487,133.9110,4.8504,539.8646,31,244,0.8119,0.5870,0.7124
3,0,24,19.3785,123.6922,18.7570,20.0000,123.0130,124.3714,4.6923,521.7863,31,248,0.4453,0.2188,0.6018
3,1,25,19.3785,125.0535,18.7570,20.0000,124.3733,125.7337,3.5565,395.1515,31,246,0.6338,0.4714,0.6288
3,2,26,19.3785,126.4114,18.7570,20.0000,125.7318,127.0912,2.6751,296.7793,31,247,0.6637,0.4184,0.7265
3,3,27,19.3785,127.7708,18.7570,20.0000,127.0912,128.4505,2.3409,259.4534,31,247,0.5609,0.3034,0.5888
3,4,28,19.3785,129.1260,18.7570,20.0000,128.4467,129.8052,2.4910,276.0885,31,248,0.6946,0.4590,0.6833
3,5,29,19.3785,130.4844,18.7570,20.0000,129.8052,131.1637,3.1166,345.8940,31,248,0.7131,0.4713,0.7481
3,6,30,19.3785,131.8428,18.7570,20.0000,131.1637,132.5221,4.0822,453.6370,31,248,0.8995,0.5939,0.9605
3,7,31,19.3785,133.2013,18.7570,20.0000,132.5221,133.8805,5.2080,579.1443,31,248,1.0487,0.8176,0.9357
