tile_y,tile_x,n,median_error,mean_error,median_error_pct,mean_error_pct,median_o3,mean_o3,median_vza,median_sza,year,file
0,2,2322,0.825457,0.901162,0.314645,0.343949,261.47319,261.195121,12.647235,63.336271,2024,20240630_2345.nc
0,3,4506,0.799293,0.871127,0.305164,0.331997,262.700836,262.504885,10.266363,62.117353,2024,20240630_2345.nc
0,4,3103,1.30273,1.317323,0.506327,0.507384,258.391541,258.49744,7.256192,60.50885,2024,20240630_2345.nc
0,5,4518,0.963015,0.983576,0.372551,0.379919,259.066513,258.87992,4.718225,59.193806,2024,20240630_2345.nc
0,6,4032,1.340307,1.3687,0.516525,0.526253,259.572769,259.153275,2.715988,57.79355,2024,20240630_2345.nc
0,7,2543,1.891368,1.767599,0.725793,0.677574,261.014252,260.391419,3.258759,56.254807,2024,20240630_2345.nc
1,2,2885,1.151167,1.095003,0.436018,0.415315,264.350891,264.373739,12.541151,62.214081,2024,20240630_2345.nc
1,3,4189,0.901542,0.977158,0.342481,0.37028,263.684387,263.649891,10.045267,60.972088,2024,20240630_2345.nc
1,4,3954,1.257657,1.269912,0.475698,0.478237,266.015305,264.979794,7.138644,59.485252,2024,20240630_2345.nc
1,5,4186,1.029197,1.101704,0.395188,0.421237,260.69371,260.965797,4.390379,58.085382,2024,20240630_2345.nc
1,6,3438,1.237963,1.332231,0.477373,0.510804,259.816345,260.215599,1.705669,56.430614,2024,20240630_2345.nc
1,7,3737,1.044577,1.345094,0.402275,0.512705,261.062592,261.1613,2.31958,55.042572,2024,20240630_2345.nc
2,2,2684,0.994448,1.072262,0.370642,0.399183,268.650116,268.349502,13.124236,61.1464,2024,20240630_2345.nc
2,3,3503,0.99609,1.072939,0.382292,0.40716,262.44751,262.909469,10.558281,59.790329,2024,20240630_2345.nc
2,4,4464,1.085475,1.039145,0.416185,0.397426,261.214523,261.789922,8.0847,58.397938,2024,20240630_2345.nc
2,5,4505,0.960223,1.047261,0.365858,0.395822,263.924438,264.203624,5.73121,56.900551,2024,20240630_2345.nc
2,6,3935,1.746752,1.653504,0.65197,0.617569,267.814484,266.470927,4.005644,55.434105,2024,20240630_2345.nc
2,7,4599,0.747288,0.845707,0.285423,0.320998,262.597107,262.87928,4.287206,53.963722,2024,20240630_2345.nc
3,2,2776,1.194443,1.107267,0.448561,0.417973,264.911591,265.414663,14.244039,60.122694,2024,20240630_2345.nc
3,3,4419,0.692521,0.772748,0.25939,0.289862,266.399506,266.75854,12.117222,58.888771,2024,20240630_2345.nc
3,4,4333,0.772308,0.907199,0.290366,0.339997,266.761597,266.547248,9.859411,57.360004,2024,20240630_2345.nc
3,5,4442,0.834043,0.972595,0.312031,0.361905,268.692184,268.180143,7.988973,55.838301,2024,20240630_2345.nc
3,6,4116,1.731817,1.713861,0.642271,0.635082,269.636108,269.384307,6.967151,54.298286,2024,20240630_2345.nc
3,7,4528,1.071826,1.253608,0.404337,0.467736,267.364151,266.912386,7.021865,52.855412,2024,20240630_2345.nc
0,0,3667,0.808289,0.93487,0.317747,0.363679,255.807999,256.429207,18.78616,57.18544,2024,20240701_0045.nc
0,1,4141,0.660167,0.780827,0.257443,0.304458,255.816101,256.388876,15.9709,55.398266,2024,20240701_0045.nc
0,2,2891,0.881403,1.150728,0.342792,0.442315,259.747559,259.050444,13.265397,53.599445,2024,20240701_0045.nc
0,3,4486,0.962388,1.131327,0.373233,0.434445,260.10614,259.831288,10.253716,51.832512,2024,20240701_0045.nc
0,4,2687,1.649721,1.613047,0.641999,0.626593,256.081116,256.021088,7.038435,49.737995,2024,20240701_0045.nc
