year,tile_y,tile_x,rows,finite_o3_rows,good_flag_rows,good_finite_o3_rows,sum_o3_good,sumsq_o3_good,min_o3_good,max_o3_good,mean_o3_good,median_o3_good,std_o3_good,q05_o3_good,q95_o3_good,good_finite_fraction,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center
2022,0,0,1016034,1016034,1016034,1016034,254997943.572144,64030582017.14633,225.44046,291.260925,250.973829,251.115494,5.679307,241.609836,259.904541,1.0,-3.0,-0.5,111.0,113.5,-1.75,112.25
2022,0,1,1005906,1005906,1005906,1005906,252223507.236938,63279937120.58808,227.776138,291.62561,250.742621,250.879913,6.044668,241.036015,260.493454,1.0,-3.0,-0.5,113.5,116.0,-1.75,114.75
2022,0,2,1003175,1003175,1003175,1003175,250965189.002274,62810070686.036446,226.914108,289.291534,250.170896,250.222946,5.079615,241.4177,258.261871,1.0,-3.0,-0.5,116.0,118.5,-1.75,117.25
2022,0,3,1048886,1048886,1048886,1048886,262765804.821808,65856104535.528885,202.003662,282.916077,250.518936,250.655197,5.193837,241.44878,258.810898,1.0,-3.0,-0.5,118.5,121.0,-1.75,119.75
2022,0,4,989141,989141,989141,989141,247122240.01384,61761468404.4582,228.933105,283.987,249.8352,250.087051,4.676703,241.606674,257.11261,1.0,-3.0,-0.5,121.0,123.5,-1.75,122.25
2022,0,5,1004655,1004655,1004655,1004655,250152373.753769,62307867748.159676,229.92804,280.189453,248.99331,249.091141,4.636827,241.131805,256.606921,1.0,-3.0,-0.5,123.5,126.0,-1.75,124.75
2022,0,6,1017586,1017586,1017586,1017586,253247370.033905,63051483708.57332,228.280167,282.918854,248.870729,248.998367,5.018283,240.441326,257.156342,1.0,-3.0,-0.5,126.0,128.5,-1.75,127.25
2022,0,7,1032136,1032136,1032136,1032136,256587900.304703,63813089197.458496,227.985733,284.022919,248.598925,248.546265,4.981516,240.474644,256.957047,1.0,-3.0,-0.5,128.5,131.0,-1.75,129.75
2022,1,0,1021691,1021691,1021691,1021691,259642407.511597,66012414345.65774,231.716232,288.266235,254.130072,254.197647,5.37075,245.253929,262.729797,1.0,-0.5,2.0,111.0,113.5,0.75,112.25
2022,1,1,1039792,1039792,1039792,1039792,264586455.836121,67354044623.98336,232.1996,289.605499,254.460946,254.538269,5.107523,245.701669,262.85574,1.0,-0.5,2.0,113.5,116.0,0.75,114.75
2022,1,2,1007737,1007737,1007737,1007737,255699062.396225,64908801283.201965,230.015533,291.041809,253.735908,253.892746,5.342916,244.571194,262.119629,1.0,-0.5,2.0,116.0,118.5,0.75,117.25
2022,1,3,1029528,1029528,1029528,1029528,260418721.086319,65892784611.58026,234.644806,285.073761,252.949625,253.039352,4.403888,245.496323,260.238617,1.0,-0.5,2.0,118.5,121.0,0.75,119.75
2022,1,4,1053809,1053809,1053809,1053809,265756114.398758,67042414304.84212,228.460709,286.30368,252.186226,252.320236,4.608683,244.438437,259.711609,1.0,-0.5,2.0,121.0,123.5,0.75,122.25
2022,1,5,1034331,1034331,1034331,1034331,260811180.12854,65784350596.75081,235.386856,282.030731,252.154465,252.295013,4.35831,244.889801,259.164871,1.0,-0.5,2.0,123.5,126.0,0.75,124.75
2022,1,6,1027009,1027009,1027009,1027009,259082358.323044,65381596582.31232,234.392212,288.294891,252.26883,252.172287,4.752196,244.532764,260.289874,1.0,-0.5,2.0,126.0,128.5,0.75,127.25
2022,1,7,1046795,1046795,1046795,1046795,263712290.401642,66463259102.40268,234.198914,285.352509,251.923529,251.712646,5.165254,243.81431,260.71893,1.0,-0.5,2.0,128.5,131.0,0.75,129.75
2022,2,0,983484,983484,983484,983484,252303349.190079,64749482549.59349,231.864136,297.293304,256.54037,256.780121,4.886971,248.138326,264.114101,1.0,2.0,4.5,111.0,113.5,3.25,112.25
2022,2,1,1037968,1037968,1037968,1037968,267111139.086517,68764960909.74411,231.174576,289.245819,257.340437,257.561768,5.049313,248.79649,265.242807,1.0,2.0,4.5,113.5,116.0,3.25,114.75
2022,2,2,1027351,1027351,1027351,1027351,263531598.224548,67630216193.11321,231.686066,294.573853,256.515639,256.522125,5.425388,247.410965,265.293839,1.0,2.0,4.5,116.0,118.5,3.25,117.25
2022,2,3,1020146,1020146,1020146,1020146,260729354.32077,66656356058.75029,237.161423,279.174347,255.580431,255.355957,4.319655,248.693211,263.27681,1.0,2.0,4.5,118.5,121.0,3.25,119.75
