tile_y,tile_x,n,median_error,mean_error,median_error_pct,mean_error_pct,median_o3,mean_o3,median_vza,median_sza,year,file
0,0,4129,0.813354,0.874853,0.327887,0.35194,248.159348,248.706441,18.972816,57.265526,2023,20230701_0045.nc
0,1,4353,0.976379,0.972428,0.396482,0.395655,245.829102,245.887768,15.987885,55.39415,2023,20230701_0045.nc
0,2,4394,1.100894,1.057389,0.453346,0.432478,243.57016,244.487575,13.139382,53.622965,2023,20230701_0045.nc
0,3,4370,0.860215,0.912105,0.351922,0.371733,244.652863,245.322927,10.262357,51.818014,2023,20230701_0045.nc
0,4,4357,1.028617,1.011053,0.423054,0.413037,243.876724,244.547981,7.349729,50.05986,2023,20230701_0045.nc
0,5,4625,0.99711,0.915235,0.409995,0.374963,243.818619,244.415149,4.71395,48.340961,2023,20230701_0045.nc
0,6,4671,0.918157,0.882915,0.376189,0.361084,244.204544,244.610551,2.600009,46.622608,2023,20230701_0045.nc
0,7,4415,0.979037,1.034526,0.400669,0.41854,245.254105,246.409384,2.893458,44.957287,2023,20230701_0045.nc
1,0,3889,1.03266,1.073024,0.409319,0.42472,252.706818,252.377841,18.951906,56.106812,2023,20230701_0045.nc
1,1,4098,0.697479,0.840156,0.279639,0.335582,249.624695,249.675355,15.813442,54.128241,2023,20230701_0045.nc
1,2,4460,0.783154,0.83625,0.315945,0.337766,247.502357,247.802185,13.008052,52.364815,2023,20230701_0045.nc
1,3,4153,0.988448,1.117583,0.399733,0.44672,247.882156,249.018798,9.977019,50.567162,2023,20230701_0045.nc
1,4,4573,1.018453,0.977889,0.413802,0.39693,246.041641,246.388441,7.135686,48.740154,2023,20230701_0045.nc
1,5,4494,1.073828,1.037757,0.436722,0.421281,246.193466,246.380362,4.266894,46.983833,2023,20230701_0045.nc
1,6,4504,0.950485,0.922093,0.384587,0.372376,247.105492,247.657077,1.79899,45.252203,2023,20230701_0045.nc
1,7,4519,0.868574,0.98144,0.350701,0.392454,248.019577,249.044019,2.220611,43.505524,2023,20230701_0045.nc
2,0,4003,1.125109,1.133447,0.435451,0.438981,259.368866,258.591669,19.257868,54.969429,2023,20230701_0045.nc
2,1,3028,0.791169,0.957152,0.3118,0.375253,253.369225,254.22495,15.893387,52.859264,2023,20230701_0045.nc
2,2,3879,0.793181,1.049736,0.312321,0.409693,254.776276,255.269988,13.657658,51.240814,2023,20230701_0045.nc
2,3,4428,1.01636,1.033714,0.404972,0.41016,251.047356,251.625661,10.729837,49.315575,2023,20230701_0045.nc
2,4,4517,1.066333,1.030992,0.428828,0.413695,249.147171,249.247136,8.06071,47.508606,2023,20230701_0045.nc
2,5,4637,1.063575,1.020493,0.427921,0.410446,248.398956,248.739999,5.713919,45.706757,2023,20230701_0045.nc
2,6,4578,0.997311,0.963856,0.401713,0.387867,248.194565,248.570656,4.104084,43.901009,2023,20230701_0045.nc
2,7,4596,0.970794,0.95004,0.391505,0.381343,248.207237,248.985195,4.310268,42.133318,2023,20230701_0045.nc
3,0,4051,1.027835,1.031777,0.390056,0.391406,264.042206,263.717614,19.977644,53.87114,2023,20230701_0045.nc
3,1,3510,1.018461,1.114086,0.387874,0.423532,262.986496,262.971651,17.158967,51.789537,2023,20230701_0045.nc
3,2,4213,1.029431,1.03757,0.400896,0.401347,257.349548,258.357732,14.571737,50.049019,2023,20230701_0045.nc
3,3,4497,1.092389,1.026859,0.425337,0.400257,256.600891,256.719437,12.074301,48.192352,2023,20230701_0045.nc
3,4,3197,1.034631,1.190154,0.405833,0.460208,256.807068,257.60116,9.954776,46.60981,2023,20230701_0045.nc
3,5,4402,1.003681,1.15326,0.399197,0.450557,253.690506,254.732612,7.937909,44.499737,2023,20230701_0045.nc
3,6,4564,0.978547,0.949047,0.391712,0.3787,250.202591,250.600682,6.897758,42.698685,2023,20230701_0045.nc
3,7,4537,1.014592,0.986417,0.404467,0.393537,250.644836,250.748458,7.023741,40.879032,2023,20230701_0045.nc
0,0,4058,0.731058,0.911708,0.294143,0.365361,248.868446,249.18386,18.989827,44.614199,2023,20230701_0145.nc
0,1,4392,0.853329,0.870827,0.348438,0.355737,244.74044,244.892269,16.004332,42.89609,2023,20230701_0145.nc
0,2,4430,0.779655,0.892783,0.321598,0.364974,243.098869,243.866821,13.131797,41.27614,2023,20230701_0145.nc
