tile_y,tile_x,n,median_error,mean_error,median_o3,mean_o3,median_vza,median_sza,year,slot,file,region_label,region_tag,lat_min,lat_max,lon_min,lon_max
0,0,1041,0.8707652,0.8431973,285.1742,285.71945,19.085682,41.586098,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
0,1,1029,0.9897923,0.9776858,286.34308,286.28342,18.73863,40.633884,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
0,2,1033,0.9754084,1.2331485,282.44797,282.36725,18.514254,39.666702,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
0,3,1023,1.5598152,1.5419655,275.59802,275.18787,18.355198,38.695045,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
0,4,1044,0.90415305,1.0391206,269.98456,270.08218,18.32825,37.736107,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
0,5,1045,0.91423875,1.0078189,268.35666,267.9161,18.42142,36.790012,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
0,6,1050,1.022953,1.1964961,266.2207,265.5804,18.618448,35.840214,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
0,7,1065,0.8934172,0.90515864,259.63135,261.08508,18.924442,34.88045,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
1,0,1009,1.0743393,1.0229187,283.21454,283.1946,20.482002,41.231113,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
1,1,1010,1.1154697,1.0751588,283.1388,283.06842,20.141045,40.267563,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
1,2,1024,1.0507345,1.0254691,283.47504,283.64783,19.897018,39.294945,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
1,3,1023,0.83109766,0.79862565,280.22067,280.19623,19.796995,38.328976,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
1,4,1008,0.7399678,0.734817,266.8022,267.48224,19.782312,37.368843,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
1,5,1007,0.69534403,0.776911,265.00974,265.15997,19.86982,36.40893,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
1,6,1005,0.99799573,0.98122776,260.17606,261.98325,20.059525,35.448765,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
1,7,992,0.95417535,0.9344754,260.96454,262.13376,20.34454,34.491573,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
2,0,1016,1.0973659,1.043004,281.35724,281.67572,21.88958,40.909355,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
2,1,984,1.2008286,1.1900008,281.54852,281.94968,21.573402,39.927017,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
2,2,995,1.1547887,1.1415005,287.18097,288.63297,21.375694,38.972126,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
2,3,1012,1.0749577,0.9754662,288.6545,289.46014,21.254463,37.997505,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
2,4,999,0.7475218,0.8310488,279.08624,278.22107,21.22051,37.042183,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
2,5,1006,1.0366628,0.97442615,265.6715,265.86877,21.307446,36.07141,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
2,6,1007,1.037393,0.99223936,262.87228,263.10892,21.489496,35.119873,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
2,7,1017,1.0470061,1.002482,262.67294,262.7336,21.761251,34.16048,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
3,0,966,1.1681697,1.1210934,279.6339,279.61975,23.308773,40.605717,2023,0,20230701_0045.nc,"N 15-20, E 123-133",N15to20_E123to133,15.0,20.0,123.0,133.0
