tile_y,tile_x,n,median_error,mean_error,median_o3,mean_o3,median_vza,median_sza,year,slot,file
0,0,4290,1.5741553,1.412631,241.33762,243.13966,18.927456,57.2173,2022,0,20220701_0045.nc
0,1,4187,1.0626287,1.0691639,239.69441,241.445,15.984461,55.3621,2022,0,20220701_0045.nc
0,2,4368,0.94113135,0.9267887,242.75055,242.8999,13.130133,53.602665,2022,0,20220701_0045.nc
0,3,4551,1.36206,1.3269717,240.91338,241.04126,10.260875,51.825672,2022,0,20220701_0045.nc
0,4,4581,1.2766807,1.2431059,239.75365,240.07875,7.414369,50.062935,2022,0,20220701_0045.nc
0,5,4596,1.1777391,1.0983686,239.40704,239.6728,4.714256,48.327866,2022,0,20220701_0045.nc
0,6,4597,1.1548924,1.0956677,239.21002,239.39648,2.6011932,46.62531,2022,0,20220701_0045.nc
0,7,4625,1.1355598,1.0593817,240.23117,240.63463,2.9309068,44.943153,2022,0,20220701_0045.nc
1,0,4297,1.0686529,1.0725825,248.59349,248.91808,18.871468,56.04554,2022,0,20220701_0045.nc
1,1,4355,1.1770788,1.139276,249.93657,248.4572,15.964767,54.209225,2022,0,20220701_0045.nc
1,2,4341,0.77554536,0.8361837,248.62509,247.99185,12.957117,52.325867,2022,0,20220701_0045.nc
1,3,4373,1.0343232,1.0222132,246.60193,246.68788,10.046402,50.517612,2022,0,20220701_0045.nc
1,4,4573,1.2175165,1.2032562,244.63672,244.80495,7.1910253,48.76041,2022,0,20220701_0045.nc
1,5,4625,1.1550155,1.1137221,243.57321,243.86525,4.325587,46.99124,2022,0,20220701_0045.nc
1,6,4659,1.1585352,1.0950539,243.59923,243.84677,1.8100857,45.226017,2022,0,20220701_0045.nc
1,7,4613,1.0742834,1.0339124,243.97745,244.33655,2.2142549,43.491463,2022,0,20220701_0045.nc
2,0,4256,0.6654179,0.71839386,257.17386,256.3268,19.18797,54.90447,2022,0,20220701_0045.nc
2,1,4358,1.0417297,1.1065726,256.6988,256.49057,16.362093,53.031128,2022,0,20220701_0045.nc
2,2,4453,1.2486082,1.2582442,255.65332,255.44254,13.513801,51.17347,2022,0,20220701_0045.nc
2,3,4157,0.97280085,1.1055357,251.36635,251.38373,10.7509775,49.307873,2022,0,20220701_0045.nc
2,4,4597,1.1086264,1.0594351,248.99379,249.10748,8.106427,47.519424,2022,0,20220701_0045.nc
2,5,4412,1.1045955,1.0963494,248.77185,249.24362,5.7705,45.73153,2022,0,20220701_0045.nc
2,6,4479,1.0348626,1.1083887,248.2957,249.48845,4.065505,43.934116,2022,0,20220701_0045.nc
2,7,4565,1.1137984,1.08039,247.26988,247.807,4.28822,42.155178,2022,0,20220701_0045.nc
