tile_y,tile_x,n_files,total_n,median_error,mean_error,median_vza,median_sza,median_o3,mean_o3,median_error_pct,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center,region_label,region_tag
0,0,248,248944,0.676834,0.836038,19.111467,28.258244,272.99185,273.90387,0.247932,15.0,16.25,123.0,124.25,15.625,123.625,"N 15-20, E 123-133",N15to20_E123to133
0,1,248,251223,0.662017,0.838563,18.762104,28.30248,271.04596,273.54138,0.244245,15.0,16.25,124.25,125.5,15.625,124.875,"N 15-20, E 123-133",N15to20_E123to133
0,2,248,248380,0.736898,0.914212,18.514484,28.368471,270.98743,273.1181,0.271931,15.0,16.25,125.5,126.75,15.625,126.125,"N 15-20, E 123-133",N15to20_E123to133
0,3,248,237917,0.79695,1.027952,18.38113,28.289131,270.12622,272.51074,0.295029,15.0,16.25,126.75,128.0,15.625,127.375,"N 15-20, E 123-133",N15to20_E123to133
0,4,248,236669,0.819722,1.076008,18.363232,28.334698,270.44122,272.73138,0.303105,15.0,16.25,128.0,129.25,15.625,128.625,"N 15-20, E 123-133",N15to20_E123to133
0,5,247,237375,0.80807,1.037165,18.445724,33.325695,271.06552,272.8481,0.298109,15.0,16.25,129.25,130.5,15.625,129.875,"N 15-20, E 123-133",N15to20_E123to133
0,6,248,243853,0.81823,1.036349,18.65615,28.395794,270.39273,272.8035,0.302608,15.0,16.25,130.5,131.75,15.625,131.125,"N 15-20, E 123-133",N15to20_E123to133
0,7,248,84910,0.823609,1.001885,18.874107,28.50814,269.80365,272.76913,0.305262,15.0,16.25,131.75,133.0,15.625,132.375,"N 15-20, E 123-133",N15to20_E123to133
1,0,248,241451,0.77151,0.921463,20.508495,28.07468,272.5191,273.673,0.283103,16.25,17.5,123.0,124.25,16.875,123.625,"N 15-20, E 123-133",N15to20_E123to133
1,1,248,244497,0.791534,0.913208,20.183956,28.155058,271.29248,273.26825,0.291764,16.25,17.5,124.25,125.5,16.875,124.875,"N 15-20, E 123-133",N15to20_E123to133
1,2,248,244302,0.81209,0.961734,19.95705,28.000423,270.97705,273.0182,0.299689,16.25,17.5,125.5,126.75,16.875,126.125,"N 15-20, E 123-133",N15to20_E123to133
1,3,248,236050,0.834179,1.034523,19.835073,27.982529,270.01038,272.17596,0.308943,16.25,17.5,126.75,128.0,16.875,127.375,"N 15-20, E 123-133",N15to20_E123to133
1,4,248,234421,0.850286,1.038717,19.81549,28.044752,270.5589,272.0304,0.31427,16.25,17.5,128.0,129.25,16.875,128.625,"N 15-20, E 123-133",N15to20_E123to133
1,5,248,238796,0.841478,1.032773,19.898006,28.241104,271.245,272.3697,0.310228,16.25,17.5,129.25,130.5,16.875,129.875,"N 15-20, E 123-133",N15to20_E123to133
1,6,248,237545,0.825773,1.049037,20.082117,28.14364,270.57193,272.69403,0.305196,16.25,17.5,130.5,131.75,16.875,131.125,"N 15-20, E 123-133",N15to20_E123to133
1,7,248,87473,0.85387,1.047503,20.265507,28.109982,270.63782,272.72678,0.315503,16.25,17.5,131.75,133.0,16.875,132.375,"N 15-20, E 123-133",N15to20_E123to133
2,0,248,235423,0.891111,0.997929,21.916637,27.987837,272.55383,274.22104,0.326948,17.5,18.75,123.0,124.25,18.125,123.625,"N 15-20, E 123-133",N15to20_E123to133
2,1,248,238987,0.844698,0.955208,21.61179,28.021065,271.86548,273.7409,0.310704,17.5,18.75,124.25,125.5,18.125,124.875,"N 15-20, E 123-133",N15to20_E123to133
2,2,248,237810,0.863853,1.009464,21.399572,27.827782,271.83508,273.86472,0.317786,17.5,18.75,125.5,126.75,18.125,126.125,"N 15-20, E 123-133",N15to20_E123to133
2,3,248,234390,0.859258,1.038091,21.288727,27.81348,271.57043,272.98053,0.316403,17.5,18.75,126.75,128.0,18.125,127.375,"N 15-20, E 123-133",N15to20_E123to133
2,4,248,231050,0.862069,1.071274,21.269749,27.929104,271.53156,272.49936,0.317484,17.5,18.75,128.0,129.25,18.125,128.625,"N 15-20, E 123-133",N15to20_E123to133
2,5,248,232883,0.895094,1.080764,21.348972,27.751434,272.00104,272.83316,0.329077,17.5,18.75,129.25,130.5,18.125,129.875,"N 15-20, E 123-133",N15to20_E123to133
2,6,248,228644,0.897249,1.083275,21.522505,27.943274,271.52673,273.18954,0.330446,17.5,18.75,130.5,131.75,18.125,131.125,"N 15-20, E 123-133",N15to20_E123to133
2,7,245,89028,0.87976,1.038051,21.712135,34.16048,271.77487,273.37842,0.323709,17.5,18.75,131.75,133.0,18.125,132.375,"N 15-20, E 123-133",N15to20_E123to133
3,0,248,234256,0.980323,1.075584,23.32365,27.696556,275.4285,274.87344,0.355926,18.75,20.0,123.0,124.25,19.375,123.625,"N 15-20, E 123-133",N15to20_E123to133
3,1,248,231501,0.946316,1.067828,23.04531,27.715813,274.98993,274.91122,0.344128,18.75,20.0,124.25,125.5,19.375,124.875,"N 15-20, E 123-133",N15to20_E123to133
3,2,248,232722,0.936231,1.051985,22.843727,27.681934,274.4404,275.23367,0.341142,18.75,20.0,125.5,126.75,19.375,126.125,"N 15-20, E 123-133",N15to20_E123to133
3,3,248,231855,0.895462,1.03829,22.737858,27.697079,273.7781,274.57062,0.327076,18.75,20.0,126.75,128.0,19.375,127.375,"N 15-20, E 123-133",N15to20_E123to133
3,4,248,234656,0.883374,1.043529,22.723812,27.663542,273.76453,274.20224,0.322676,18.75,20.0,128.0,129.25,19.375,128.625,"N 15-20, E 123-133",N15to20_E123to133
3,5,248,232918,0.908665,1.061978,22.79543,27.684246,272.8329,274.1955,0.333048,18.75,20.0,129.25,130.5,19.375,129.875,"N 15-20, E 123-133",N15to20_E123to133
3,6,248,233830,0.920624,1.067943,22.957762,27.789116,273.60217,275.03717,0.336483,18.75,20.0,130.5,131.75,19.375,131.125,"N 15-20, E 123-133",N15to20_E123to133
3,7,248,95341,0.924552,1.045366,23.125431,27.432106,274.887,275.1632,0.336339,18.75,20.0,131.75,133.0,19.375,132.375,"N 15-20, E 123-133",N15to20_E123to133
