year,tile_y,tile_x,rows,finite_o3_rows,good_flag_rows,good_finite_o3_rows,sum_o3_good,sumsq_o3_good,min_o3_good,max_o3_good,mean_o3_good,median_o3_good,std_o3_good,q05_o3_good,q95_o3_good,good_finite_fraction,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center
2023,0,0,1010940,1010940,1010940,1010940,253208832.504395,63445182572.984375,232.713226,622.155762,250.468705,250.28653,4.902178,243.061279,258.088167,1.0,-3.0,-0.5,111.0,113.5,-1.75,112.25
2023,0,1,1052278,1052278,1052278,1052278,262917835.313202,65715246383.38899,233.280701,542.705872,249.85587,249.758759,4.743981,242.569578,257.13858,1.0,-3.0,-0.5,113.5,116.0,-1.75,114.75
2023,0,2,1056038,1056038,1056038,1056038,262933426.875824,65489436068.064705,231.599548,523.872681,248.981028,248.729065,4.767343,241.567554,256.977884,1.0,-3.0,-0.5,116.0,118.5,-1.75,117.25
2023,0,3,1098696,1098696,1098696,1098696,273789898.912445,68253297398.41222,232.168274,352.966248,249.195318,248.928452,4.877367,241.479561,257.59169,1.0,-3.0,-0.5,118.5,121.0,-1.75,119.75
2023,0,4,1066625,1066625,1066625,1066625,265775616.476547,66247567641.9052,231.866135,379.457397,249.174374,249.153488,4.653199,241.636813,257.021356,1.0,-3.0,-0.5,121.0,123.5,-1.75,122.25
2023,0,5,1107187,1107187,1107187,1107187,274068099.759323,67861998844.010124,232.567169,359.906403,247.535511,247.289963,4.29368,241.00719,255.113034,1.0,-3.0,-0.5,123.5,126.0,-1.75,124.75
2023,0,6,1109927,1109927,1109927,1109927,274100972.862961,67711418996.471466,230.28685,305.893738,246.954055,246.618362,4.357225,240.272993,254.853949,1.0,-3.0,-0.5,126.0,128.5,-1.75,127.25
2023,0,7,1094947,1094947,1094947,1094947,270560931.211121,66879927423.63973,227.795898,370.409546,247.099568,246.643402,4.724297,240.241591,255.620749,1.0,-3.0,-0.5,128.5,131.0,-1.75,129.75
2023,1,0,1038313,1038313,1038313,1038313,262885673.489044,66586537925.18726,236.456711,500.120056,253.185382,252.95462,5.167702,245.210886,262.026215,1.0,-0.5,2.0,111.0,113.5,0.75,112.25
2023,1,1,1061166,1061166,1061166,1061166,269252297.962311,68344051131.28569,235.433319,383.768555,253.732496,253.60434,4.949266,245.774864,262.192688,1.0,-0.5,2.0,113.5,116.0,0.75,114.75
2023,1,2,1072946,1072946,1072946,1072946,271851683.167114,68904059425.54219,232.585205,567.263245,253.369399,253.263977,4.842644,245.628506,261.430176,1.0,-0.5,2.0,116.0,118.5,0.75,117.25
2023,1,3,1094054,1094054,1094054,1094054,276152104.122711,69727185505.3662,235.506927,438.375732,252.411768,252.157974,4.599463,245.30219,260.487407,1.0,-0.5,2.0,118.5,121.0,0.75,119.75
2023,1,4,1106664,1106664,1106664,1106664,278532403.53064,70127165160.37875,236.436157,351.406342,251.686513,251.5,4.687438,244.122134,259.905666,1.0,-0.5,2.0,121.0,123.5,0.75,122.25
2023,1,5,1097841,1097841,1097841,1097841,276497739.789383,69660658476.04567,227.185577,366.690094,251.855906,251.785706,4.584071,244.427261,259.914032,1.0,-0.5,2.0,123.5,126.0,0.75,124.75
2023,1,6,1111010,1111010,1111010,1111010,279527981.89003,70350869512.29626,234.717422,425.058044,251.598079,251.351105,4.466701,244.742942,259.519867,1.0,-0.5,2.0,126.0,128.5,0.75,127.25
2023,1,7,1108980,1108980,1108980,1108980,278826397.212372,70129085701.68295,227.727219,361.896973,251.425993,251.167099,4.736759,243.929174,259.764685,1.0,-0.5,2.0,128.5,131.0,0.75,129.75
2023,2,0,1015044,1015044,1015044,1015044,262868079.375748,68107330447.79433,239.389099,341.842773,258.972103,258.6633,5.599944,249.938935,268.644623,1.0,2.0,4.5,111.0,113.5,3.25,112.25
