year,file,rows,rows_in_region,good_error_rows
2025,20250701_0045.nc,1423360,144100,138715
2025,20250701_0145.nc,1423360,144112,136946
2025,20250701_0245.nc,1423360,144131,136401
2025,20250701_0345.nc,1423360,144102,136840
2025,20250701_0445.nc,1423360,144172,138073
2025,20250701_0545.nc,1423360,144232,138296
2025,20250701_0645.nc,1423360,144228,140262
2025,20250701_0745.nc,1423360,144171,140676
2025,20250702_0045.nc,1423360,144124,137303
2025,20250702_0145.nc,1423360,144151,135579
2025,20250702_0245.nc,1423360,144178,135109
2025,20250702_0345.nc,1423360,144189,133776
2025,20250702_0445.nc,1423360,144198,134116
2025,20250702_0545.nc,1423360,144161,135425
2025,20250702_0645.nc,1423360,144223,136046
2025,20250702_0745.nc,1423360,144174,137219
2025,20250703_0045.nc,1423360,144200,138741
2025,20250703_0145.nc,1423360,144206,139315
2025,20250703_0245.nc,1423360,144208,140093
2025,20250703_0345.nc,1423360,144246,140869
2025,20250703_0445.nc,1423360,144204,141517
2025,20250703_0545.nc,1423360,144139,141806
2025,20250703_0645.nc,1423360,144210,142522
2025,20250703_0745.nc,1423360,144170,142227
2025,20250704_0045.nc,1423360,144252,135544
2025,20250704_0145.nc,1423360,144238,133396
2025,20250704_0245.nc,1423360,144244,135935
2025,20250704_0345.nc,1423360,144245,137597
2025,20250704_0445.nc,1423360,144222,137674
2025,20250704_0545.nc,1423360,144247,138216
2025,20250704_0645.nc,1423360,144239,138185
2025,20250704_0745.nc,1423360,144239,138836
2025,20250705_0045.nc,1423360,144211,138478
2025,20250705_0145.nc,1423360,144210,139371
2025,20250705_0245.nc,1423360,144229,141412
2025,20250705_0345.nc,1423360,144247,142426
2025,20250705_0445.nc,1423360,144214,142910
2025,20250705_0545.nc,1423360,144264,142388
2025,20250705_0645.nc,1423360,144239,141870
2025,20250705_0745.nc,1423360,144234,141954
2025,20250706_0045.nc,1423360,144205,136564
2025,20250706_0145.nc,1423360,144203,135698
2025,20250706_0245.nc,1423360,144221,135777
2025,20250706_0345.nc,1423360,144220,136559
2025,20250706_0445.nc,1423360,144178,135451
2025,20250706_0545.nc,1423360,144239,135244
2025,20250706_0645.nc,1423360,144231,134889
2025,20250706_0745.nc,1423360,144229,134588
2025,20250707_0045.nc,1423360,144197,125546
2025,20250707_0145.nc,1423360,144203,124078
2025,20250707_0245.nc,1423360,144208,126399
2025,20250707_0345.nc,1423360,144204,129014
2025,20250707_0445.nc,1423360,144212,129828
2025,20250707_0545.nc,1423360,144231,131078
2025,20250707_0645.nc,1423360,144188,132610
2025,20250707_0745.nc,1423360,144233,134341
2025,20250708_0045.nc,1423360,144194,134894
2025,20250708_0145.nc,1423360,144172,135218
2025,20250708_0245.nc,1423360,144200,134226
2025,20250708_0345.nc,1423360,144218,134836
2025,20250708_0445.nc,1423360,144232,135978
2025,20250708_0545.nc,1423360,144230,136919
2025,20250708_0645.nc,1423360,144212,139183
2025,20250708_0745.nc,1423360,144204,140900
2025,20250709_0045.nc,1423360,144189,136030
2025,20250709_0145.nc,1423360,144147,135505
2025,20250709_0245.nc,1423360,144206,135778
2025,20250709_0345.nc,1423360,144217,135351
2025,20250709_0445.nc,1423360,144194,134937
2025,20250709_0545.nc,1423360,144240,134914
2025,20250709_0645.nc,1423360,144236,134472
2025,20250709_0745.nc,1423360,144239,135731
2025,20250710_0045.nc,1423360,144190,130820
2025,20250710_0145.nc,710656,103605,95153
2025,20250710_0245.nc,1423360,144213,133501
2025,20250710_0345.nc,1423360,144235,136064
2025,20250710_0445.nc,1423360,144213,137030
2025,20250710_0545.nc,1423360,144231,138007
2025,20250710_0645.nc,1423360,144237,137906
2025,20250710_0745.nc,1423360,144255,137113
2025,20250711_0045.nc,1423360,144068,127512
2025,20250711_0145.nc,1423360,144156,127362
2025,20250711_0245.nc,1423360,144210,129356
2025,20250711_0345.nc,1423360,144219,131479
2025,20250711_0445.nc,1423360,144184,134593
2025,20250711_0545.nc,1423360,144249,137837
2025,20250711_0645.nc,1423360,144214,139795
2025,20250711_0745.nc,1423360,144226,141015
2025,20250712_0045.nc,1423360,144098,134888
2025,20250712_0145.nc,1423360,144139,134304
2025,20250712_0245.nc,1423360,144194,135612
2025,20250712_0345.nc,1423360,144202,137763
2025,20250712_0445.nc,1423360,144203,137630
2025,20250712_0545.nc,1423360,144234,137296
2025,20250712_0645.nc,1423360,144191,138962
2025,20250712_0745.nc,1423360,144202,139177
2025,20250713_0045.nc,1423360,144113,140775
2025,20250713_0145.nc,1423360,144152,140430
2025,20250713_0245.nc,1423360,144186,139034
2025,20250713_0345.nc,1423360,144169,140818
2025,20250713_0445.nc,1423360,144193,140926
2025,20250713_0545.nc,1423360,144242,140475
