tile_y,tile_x,n,median_error,mean_error,median_vza,median_sza,year,slot,file
0,0,4273,1.2844622,1.1514083,18.93478,57.224003,2025,0,20250701_0045.nc
0,1,4035,1.315235,1.2323697,15.990589,55.338642,2025,0,20250701_0045.nc
0,2,4382,0.8850814,0.88495654,13.141589,53.612244,2025,0,20250701_0045.nc
0,3,4571,0.7590564,0.82733315,10.2626505,51.82728,2025,0,20250701_0045.nc
0,4,4388,0.98329866,1.1181208,7.467066,50.085587,2025,0,20250701_0045.nc
0,5,3903,1.4916826,1.5283102,4.6331267,48.26286,2025,0,20250701_0045.nc
0,6,3848,1.4366357,1.4892185,2.7347717,46.668137,2025,0,20250701_0045.nc
0,7,4497,0.6560755,0.857263,2.9277143,44.90921,2025,0,20250701_0045.nc
1,0,4217,1.0157433,0.97031516,18.830723,56.041126,2025,0,20250701_0045.nc
1,1,4468,0.7549783,0.8164713,15.9250765,54.191925,2025,0,20250701_0045.nc
1,2,4351,0.8007006,0.85786146,12.9598675,52.32571,2025,0,20250701_0045.nc
1,3,4483,0.7236293,0.82578194,10.106889,50.55053,2025,0,20250701_0045.nc
1,4,4593,0.7021035,0.7505992,7.212015,48.766376,2025,0,20250701_0045.nc
1,5,4600,0.83813703,0.9364079,4.341603,46.99494,2025,0,20250701_0045.nc
1,6,4458,1.3479486,1.4451994,1.833786,45.2194,2025,0,20250701_0045.nc
1,7,4197,1.4094241,1.5587127,2.101635,43.57498,2025,0,20250701_0045.nc
2,0,3814,1.0457766,1.0987734,19.138744,54.966316,2025,0,20250701_0045.nc
2,1,4423,1.000729,0.96781266,16.351355,53.036,2025,0,20250701_0045.nc
2,2,4401,0.73631966,0.78677,13.522206,51.178486,2025,0,20250701_0045.nc
2,3,4485,0.79325,0.7972356,10.755925,49.33478,2025,0,20250701_0045.nc
2,4,4593,0.750204,0.7878067,8.102171,47.518105,2025,0,20250701_0045.nc
2,5,4576,0.7781119,0.9377459,5.749989,45.707367,2025,0,20250701_0045.nc
2,6,4186,0.8905116,1.2419581,4.2338476,43.87014,2025,0,20250701_0045.nc
2,7,3757,2.3807318,2.1982584,4.135062,42.234615,2025,0,20250701_0045.nc
3,0,4103,0.79795927,0.9096949,19.972813,53.82968,2025,0,20250701_0045.nc
3,1,4309,0.889284,0.96196914,17.255001,51.95015,2025,0,20250701_0045.nc
3,2,4391,0.92265826,0.9283282,14.629111,50.084137,2025,0,20250701_0045.nc
3,3,4414,1.0047474,0.96290845,12.12439,48.20732,2025,0,20250701_0045.nc
3,4,4555,0.9714833,0.94477415,9.855116,46.359497,2025,0,20250701_0045.nc
3,5,4522,0.8633224,0.88567275,7.979859,44.51229,2025,0,20250701_0045.nc
3,6,4543,0.8123356,0.87288177,6.928441,42.672234,2025,0,20250701_0045.nc
3,7,4379,0.8514544,1.2309109,7.076144,40.87502,2025,0,20250701_0045.nc
0,0,4280,0.7490612,0.76609993,18.930752,44.563408,2025,1,20250701_0145.nc
0,1,4110,0.93584585,0.8740854,16.00098,42.847496,2025,1,20250701_0145.nc
0,2,4385,0.74230015,0.86849815,13.142204,41.26965,2025,1,20250701_0145.nc
0,3,4549,0.82696086,0.9706511,10.262387,39.664963,2025,1,20250701_0145.nc
0,4,4307,1.3056971,1.4392912,7.470427,38.095062,2025,1,20250701_0145.nc
0,5,3469,2.1869395,2.0491192,4.557906,36.468346,2025,1,20250701_0145.nc
0,6,3744,1.5661277,1.6819553,2.685838,35.188847,2025,1,20250701_0145.nc
0,7,4470,0.6987685,0.926125,2.9290946,33.72838,2025,1,20250701_0145.nc
1,0,4257,0.93559676,0.88913864,18.822132,43.12533,2025,1,20250701_0145.nc
1,1,4459,0.75708437,0.7930151,15.924895,41.41045,2025,1,20250701_0145.nc
1,2,4361,0.80526054,0.8694324,12.972236,39.700916,2025,1,20250701_0145.nc
1,3,4508,0.692415,0.75360453,10.11126,38.07512,2025,1,20250701_0145.nc
1,4,4561,0.7433852,0.7891409,7.2001696,36.472507,2025,1,20250701_0145.nc
1,5,4601,0.7466398,0.95599174,4.351953,34.911514,2025,1,20250701_0145.nc
1,6,4510,1.608835,1.6539336,1.7962613,33.362797,2025,1,20250701_0145.nc
1,7,3791,1.0298021,1.4084045,2.0060968,32.065052,2025,1,20250701_0145.nc
2,0,3652,0.9610727,1.2126732,19.10109,41.824417,2025,1,20250701_0145.nc
2,1,4380,1.0292028,0.9643918,16.342068,40.001926,2025,1,20250701_0145.nc
2,2,4420,0.7184732,0.76842946,13.523802,38.266594,2025,1,20250701_0145.nc
2,3,4483,0.7834783,0.81883883,10.760082,36.567482,2025,1,20250701_0145.nc
2,4,4587,0.7582184,0.81809795,8.10554,34.91029,2025,1,20250701_0145.nc
2,5,4570,0.7861917,0.9962056,5.758052,33.27185,2025,1,20250701_0145.nc
2,6,4149,1.0712569,1.4583136,4.2498374,31.693459,2025,1,20250701_0145.nc
2,7,3720,2.7944624,2.617539,4.261507,30.189165,2025,1,20250701_0145.nc
3,0,4143,0.7911727,0.9633659,19.999922,40.489143,2025,1,20250701_0145.nc
