tile_y,tile_x,n_files,total_n,median_error,mean_error,median_vza,median_sza,median_o3,mean_o3,median_error_pct,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center
0,0,240,1016034,0.912113,1.079848,18.915808,37.110016,250.82722,250.9727,0.363642,-3.0,-0.5,111.0,113.5,-1.75,112.25
0,1,240,1005906,0.942881,1.155395,16.00629,37.306587,250.61679,250.72314,0.376224,-3.0,-0.5,113.5,116.0,-1.75,114.75
0,2,240,1003175,0.973305,1.225147,13.117427,37.158287,249.64105,250.18343,0.389882,-3.0,-0.5,116.0,118.5,-1.75,117.25
0,3,240,1048886,1.049426,1.280025,10.246645,36.9439,250.36322,250.50093,0.419161,-3.0,-0.5,118.5,121.0,-1.75,119.75
0,4,240,989141,1.145597,1.428512,7.420954,36.95968,250.11017,249.91501,0.458037,-3.0,-0.5,121.0,123.5,-1.75,122.25
0,5,240,1004655,1.024873,1.303346,4.705524,36.609608,248.98753,248.96516,0.411616,-3.0,-0.5,123.5,126.0,-1.75,124.75
0,6,240,1017586,1.032916,1.283042,2.59593,36.521034,248.9549,248.97781,0.414901,-3.0,-0.5,126.0,128.5,-1.75,127.25
0,7,240,1032136,1.016525,1.252161,2.912372,36.683098,248.32101,248.55824,0.409359,-3.0,-0.5,128.5,131.0,-1.75,129.75
1,0,240,1021691,0.96679,1.131839,18.812914,35.582424,253.97438,254.14551,0.380664,-0.5,2.0,111.0,113.5,0.75,112.25
1,1,240,1039792,0.951924,1.17482,15.909021,35.74933,254.24539,254.48076,0.374412,-0.5,2.0,113.5,116.0,0.75,114.75
1,2,240,1007737,1.010152,1.296593,13.01199,35.533447,253.59859,253.86069,0.398327,-0.5,2.0,116.0,118.5,0.75,117.25
1,3,240,1029528,1.034784,1.277788,10.075769,35.397728,252.56796,252.89838,0.409705,-0.5,2.0,118.5,121.0,0.75,119.75
1,4,240,1053809,1.039951,1.252404,7.161125,35.498825,252.32607,252.21255,0.412146,-0.5,2.0,121.0,123.5,0.75,122.25
1,5,240,1034331,1.032554,1.311951,4.304032,34.89234,252.48938,252.2481,0.40895,-0.5,2.0,123.5,126.0,0.75,124.75
1,6,240,1027009,1.051736,1.339277,1.822234,34.959705,251.89777,252.2879,0.417525,-0.5,2.0,126.0,128.5,0.75,127.25
1,7,240,1046795,1.006586,1.25367,2.217115,35.1118,251.58588,251.91873,0.400096,-0.5,2.0,128.5,131.0,0.75,129.75
2,0,240,983484,1.067943,1.256541,19.163149,34.129433,256.75305,256.5216,0.415942,2.0,4.5,111.0,113.5,3.25,112.25
2,1,240,1037968,1.018275,1.188107,16.330902,34.292587,257.5656,257.34195,0.395346,2.0,4.5,113.5,116.0,3.25,114.75
2,2,240,1027351,1.037317,1.272278,13.538473,34.153446,256.6466,256.57254,0.404181,2.0,4.5,116.0,118.5,3.25,117.25
2,3,240,1020146,1.087849,1.341671,10.747248,34.05688,255.262,255.65349,0.42617,2.0,4.5,118.5,121.0,3.25,119.75
2,4,240,1023482,1.023075,1.281908,8.0888,33.985474,254.46709,254.89233,0.402046,2.0,4.5,121.0,123.5,3.25,122.25
2,5,240,1062439,0.999377,1.223772,5.744023,33.40754,254.3634,254.60722,0.392893,2.0,4.5,123.5,126.0,3.25,124.75
2,6,240,1053766,0.993629,1.237814,4.112762,33.54511,254.11066,254.52682,0.391022,2.0,4.5,126.0,128.5,3.25,127.25
2,7,240,1032710,0.992663,1.28204,4.332038,33.63403,253.86577,254.38411,0.391019,2.0,4.5,128.5,131.0,3.25,129.75
3,0,240,936139,1.113176,1.39978,19.949318,32.849598,259.5235,259.74765,0.428931,4.5,7.0,111.0,113.5,5.75,112.25
3,1,240,1011702,1.070286,1.259613,17.238853,32.92649,258.80444,258.72403,0.41355,4.5,7.0,113.5,116.0,5.75,114.75
3,2,240,1033718,1.013986,1.172672,14.615335,32.798943,258.2314,258.53952,0.392666,4.5,7.0,116.0,118.5,5.75,117.25
3,3,240,1031105,0.999216,1.216474,12.104551,32.629738,257.42444,257.9247,0.388159,4.5,7.0,118.5,121.0,5.75,119.75
3,4,240,1011344,1.033541,1.284788,9.846865,32.647247,256.46793,257.58014,0.40299,4.5,7.0,121.0,123.5,5.75,122.25
3,5,240,1035486,1.004829,1.239322,7.99438,32.06814,256.61514,257.33792,0.39157,4.5,7.0,123.5,126.0,5.75,124.75
3,6,240,1039193,0.946123,1.220171,6.930967,32.192642,257.01337,257.25754,0.368122,4.5,7.0,126.0,128.5,5.75,127.25
3,7,240,1035828,0.979697,1.282213,7.049515,32.318584,256.4677,256.74747,0.381996,4.5,7.0,128.5,131.0,5.75,129.75
