tile_y,tile_x,n_files,total_n,median_error,mean_error,median_error_pct,mean_error_pct,median_o3,mean_o3,median_vza,median_sza,year,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center
0.0,0.0,245.0,1031567.0,0.760958,0.978815,0.315196,0.403386,242.145004,241.856332,18.923079,33.460621,2025,-3.0,-0.5,111.0,113.5,-1.75,112.25
0.0,1.0,245.0,1012865.0,0.894328,1.080007,0.372121,0.446246,240.623505,240.971397,15.994495,33.337383,2025,-3.0,-0.5,113.5,116.0,-1.75,114.75
0.0,2.0,246.0,1045399.0,0.823463,1.069177,0.346829,0.442909,239.239014,240.017506,13.116261,36.403723,2025,-3.0,-0.5,116.0,118.5,-1.75,117.25
0.0,3.0,247.0,1130351.0,0.886074,1.151589,0.370982,0.475883,239.881302,240.627472,10.248766,36.786171,2025,-3.0,-0.5,118.5,121.0,-1.75,119.75
0.0,4.0,247.0,1067309.0,0.902002,1.262203,0.374226,0.521553,240.381775,240.594968,7.412824,36.910107,2025,-3.0,-0.5,121.0,123.5,-1.75,122.25
0.0,5.0,247.0,1100421.0,0.842786,1.162477,0.355336,0.482687,238.994026,239.582198,4.704887,36.483131,2025,-3.0,-0.5,123.5,126.0,-1.75,124.75
0.0,6.0,247.0,1094961.0,0.902234,1.269677,0.377956,0.52594,239.538925,240.020168,2.584553,37.843821,2025,-3.0,-0.5,126.0,128.5,-1.75,127.25
0.0,7.0,247.0,1080595.0,0.990095,1.317953,0.409312,0.545622,240.425064,240.313399,2.910482,39.576132,2025,-3.0,-0.5,128.5,131.0,-1.75,129.75
1.0,0.0,245.0,1051496.0,0.860025,1.03309,0.353836,0.420988,244.284195,244.552616,18.822456,31.597789,2025,-0.5,2.0,111.0,113.5,0.75,112.25
1.0,1.0,245.0,1062798.0,0.88107,1.147332,0.363301,0.465649,245.986046,245.340005,15.912558,31.532499,2025,-0.5,2.0,113.5,116.0,0.75,114.75
1.0,2.0,246.0,1050769.0,0.901593,1.206355,0.373015,0.490899,243.935143,244.243786,12.984278,34.650904,2025,-0.5,2.0,116.0,118.5,0.75,117.25
1.0,3.0,247.0,1096484.0,0.89363,1.209402,0.36926,0.493871,242.707947,243.352003,10.07973,35.083054,2025,-0.5,2.0,118.5,121.0,0.75,119.75
1.0,4.0,247.0,1097249.0,0.894895,1.114434,0.373884,0.457778,241.712463,242.272634,7.164295,35.388979,2025,-0.5,2.0,121.0,123.5,0.75,122.25
1.0,5.0,247.0,1105470.0,0.887655,1.128676,0.368726,0.463405,241.812515,242.325191,4.30273,34.911514,2025,-0.5,2.0,123.5,126.0,0.75,124.75
1.0,6.0,247.0,1111162.0,0.907229,1.187092,0.373662,0.485802,242.609879,243.149523,1.81793,36.496479,2025,-0.5,2.0,126.0,128.5,0.75,127.25
1.0,7.0,247.0,1079470.0,0.916432,1.323294,0.377415,0.540345,243.03688,243.514253,2.223024,38.318638,2025,-0.5,2.0,128.5,131.0,0.75,129.75
2.0,0.0,245.0,1031970.0,0.887745,1.075416,0.358619,0.430446,248.236443,248.507969,19.174994,29.902142,2025,2.0,4.5,111.0,113.5,3.25,112.25
2.0,1.0,245.0,1060561.0,0.927388,1.122441,0.373395,0.448714,248.930069,249.170405,16.331492,29.753281,2025,2.0,4.5,113.5,116.0,3.25,114.75
2.0,2.0,246.0,1064677.0,0.919543,1.205295,0.377346,0.482919,247.418373,248.074874,13.539285,33.083845,2025,2.0,4.5,116.0,118.5,3.25,117.25
2.0,3.0,247.0,1084696.0,0.872154,1.210499,0.353609,0.485978,246.831284,247.3183,10.747581,33.360512,2025,2.0,4.5,118.5,121.0,3.25,119.75
2.0,4.0,247.0,1076208.0,0.873114,1.141079,0.35616,0.460036,246.315834,246.570307,8.090992,33.941334,2025,2.0,4.5,121.0,123.5,3.25,122.25
2.0,5.0,247.0,1082699.0,0.893008,1.1798,0.364825,0.47518,246.480438,246.689141,5.746895,33.508474,2025,2.0,4.5,123.5,126.0,3.25,124.75
2.0,6.0,247.0,1095545.0,0.852378,1.160739,0.349736,0.468034,246.082527,246.505236,4.109723,35.271435,2025,2.0,4.5,126.0,128.5,3.25,127.25
2.0,7.0,247.0,1083851.0,0.86589,1.264867,0.354508,0.509014,246.328423,246.923067,4.329529,37.202274,2025,2.0,4.5,128.5,131.0,3.25,129.75
3.0,0.0,245.0,1020895.0,0.837624,1.073649,0.334478,0.42268,252.260025,252.712982,19.950369,28.197512,2025,4.5,7.0,111.0,113.5,5.75,112.25
3.0,1.0,245.0,1047809.0,0.872167,1.126574,0.348801,0.443961,252.119576,252.362647,17.241693,28.082354,2025,4.5,7.0,113.5,116.0,5.75,114.75
3.0,2.0,246.0,1064054.0,0.94485,1.202964,0.378588,0.474234,252.722645,252.148524,14.614938,31.607644,2025,4.5,7.0,116.0,118.5,5.75,117.25
3.0,3.0,247.0,1094477.0,0.891761,1.213882,0.357653,0.479116,251.266731,251.451354,12.10001,32.160206,2025,4.5,7.0,118.5,121.0,5.75,119.75
3.0,4.0,247.0,1068790.0,0.879855,1.207348,0.351082,0.47797,250.599274,250.954877,9.846333,32.544815,2025,4.5,7.0,121.0,123.5,5.75,122.25
3.0,5.0,247.0,1077264.0,0.896518,1.234525,0.359502,0.48828,251.181465,251.358527,7.993632,32.321163,2025,4.5,7.0,123.5,126.0,5.75,124.75
3.0,6.0,247.0,1073948.0,0.939959,1.272662,0.372865,0.503065,251.368286,251.296019,6.934002,34.0858,2025,4.5,7.0,126.0,128.5,5.75,127.25
3.0,7.0,247.0,1058875.0,0.881953,1.291117,0.355075,0.511316,250.141998,250.705692,7.051739,36.008287,2025,4.5,7.0,128.5,131.0,5.75,129.75
