tile_y,tile_x,n,median_error,mean_error,median_o3,mean_o3,median_vza,median_sza,year,slot,file
3,2,4396,0.77800876,0.8790441,258.10303,259.018,14.58737,36.910164,2023,1,20230701_0145.nc
3,3,4482,0.92996764,0.91463643,255.7189,256.00916,12.076165,35.15838,2023,1,20230701_0145.nc
3,4,3035,0.9474859,1.3217064,257.15607,258.63116,10.005707,33.72047,2023,1,20230701_0145.nc
3,5,4471,0.90655476,1.1038702,253.87714,254.25528,7.9699974,31.75179,2023,1,20230701_0145.nc
3,6,4574,0.90977025,0.9335113,249.90874,250.30974,6.90003,30.114143,2023,1,20230701_0145.nc
3,7,4598,0.87834525,0.86828405,250.03247,250.25073,7.023602,28.504234,2023,1,20230701_0145.nc
0,0,4043,0.87780243,1.0853071,248.86784,249.11473,18.995066,34.28893,2023,2,20230701_0245.nc
0,1,4452,0.6787555,0.76413316,244.19197,244.46902,16.006218,32.875153,2023,2,20230701_0245.nc
0,2,4432,0.7378831,0.8790776,242.50665,243.16951,13.121826,31.591805,2023,2,20230701_0245.nc
0,3,4529,0.87541866,0.98266834,242.96953,244.51372,10.235628,30.38576,2023,2,20230701_0245.nc
0,4,4508,0.822292,0.97323906,243.40921,244.54414,7.3832817,29.28379,2023,2,20230701_0245.nc
0,5,4624,0.80872667,0.7940298,242.5177,243.08218,4.7000666,28.262636,2023,2,20230701_0245.nc
0,6,4647,0.78324854,0.78807896,243.08649,243.62637,2.5830169,27.35347,2023,2,20230701_0245.nc
0,7,4361,0.8125955,1.0111673,243.37645,244.70268,2.8841307,26.530926,2023,2,20230701_0245.nc
1,0,4042,1.2344713,1.3868519,251.3425,251.44473,18.898445,32.376366,2023,2,20230701_0245.nc
1,1,4290,0.8808085,1.0946817,249.18665,249.49875,15.906403,30.99564,2023,2,20230701_0245.nc
1,2,4387,0.9144915,1.124299,247.7271,247.92033,13.03755,29.63767,2023,2,20230701_0245.nc
1,3,4259,0.92643833,1.3461659,247.60422,248.13968,10.077461,28.347267,2023,2,20230701_0245.nc
1,4,4575,0.83451164,0.90540856,244.10324,244.93689,7.1535335,27.141655,2023,2,20230701_0245.nc
1,5,4557,0.86742437,0.85002893,245.11562,245.58493,4.302793,26.0753,2023,2,20230701_0245.nc
1,6,4542,0.8227525,0.91558176,246.6063,247.66826,1.8169179,25.121,2023,2,20230701_0245.nc
1,7,4602,0.7896322,1.0272291,247.80154,249.21194,2.2244544,24.260477,2023,2,20230701_0245.nc
2,0,3898,1.0664413,1.3651576,261.2978,259.90207,19.311764,30.749031,2023,2,20230701_0245.nc
2,1,3595,1.2278033,1.4968864,255.99391,255.98004,16.083717,29.125801,2023,2,20230701_0245.nc
2,2,3899,1.5173842,1.6264739,255.12251,255.26024,13.694333,27.74466,2023,2,20230701_0245.nc
2,3,4312,0.86127067,1.1328087,249.8577,250.47606,10.723999,26.322964,2023,2,20230701_0245.nc
2,4,4600,0.84415865,0.8573645,246.96378,247.86821,8.058712,25.088509,2023,2,20230701_0245.nc
2,5,4599,0.8600745,0.8864095,247.10728,247.7769,5.7051296,23.921951,2023,2,20230701_0245.nc
2,6,4570,0.84072053,0.88026834,247.3168,247.93561,4.0791655,22.87475,2023,2,20230701_0245.nc
2,7,4599,0.8148244,0.81857336,247.33333,247.89719,4.31945,21.944113,2023,2,20230701_0245.nc
3,0,4093,0.7814966,1.0226455,262.7013,263.17303,19.948887,29.056692,2023,2,20230701_0245.nc
3,1,3500,0.83923846,1.2468156,263.1671,263.28867,17.313305,27.309944,2023,2,20230701_0245.nc
