year,file,rows,rows_in_region,good_error_rows
2022,20220724_0145.nc,1423360,144350,139668
2022,20220724_0245.nc,1423360,144374,140096
2022,20220724_0345.nc,1423360,144370,141637
2022,20220724_0445.nc,1423360,144381,142047
2022,20220724_0545.nc,1423360,144408,141039
2022,20220724_0645.nc,1423360,144368,141198
2022,20220724_0745.nc,1423360,144431,140854
2022,20220725_0045.nc,1423360,144374,140072
2022,20220725_0145.nc,1423360,144340,140043
2022,20220725_0245.nc,1423360,144374,140876
2022,20220725_0345.nc,1423360,144371,141734
2022,20220725_0445.nc,1423360,144353,141682
2022,20220725_0545.nc,1423360,144399,140312
2022,20220725_0645.nc,1423360,144392,140208
2022,20220725_0745.nc,1423360,144424,139693
2022,20220726_0045.nc,1423360,144400,136123
2022,20220726_0145.nc,1423360,144331,136206
2022,20220726_0245.nc,1423360,144362,136839
2022,20220726_0345.nc,1423360,144378,137682
2022,20220726_0445.nc,1423360,144338,137555
2022,20220726_0545.nc,1423360,144387,137059
2022,20220726_0645.nc,1423360,144423,137002
2022,20220726_0745.nc,1423360,144379,137392
2022,20220727_0045.nc,1423360,144305,131968
2022,20220727_0145.nc,1423360,144360,130360
2022,20220727_0245.nc,1423360,144273,133014
2022,20220727_0345.nc,1423360,144371,135287
2022,20220727_0445.nc,1423360,144389,134771
2022,20220727_0545.nc,1423360,144332,134535
2022,20220727_0645.nc,1423360,144411,135374
2022,20220727_0745.nc,1423360,144418,136642
2022,20220728_0045.nc,1423360,144328,136645
2022,20220728_0145.nc,1423360,144367,137313
2022,20220728_0245.nc,1423360,144329,138024
2022,20220728_0345.nc,1423360,144389,138769
2022,20220728_0445.nc,1423360,144406,139848
2022,20220728_0545.nc,1423360,144374,140071
2022,20220728_0645.nc,1423360,144404,140784
2022,20220728_0745.nc,1423360,144443,140525
2022,20220730_0045.nc,1423360,144353,139689
2022,20220730_0145.nc,1423360,144295,139501
2022,20220730_0245.nc,1423360,144370,139909
2022,20220730_0345.nc,1423360,144409,140410
2022,20220730_0445.nc,1423360,144432,140261
2022,20220730_0545.nc,1423360,144452,139818
2022,20220730_0645.nc,1423360,144370,139007
2022,20220730_0745.nc,1423360,144459,138604
2022,20220731_0045.nc,1423360,144273,132326
2022,20220731_0145.nc,1423360,144324,131293
2022,20220731_0245.nc,1423360,144389,131796
2022,20220731_0345.nc,1423360,144423,133035
2022,20220731_0445.nc,1423360,144436,135080
2022,20220731_0545.nc,1423360,144442,137263
2022,20220731_0645.nc,1423360,144378,138204
2022,20220731_0745.nc,1423360,144438,139039
2023,20230701_0045.nc,1423360,144408,136641
2023,20230701_0145.nc,1423360,144425,136741
2023,20230701_0245.nc,1423360,144407,138002
2023,20230701_0345.nc,1423360,144395,138910
2023,20230701_0445.nc,1423360,144438,139153
2023,20230701_0545.nc,1423360,144423,138942
2023,20230701_0645.nc,1423360,144374,137790
2023,20230701_0745.nc,1423360,144428,136841
2023,20230701_2245.nc,710656,51527,50023
2023,20230701_2345.nc,710656,103846,101834
2023,20230702_0045.nc,1423360,144417,138733
2023,20230702_0145.nc,1423360,144428,138331
2023,20230702_0245.nc,1423360,144395,138578
2023,20230702_0345.nc,1423360,144417,139571
2023,20230702_0445.nc,1423360,144429,139897
2023,20230702_0545.nc,1423360,144407,139092
2023,20230702_0645.nc,1423360,144433,137710
2023,20230702_0745.nc,1423360,144394,136587
2023,20230702_2245.nc,710656,51504,50074
2023,20230702_2345.nc,710656,103867,95145
2023,20230703_0045.nc,1423360,144401,129060
2023,20230703_0145.nc,1423360,144401,128193
2023,20230703_0245.nc,1423360,144406,128425
2023,20230703_0345.nc,1423360,144414,129078
2023,20230703_0445.nc,1423360,144417,130055
2023,20230703_0545.nc,1423360,144380,130887
2023,20230703_0645.nc,1423360,144426,132581
2023,20230703_0745.nc,1423360,144380,133849
2023,20230703_2245.nc,710656,51477,48735
2023,20230703_2345.nc,710656,103819,94306
2023,20230704_0045.nc,1423360,144361,132426
2023,20230704_0145.nc,1423360,144335,131476
2023,20230704_0245.nc,1423360,144419,132705
2023,20230704_0345.nc,1423360,144419,134965
2023,20230704_0445.nc,1423360,144444,136365
2023,20230704_0545.nc,1423360,144371,137528
2023,20230704_0645.nc,1423360,144439,137625
2023,20230704_0745.nc,1423360,144430,137135
2023,20230704_2245.nc,710656,51551,46800
2023,20230704_2345.nc,710656,103866,96302
2023,20230705_0045.nc,1423360,144409,135962
2023,20230705_0145.nc,1423360,144367,136262
2023,20230705_0245.nc,1423360,144433,136560
2023,20230705_0345.nc,1423360,144428,136884
2023,20230705_0445.nc,1423360,144432,137860
2023,20230705_0545.nc,1423360,144371,137773
2023,20230705_0645.nc,1423360,144455,138440
2023,20230705_0745.nc,1423360,144429,138061
2023,20230705_2245.nc,710656,51611,50062
2023,20230705_2345.nc,710656,103958,100451
2023,20230706_0045.nc,1423360,144347,138189
2023,20230706_0145.nc,1423360,144419,137456
2023,20230706_0245.nc,1423360,144447,138174
2023,20230706_0345.nc,1423360,144367,138826
2023,20230706_0445.nc,1423360,144440,138569
