tile_y,tile_x,n,median_error,mean_error,median_error_pct,mean_error_pct,median_o3,mean_o3,median_vza,median_sza,year,file
0,0,4273,1.284462,1.151408,0.540043,0.485058,236.042725,237.844531,18.93478,57.224003,2025,20250701_0045.nc
0,1,4035,1.315235,1.23237,0.560833,0.523726,234.530243,235.754585,15.990589,55.338642,2025,20250701_0045.nc
0,2,4382,0.885081,0.884957,0.368334,0.369464,240.341812,240.016524,13.141589,53.612242,2025,20250701_0045.nc
0,3,4571,0.759056,0.827333,0.311593,0.3385,244.718521,244.14355,10.26265,51.827278,2025,20250701_0045.nc
0,4,4388,0.983299,1.118121,0.410993,0.463584,241.053413,240.985536,7.467066,50.085585,2025,20250701_0045.nc
0,5,3903,1.491683,1.52831,0.620117,0.635706,239.416855,239.598398,4.633127,48.262859,2025,20250701_0045.nc
0,6,3848,1.436636,1.489218,0.593727,0.614299,241.204659,241.27021,2.734772,46.668139,2025,20250701_0045.nc
0,7,4497,0.656075,0.857263,0.276262,0.357066,238.952499,239.119538,2.927714,44.90921,2025,20250701_0045.nc
1,0,4217,1.015743,0.970315,0.419931,0.403115,241.257355,241.296852,18.830723,56.041126,2025,20250701_0045.nc
1,1,4468,0.754978,0.816471,0.312063,0.338854,241.710709,241.506365,15.925076,54.191927,2025,20250701_0045.nc
1,2,4351,0.800701,0.857861,0.330388,0.355723,242.346405,241.800707,12.959867,52.32571,2025,20250701_0045.nc
1,3,4483,0.723629,0.825782,0.296071,0.337898,244.254089,244.12286,10.106889,50.550529,2025,20250701_0045.nc
1,4,4593,0.702103,0.750599,0.290259,0.311223,241.712463,241.522536,7.212015,48.766376,2025,20250701_0045.nc
1,5,4600,0.838137,0.936408,0.349964,0.387038,241.489517,241.436605,4.341603,46.994942,2025,20250701_0045.nc
1,6,4458,1.347949,1.445199,0.551361,0.59042,244.187241,244.209913,1.833786,45.2194,2025,20250701_0045.nc
1,7,4197,1.409424,1.558713,0.570845,0.630052,246.85788,246.555917,2.101635,43.574982,2025,20250701_0045.nc
2,0,3813,1.045796,1.098877,0.427566,0.443615,248.048706,247.601467,19.139462,54.966454,2025,20250701_0045.nc
2,1,4424,1.000702,0.967753,0.402873,0.390203,247.726753,248.261693,16.351615,53.036201,2025,20250701_0045.nc
2,2,4401,0.73632,0.78677,0.298034,0.319344,247.117111,246.993789,13.522206,51.178486,2025,20250701_0045.nc
2,3,4485,0.79325,0.797236,0.320658,0.322865,247.050003,247.222952,10.755925,49.334782,2025,20250701_0045.nc
2,4,4593,0.750204,0.787807,0.303382,0.318146,247.572769,247.830789,8.102171,47.518105,2025,20250701_0045.nc
2,5,4576,0.778112,0.937746,0.315038,0.37719,247.811111,247.985514,5.749989,45.707365,2025,20250701_0045.nc
2,6,4186,0.890512,1.241958,0.36305,0.499136,247.247742,247.501101,4.233847,43.870142,2025,20250701_0045.nc
2,7,3757,2.380732,2.198258,0.947321,0.873193,251.350769,250.870324,4.135062,42.234615,2025,20250701_0045.nc
3,0,4103,0.797959,0.909695,0.313826,0.356739,254.804749,254.728001,19.972813,53.829681,2025,20250701_0045.nc
3,1,4309,0.889284,0.961969,0.350803,0.377952,254.442581,254.388396,17.255001,51.95015,2025,20250701_0045.nc
3,2,4391,0.922658,0.928328,0.368328,0.369024,250.988022,251.742086,14.629111,50.084137,2025,20250701_0045.nc
3,3,4414,1.004747,0.962908,0.405858,0.388634,247.585289,247.98784,12.12439,48.207323,2025,20250701_0045.nc
3,4,4555,0.971483,0.944774,0.39164,0.380267,248.299667,248.504547,9.855116,46.359497,2025,20250701_0045.nc
3,5,4522,0.863322,0.885673,0.345699,0.354107,250.049278,250.499123,7.979859,44.512293,2025,20250701_0045.nc
3,6,4543,0.812336,0.872882,0.329155,0.348539,248.87468,249.894616,6.928441,42.672234,2025,20250701_0045.nc
3,7,4379,0.851454,1.230911,0.344972,0.490609,248.89386,249.462422,7.076144,40.875019,2025,20250701_0045.nc
0,0,4280,0.749061,0.7661,0.317095,0.323778,235.906334,237.204463,18.930753,44.563406,2025,20250701_0145.nc
0,1,4110,0.935846,0.874085,0.398929,0.372143,233.899452,235.471346,16.000979,42.847494,2025,20250701_0145.nc
0,2,4385,0.7423,0.868498,0.31056,0.36072,240.434631,240.129114,13.142204,41.26965,2025,20250701_0145.nc
0,3,4549,0.826961,0.970651,0.342843,0.398383,243.814545,242.932101,10.262387,39.664963,2025,20250701_0145.nc
0,4,4307,1.305697,1.439291,0.538139,0.593634,242.088547,241.63707,7.470427,38.095062,2025,20250701_0145.nc
0,5,3469,2.186939,2.049119,0.90704,0.850505,240.404984,240.234689,4.557906,36.468346,2025,20250701_0145.nc
0,6,3744,1.566128,1.681955,0.651172,0.696175,240.660591,240.541578,2.685838,35.188847,2025,20250701_0145.nc
0,7,4470,0.698768,0.926125,0.295755,0.386679,238.217522,238.420109,2.929095,33.728378,2025,20250701_0145.nc
1,0,4257,0.935597,0.889139,0.392363,0.372706,237.853683,239.092786,18.822132,43.125332,2025,20250701_0145.nc
1,1,4459,0.757084,0.793015,0.312851,0.329884,241.399551,240.931224,15.924895,41.41045,2025,20250701_0145.nc
1,2,4361,0.805261,0.869432,0.336715,0.360156,240.279938,241.003298,12.972236,39.700916,2025,20250701_0145.nc
1,3,4508,0.692415,0.753605,0.286324,0.310575,242.153824,242.422615,10.11126,38.075121,2025,20250701_0145.nc
1,4,4561,0.743385,0.789141,0.310264,0.327686,240.496368,240.576699,7.20017,36.472507,2025,20250701_0145.nc
1,5,4601,0.74664,0.955992,0.309581,0.391713,243.144638,242.824744,4.351953,34.911514,2025,20250701_0145.nc
1,6,4510,1.608835,1.653934,0.656689,0.67432,244.84697,244.530215,1.796261,33.362797,2025,20250701_0145.nc
1,7,3791,1.029802,1.408404,0.419926,0.571436,244.91864,244.684136,2.006097,32.065052,2025,20250701_0145.nc
2,0,3652,0.961073,1.212673,0.397582,0.486386,247.086945,247.257061,19.10109,41.824415,2025,20250701_0145.nc
2,1,4380,1.029203,0.964392,0.422058,0.394266,243.660179,245.267431,16.342069,40.001926,2025,20250701_0145.nc
2,2,4420,0.718473,0.768429,0.292099,0.311734,246.25309,246.444526,13.523801,38.266596,2025,20250701_0145.nc
2,3,4483,0.783478,0.818839,0.319066,0.331222,246.5242,246.938536,10.760082,36.567482,2025,20250701_0145.nc
2,4,4587,0.758218,0.818098,0.307714,0.3309,246.787659,247.032529,8.10554,34.91029,2025,20250701_0145.nc
