tile_y,tile_x,n_files,total_n,median_error,mean_error,median_error_pct,mean_error_pct,median_o3,mean_o3,median_vza,median_sza,year,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center
0.0,0.0,248.0,1029441.0,0.816779,1.052561,0.31843,0.405517,259.231667,259.04746,18.916396,36.710605,2024,-3.0,-0.5,111.0,113.5,-1.75,112.25
0.0,1.0,248.0,1048114.0,0.856453,1.133339,0.333444,0.436929,258.226807,258.634147,16.012932,37.275932,2024,-3.0,-0.5,113.5,116.0,-1.75,114.75
0.0,2.0,259.0,1067029.0,0.84137,1.14585,0.329413,0.44379,256.523132,257.287192,13.109738,39.909618,2024,-3.0,-0.5,116.0,118.5,-1.75,117.25
0.0,3.0,260.0,1145237.0,0.924443,1.221671,0.361721,0.471597,256.97496,257.981188,10.243482,38.258438,2024,-3.0,-0.5,118.5,121.0,-1.75,119.75
0.0,4.0,260.0,1070841.0,1.304072,1.527836,0.503863,0.590808,257.351143,257.706838,7.408491,37.216602,2024,-3.0,-0.5,121.0,123.5,-1.75,122.25
0.0,5.0,260.0,1143647.0,0.902833,1.184107,0.353835,0.460175,255.558254,256.253802,4.700306,36.735876,2024,-3.0,-0.5,123.5,126.0,-1.75,124.75
0.0,6.0,260.0,1154441.0,0.916001,1.199677,0.354965,0.465182,256.155342,256.654758,2.588085,38.417656,2024,-3.0,-0.5,126.0,128.5,-1.75,127.25
0.0,7.0,260.0,1161735.0,0.913031,1.175279,0.36066,0.456847,255.690811,256.325563,2.917419,40.1186,2024,-3.0,-0.5,128.5,131.0,-1.75,129.75
1.0,0.0,248.0,1053816.0,0.886568,1.086626,0.340928,0.414751,261.111404,261.417018,18.822698,35.135362,2024,-0.5,2.0,111.0,113.5,0.75,112.25
1.0,1.0,248.0,1053942.0,0.88848,1.173778,0.34115,0.447102,261.431747,261.75274,15.909688,35.696486,2024,-0.5,2.0,113.5,116.0,0.75,114.75
