tile_y,tile_x,n_files,total_n,median_error,mean_error,median_error_pct,mean_error_pct,median_o3,mean_o3,median_vza,median_sza,year,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_lat_center,tile_lon_center
0.0,0.0,240.0,1016033.0,0.912113,1.079848,0.364977,0.429887,250.827251,250.972706,18.915808,37.110019,2022,-3.0,-0.5,111.0,113.5,-1.75,112.25
0.0,1.0,240.0,1005907.0,0.942881,1.155395,0.378284,0.459873,250.616798,250.723141,16.006291,37.306587,2022,-3.0,-0.5,113.5,116.0,-1.75,114.75
0.0,2.0,240.0,1003173.0,0.973305,1.225147,0.392447,0.488609,249.64106,250.183438,13.117427,37.158289,2022,-3.0,-0.5,116.0,118.5,-1.75,117.25
0.0,3.0,240.0,1048886.0,1.049426,1.280025,0.419198,0.509722,250.363232,250.500917,10.246644,36.943902,2022,-3.0,-0.5,118.5,121.0,-1.75,119.75
0.0,4.0,240.0,989140.0,1.145597,1.428512,0.458119,0.570669,250.109535,249.915015,7.420955,36.959678,2022,-3.0,-0.5,121.0,123.5,-1.75,122.25
0.0,5.0,240.0,1004650.0,1.024873,1.303344,0.415449,0.522785,248.987537,248.965165,4.705523,36.609607,2022,-3.0,-0.5,123.5,126.0,-1.75,124.75
0.0,6.0,240.0,1017585.0,1.033005,1.283044,0.417951,0.514258,248.954887,248.977803,2.59593,36.520882,2022,-3.0,-0.5,126.0,128.5,-1.75,127.25
0.0,7.0,240.0,1032145.0,1.016525,1.252159,0.410019,0.503518,248.321022,248.558239,2.912341,36.683096,2022,-3.0,-0.5,128.5,131.0,-1.75,129.75
1.0,0.0,240.0,1021688.0,0.96679,1.13184,0.382797,0.44483,253.974377,254.145511,18.812914,35.582424,2022,-0.5,2.0,111.0,113.5,0.75,112.25
1.0,1.0,240.0,1039794.0,0.951924,1.17482,0.374267,0.460798,254.245399,254.48077,15.909021,35.749331,2022,-0.5,2.0,113.5,116.0,0.75,114.75
1.0,2.0,240.0,1007734.0,1.010152,1.296593,0.399396,0.509534,253.598579,253.860697,13.011989,35.533445,2022,-0.5,2.0,116.0,118.5,0.75,117.25
1.0,3.0,240.0,1029531.0,1.034784,1.277787,0.412987,0.504763,252.567966,252.898391,10.075769,35.397729,2022,-0.5,2.0,118.5,121.0,0.75,119.75
1.0,4.0,240.0,1053805.0,1.039951,1.252404,0.413302,0.495497,252.326061,252.212547,7.161125,35.498825,2022,-0.5,2.0,121.0,123.5,0.75,122.25
1.0,5.0,240.0,1034333.0,1.032554,1.311951,0.412044,0.519206,252.489388,252.248106,4.30408,34.892343,2022,-0.5,2.0,123.5,126.0,0.75,124.75
1.0,6.0,240.0,1027010.0,1.051736,1.339276,0.416331,0.530335,251.897774,252.287901,1.822234,34.959705,2022,-0.5,2.0,126.0,128.5,0.75,127.25
1.0,7.0,240.0,1046796.0,1.006586,1.25367,0.40422,0.496924,251.585884,251.918738,2.217115,35.111801,2022,-0.5,2.0,128.5,131.0,0.75,129.75
