,points_per_hour,rows_total,rows_valid,valid_rate,day_build_s,fft_first_s,fft_median_s,reverse_precompute_s,reverse_refine_s,reverse_incremental_s,reverse_total_seed_s,reverse_over_fft_ratio,reverse_seed_movement
mean,18126.0000000000,145008.0000000000,131428.0000000000,0.9063499945,0.0108437090,0.0267555000,0.0233449580,0.3985068330,5.6178817080,6.0163885410,6.0397334989,258.7168290113,0.0216116447
median,18126.0000000000,145008.0000000000,131428.0000000000,0.9063499945,0.0108437090,0.0267555000,0.0233449580,0.3985068330,5.6178817080,6.0163885410,6.0397334989,258.7168290113,0.0216116447
min,18126.0000000000,145008.0000000000,131428.0000000000,0.9063499945,0.0108437090,0.0267555000,0.0233449580,0.3985068330,5.6178817080,6.0163885410,6.0397334989,258.7168290113,0.0216116447
max,18126.0000000000,145008.0000000000,131428.0000000000,0.9063499945,0.0108437090,0.0267555000,0.0233449580,0.3985068330,5.6178817080,6.0163885410,6.0397334989,258.7168290113,0.0216116447
