lat_factor_hr,lon_factor_hr,dgp,component,target_actual_source,target_mapped_source,mapping_bias,abs_mapping_bias_over_abs_model_gap
1,1,joint,h_aa,28.237913972055576,28.261117038665407,0.023203066609831069,0.019125399395912023
1,1,joint,h_bb,28.224748823987049,28.242239431347159,0.017490607360109323,0.069354852288807639
1,1,joint,h_ab,0.39086387909880166,0.38977680617708221,-0.0010870729217194453,0.00015905696479876318
1,1,joint,variance_l,1.3811816674340245,1.3821133783366157,0.000931710902591254,0.0025491316695313432
1,1,separable,h_aa,29.451120877151144,29.920057915842417,0.46893703869127279,0.38652684609830279
1,1,separable,h_bb,28.476938927244351,29.054111898667294,0.57717297142294299,2.2886424327051045
1,1,separable,h_ab,7.2253519073017527,7.2234995302494056,-0.0018523770523470873,0.00027103376942107953
1,1,separable,variance_l,1.7466829531179251,1.7717900356754901,0.025107082557564997,0.068692186706228314
2,2,joint,h_aa,28.237913972055576,28.274085915429481,0.036171943373904725,0.029815147953724641
2,2,joint,h_bb,28.224748823987049,28.26095462176346,0.036205797776410975,0.14356549804601687
2,2,joint,h_ab,0.39086387909880166,0.39055996486396044,-0.00030391423484121827,4.4467739732236965e-05
2,2,joint,variance_l,1.3811816674340245,1.3829133031132581,0.0017316356792336229,0.0047377006512945817
2,2,separable,h_aa,29.451120877151144,30.08873323842505,0.63761236127390575,0.5255594561783995
2,2,separable,h_bb,28.476938927244351,29.251218873419617,0.77427994617526608,3.0702233599757545
2,2,separable,h_ab,7.2253519073017527,7.2246459183224596,-0.0007059889792930818,0.00010329800511461476
2,2,separable,variance_l,1.7466829531179251,1.7806593406635915,0.033976387545666453,0.092958325665235889
4,4,joint,h_aa,28.237913972055576,28.244800651351227,0.0068866792956505662,0.0056764260627976577
4,4,joint,h_bb,28.224748823987049,28.232431024905157,0.0076822009181078954,0.030461944457312734
4,4,joint,h_ab,0.39086387909880166,0.39069734274925177,-0.00016653634954988394,2.43670555662196e-05
4,4,joint,variance_l,1.3811816674340245,1.3815248245481815,0.00034315711415700001,0.00093886705080915996
4,4,separable,h_aa,29.451120877151144,29.678497459220459,0.22737658206931499,0.18741781069190658
4,4,separable,h_bb,28.476938927244351,28.815455049358476,0.3385161221141253,1.3423053392731574
4,4,separable,h_ab,7.2253519073017527,7.2251260396462191,-0.00022586765553356258,3.3048218769497478e-05
4,4,separable,variance_l,1.7466829531179251,1.7602807681802763,0.013597815062351248,0.037203193517932394
8,8,joint,h_aa,28.237913972055576,28.240962856712972,0.0030488846573959449,0.0025130788858770759
8,8,joint,h_bb,28.224748823987049,28.228187144369524,0.0034383203824752684,0.013633843430276302
8,8,joint,h_ab,0.39086387909880166,0.39083378314946593,-3.00959493357289e-05,4.4035411594161907e-06
8,8,joint,variance_l,1.3811816674340245,1.3813365793573527,0.0001549119233281715,0.00042383414066057541
8,8,separable,h_aa,29.451120877151144,29.539042560791831,0.087921683640686865,0.072470477435801456
8,8,separable,h_bb,28.476938927244351,28.593785832629809,0.11684690538545794,0.46332867101546238
8,8,separable,h_ab,7.2253519073017527,7.2253148950579424,-3.7012243810252698e-05,5.4155108118588122e-06
8,8,separable,variance_l,1.7466829531179251,1.7516100603309954,0.0049271072130703253,0.013480410072569416
100,10,joint,h_aa,28.237913972055576,28.238521084821343,0.0006071127657669706,0.00050041980738573736
100,10,joint,h_bb,28.224748823987049,28.225582177839328,0.00083335385227911729,0.0033044669141075352
100,10,joint,h_ab,0.39086387909880166,0.3908464309639858,-1.7448134815856164e-05,2.552954185281373e-06
100,10,joint,variance_l,1.3811816674340245,1.3812154891915116,3.382175748711802e-05,9.2535262697730587e-05
100,10,separable,h_aa,29.451120877151144,29.494502486484233,0.043381609333088988,0.035757799556598878
100,10,separable,h_bb,28.476938927244351,28.525572220517073,0.048633293272722256,0.19284378191123216
100,10,separable,h_ab,7.2253519073017527,7.2253157901804848,-3.6117121267942309e-05,5.2845394005963143e-06
100,10,separable,variance_l,1.7466829531179251,1.7488991972039822,0.0022162440860571397,0.0060635739814437527
