dgp,n_lat,n_lon,time_steps,embedding_lat,embedding_lon,embedding_time,embedding_size,spectrum_min_before_clip,spectrum_max_before_clip,spectrum_negative_count,spectrum_negative_fraction,spectrum_negative_mass_fraction,variance_before_renormalization,variance_target,variance_renormalization_scale,variance_after_renormalization,central_symmetry_max_adjustment_twice,fft_max_abs_imaginary_after_symmetrization,embedding_is_exact_nonnegative,generator_label,embedding_factor
joint,119,163,8,238,326,16,1241408,-68464.596990879916,3700830.5191451451,6953,0.0056008983347940406,0.045740966794163694,24.554241093819137,23.377270598968181,0.95206650898499057,23.377270598968181,3.0414154762802252,2.510993819417805e-10,False,spectrally_corrected_circulant_embedding,2
separable,119,163,8,238,326,16,1241408,-922.20330841801729,1870578.5240869294,4140,0.0033349229262257052,0.0030561858652027492,23.449155268763274,23.377270598968181,0.99693444522963903,23.377270598968181,5.0988655780557712,1.5126317550080746e-10,False,spectrally_corrected_circulant_embedding,2
joint,119,163,8,476,652,32,9931264,-311283.85549537197,17027873.278327256,32105,0.0032327204271279065,0.041719923414241633,24.441355629992266,23.377270598968181,0.95646374746422269,23.377270598968177,2.133970159300028,9.4759490191052846e-10,False,spectrally_corrected_circulant_embedding,4
separable,119,163,8,476,652,32,9931264,-1271.9889903855608,6450243.1434582751,13088,0.0013178584317162449,0.0012752418681299207,23.407158501808691,23.377270598968181,0.99872312981354827,23.377270598968181,3.5632579072927517,3.473670452813103e-10,False,spectrally_corrected_circulant_embedding,4
joint,119,163,8,952,1304,64,79450112,-1414350.1696576341,74860635.664632827,136875,0.0017227791950752693,0.032929027065023736,24.201332487702778,23.377270598968181,0.96594973069547629,23.377270598968177,1.3436570613647536,8.6850278067391003e-09,False,spectrally_corrected_circulant_embedding,8
separable,119,163,8,952,1304,64,79450112,-1698.0892368616578,20031777.494205929,38045,0.00047885395051425477,0.00046800540001830582,23.388221538043432,23.377270598968181,0.99953177546837246,23.377270598968181,2.263832134553629,1.695389853397238e-09,False,spectrally_corrected_circulant_embedding,8
