lat_factor_hr,lon_factor_hr,time_index,observed_source_count,unique_fft_cell_count,duplicated_assignments,exact_coordinate_matches,max_abs_lat_error,max_abs_lon_error,max_euclidean_degree_error,mean_euclidean_degree_error,max_standardized_error,mean_standardized_error
1,1,0,18070,17851,219,0,0.021980999999995587,0.031499999999709871,0.036784724373883561,0.01824762603996331,0.040504736649133496,0.019755551707049727
1,1,1,15920,15696,224,0,0.021937400000003882,0.031499999999979877,0.035939222144645511,0.018636093224593538,0.039583097589963923,0.02014867137256934
1,1,2,14399,14161,238,0,0.021943499999995675,0.031499999999653028,0.0367787483641537,0.019082968406073805,0.040485352181154399,0.020639327414233095
1,1,3,14342,14098,244,0,0.021961500000004408,0.031499999999709871,0.037692568286458304,0.018651052101516227,0.041768641847824195,0.02018755739894755
1,1,4,14938,14789,149,0,0.021976960000002987,0.031499999999994088,0.03710667055925939,0.018095277411965458,0.041081522143928802,0.019647912847931766
1,1,5,17553,17332,221,0,0.02195299999999567,0.031499999999908823,0.035800850314949312,0.017478741296018743,0.039264815454099232,0.018976902735739307
1,1,6,18103,17872,231,0,0.021982400000004398,0.031499999999994088,0.036715890881540425,0.017424007726239494,0.040401303659384477,0.018912852216637313
1,1,7,18103,17887,216,0,0.021992599999995699,0.031499999999908823,0.034635729298076311,0.017555339235261556,0.037499255809852153,0.019069654925085725
2,2,0,18070,18070,0,0,0.010999999999983245,0.01574999999925808,0.019083226497445135,0.010309566384504689,0.021189201836532778,0.011489158457878778
2,2,1,15920,15918,2,0,0.010997900000004002,0.015749999999655984,0.019154896146146877,0.010143633064496175,0.021280332904869505,0.011305896953602687
2,2,2,14399,14398,1,0,0.010999999999992127,0.015749999999883357,0.019078049143648995,0.010150679593015672,0.021168758182949349,0.011334647118497737
2,2,3,14342,14338,4,0,0.010999399999992221,0.015749999999911779,0.019150961842996465,0.010109946365465951,0.021275005135703292,0.011277045063905367
2,2,4,14938,14931,7,0,0.010999499999990725,0.015749999998234898,0.019192657750341801,0.010265424142843468,0.021319591033121407,0.011463502362207358
2,2,5,17553,17551,2,0,0.010999719999972762,0.015749999999911779,0.019078706878679189,0.010444888663885024,0.02118307809691489,0.011629875753312344
2,2,6,18103,18103,0,0,0.010999639999963007,0.015749999999826514,0.019120941347257718,0.010294554216470714,0.021234343968533555,0.011473157158107894
2,2,7,18103,18103,0,0,0.010999999999995236,0.015749999999627562,0.01918567026233603,0.010270474585018652,0.021310127330630861,0.011477126803465774
4,4,0,18070,18070,0,0,0.005499600000037741,0.0078749999988758645,0.0095430612522158977,0.005142103846506524,0.010601023649810378,0.0057340182857309593
4,4,1,15920,15920,0,0,0.0054998000000556768,0.0078749999997285158,0.0095787233026020484,0.0051825668500581129,0.010637435345733222,0.005778389532302336
4,4,2,14399,14399,0,0,0.00549967000003726,0.0078739999989494436,0.0095273831280966205,0.0051364073833517062,0.010579787357031268,0.0057333269543575413
4,4,3,14342,14342,0,0,0.0054999999999838511,0.0078749999989895514,0.0095604290958344589,0.0051073521107302608,0.010621573594868022,0.0056990120247924275
4,4,4,14938,14938,0,0,0.0054999999999827409,0.0078749999998279918,0.0095485989017440511,0.0051802680412135821,0.010611488695941182,0.0057657201875289475
4,4,5,17553,17553,0,0,0.0054999609999663891,0.0078749999998990461,0.0095487383493137769,0.0051535429853373262,0.010605740882751213,0.0057406125436231274
4,4,6,18103,18103,0,0,0.0054999999999951754,0.007874999998932708,0.0095549812378153461,0.0051258428023930065,0.010614196119217658,0.0057147367202560907
4,4,7,18103,18103,0,0,0.0054996999999956664,0.0078700000017875027,0.0095875588989992287,0.0052010706736960507,0.010646429167135058,0.0057963381383935829
8,8,0,18070,18070,0,0,0.0027494999999808645,0.0039350000017179809,0.0047778635765931112,0.0025636506299423455,0.0053046282479910943,0.0028601086168755598
8,8,1,15920,15920,0,0,0.0027495999999445075,0.0039359999996548822,0.0047871350141232187,0.0025982143745079886,0.0053189703661866636,0.0028957620924409183
8,8,2,14399,14399,0,0,0.0027499500000254251,0.0039359999994985628,0.0047431119895054918,0.0025886539513598132,0.0052680236489002262,0.0028862249564291878
8,8,3,14342,14342,0,0,0.0027496999999949701,0.0039350000006663777,0.0047582639689506363,0.0025834659444336156,0.0052855155568203634,0.0028815719699462864
8,8,4,14938,14938,0,0,0.0027498999999517881,0.0039360000012322871,0.0047828267546018155,0.0025986220786528283,0.0053143238089174444,0.0028957610035961049
8,8,5,17553,17553,0,0,0.0027495399999630243,0.0039350000018600895,0.0047771754198556509,0.0025607073996650074,0.0053066711886542257,0.0028579419435118877
8,8,6,18103,18103,0,0,0.002749900000005745,0.0039360000009338592,0.0047822355486602797,0.0025926343993593151,0.0053105517532687522,0.002891286997067634
8,8,7,18103,18103,0,0,0.0027499000000230645,0.0039360000012607088,0.0047913024767656243,0.0025874731354731018,0.0053228325765757355,0.0028851208184335732
100,10,0,18070,18070,0,0,0.00021999999971455964,0.0031499999996782435,0.0031544661676508401,0.0015908281517815486,0.0033127416371876339,0.0016733295517781413
100,10,1,15920,15920,0,0,0.00021999999766908473,0.0031499999994082373,0.0031568072206993865,0.0015758778387511747,0.0033160948191823421,0.0016576523803804018
100,10,2,14399,14399,0,0,0.00021999999989441577,0.0031499999996214001,0.0031572269866010465,0.0015773331822300247,0.0033166959705372527,0.0016591745544160541
100,10,3,14342,14342,0,0,0.00021999999965371941,0.0031499999997066652,0.0031557406188011529,0.0015911856682962714,0.0033145671951988953,0.0016737424778635651
100,10,4,14938,14938,0,0,0.00021999999962751815,0.0031499999998061412,0.0031574244171576112,0.0016014617003643824,0.0033169787034435564,0.0016844638646930287
100,10,5,17553,17553,0,0,0.00021999999962662997,0.0031499999997066652,0.0031575759578692259,0.0015747694728604318,0.0033171957159483559,0.0016565073166925814
100,10,6,18103,18103,0,0,0.00021999999978472573,0.0031499999997350869,0.003156611730486304,0.0015800474750384313,0.0033158148460165388,0.0016620345854203296
