embedding_factor,dgp,component,target_actual_source,target_fft_mapped_source,fft_generated,mapping_bias,spectral_correction_bias,total_generator_bias,separable_minus_joint_target_gap,abs_total_bias_over_abs_model_gap,signed_total_bias_over_model_gap,spectrum_negative_mass_fraction,spectrum_negative_fraction,spectrum_min_before_clip,embedding_is_exact_nonnegative
2,joint,h_aa,28.237913972055576,28.261117038665407,29.926927691947714,0.023203066609831069,1.6658106532823069,1.689013719892138,1.2132069050955678,1.3921893395084901,1.3921893395084901,0.045740966794163694,0.0056008983347940406,-68464.596990879916,False
2,joint,h_bb,28.224748823987049,28.242239431347159,30.011979058407253,0.017490607360109323,1.769739627060094,1.7872302344202033,0.25219010325730196,7.0868373157242663,7.0868373157242663,0.045740966794163694,0.0056008983347940406,-68464.596990879916,False
2,joint,h_ab,0.39086387909880166,0.38977680617708221,3.0558329076731292,-0.0010870729217194453,2.6660561014960469,2.6649690285743275,6.8344880282029514,0.38992957739879897,0.38992957739879897,0.045740966794163694,0.0056008983347940406,-68464.596990879916,False
2,joint,variance_l,1.3811816674340245,1.3821133783366157,1.593597229835908,0.000931710902591254,0.21148385149929227,0.21241556240188353,0.36550128568390061,0.58116228511871382,0.58116228511871382,0.045740966794163694,0.0056008983347940406,-68464.596990879916,False
2,separable,h_aa,29.451120877151144,29.920057915842417,30.129274378892642,0.46893703869127279,0.20921646305022534,0.67815350174149813,1.2132069050955678,0.55897596600645627,0.55897596600645627,0.0030561858652027492,0.0033349229262257052,-922.20330841801729,False
2,separable,h_bb,28.476938927244351,29.054111898667294,29.265108952552868,0.57717297142294299,0.2109970538855741,0.7881700253085171,0.25219010325730196,3.1253011721255808,3.1253011721255808,0.0030561858652027492,0.0033349229262257052,-922.20330841801729,False
2,separable,h_ab,7.2253519073017527,7.2234995302494056,7.4526299590332039,-0.0018523770523470873,0.2291304287837983,0.22727805173145121,6.8344880282029514,0.033254583341659802,0.033254583341659802,0.0030561858652027492,0.0033349229262257052,-922.20330841801729,False
2,separable,variance_l,1.7466829531179251,1.7717900356754901,1.7929833768250154,0.025107082557564997,0.021193341149525313,0.04630042370709031,0.36550128568390061,0.12667650024939359,0.12667650024939359,0.0030561858652027492,0.0033349229262257052,-922.20330841801729,False
4,joint,h_aa,28.237913972055576,28.261117038665407,28.930989888346865,0.023203066609831069,0.66987284968145744,0.69307591629128851,1.2132069050955678,0.57127594096300738,0.57127594096300738,0.041719923414241633,0.0032327204271279065,-311283.85549537197,False
4,joint,h_bb,28.224748823987049,28.242239431347159,28.792536011363925,0.017490607360109323,0.55029658001676651,0.56778718737687583,0.25219010325730196,2.2514253336800443,2.2514253336800443,0.041719923414241633,0.0032327204271279065,-311283.85549537197,False
4,joint,h_ab,0.39086387909880166,0.38977680617708221,2.0415420152981638,-0.0010870729217194453,1.6517652091210815,1.6506781361993621,6.8344880282029514,0.24152184178064739,0.24152184178064739,0.041719923414241633,0.0032327204271279065,-311283.85549537197,False
4,joint,variance_l,1.3811816674340245,1.3821133783366157,1.4912973270272061,0.000931710902591254,0.10918394869059034,0.11011565959318159,0.36550128568390061,0.30127297469594622,0.30127297469594622,0.041719923414241633,0.0032327204271279065,-311283.85549537197,False
4,separable,h_aa,29.451120877151144,29.920057915842417,30.012305013903156,0.46893703869127279,0.092247098060738608,0.5611841367520114,1.2132069050955678,0.46256259702693109,0.46256259702693109,0.0012752418681299207,0.0013178584317162449,-1271.9889903855608,False
4,separable,h_bb,28.476938927244351,29.054111898667294,29.147225769485733,0.57717297142294299,0.093113870818438471,0.67028684224138146,0.25219010325730196,2.6578633879122053,2.6578633879122053,0.0012752418681299207,0.0013178584317162449,-1271.9889903855608,False
