,points_per_hour,rows_total,rows_valid,valid_rate,day_build_s,fft_first_s,fft_median_s,reverse_precompute_s,reverse_refine_s,reverse_incremental_s,reverse_total_seed_s,reverse_over_fft_ratio,reverse_seed_movement
mean,18126.0000000000,145008.0000000000,131428.0000000000,0.9063499945,0.0106144170,0.0238408330,0.0211525840,0.3942230419,5.5840987500,5.9783217920,5.9994743760,283.6284387933,0.0216116447
median,18126.0000000000,145008.0000000000,131428.0000000000,0.9063499945,0.0106144170,0.0238408330,0.0211525840,0.3942230419,5.5840987500,5.9783217920,5.9994743760,283.6284387933,0.0216116447
min,18126.0000000000,145008.0000000000,131428.0000000000,0.9063499945,0.0106144170,0.0238408330,0.0211525840,0.3942230419,5.5840987500,5.9783217920,5.9994743760,283.6284387933,0.0216116447
max,18126.0000000000,145008.0000000000,131428.0000000000,0.9063499945,0.0106144170,0.0238408330,0.0211525840,0.3942230419,5.5840987500,5.9783217920,5.9994743760,283.6284387933,0.0216116447
