day,day_idx,repeat,fft_s,seed_lat,seed_lon
2024-07-01,0,0,0.0238408330,-0.0440000000,-0.2520000000
2024-07-01,0,1,0.0208206250,-0.0440000000,-0.2520000000
2024-07-01,0,2,0.0211525840,-0.0440000000,-0.2520000000
