Day,DW_Est_SigmaSq,DW_SE_SigmaSq,DW_Est_RangeLat,DW_SE_RangeLat,DW_Est_RangeLon,DW_SE_RangeLon,DW_Est_RangeTime,DW_SE_RangeTime,DW_Est_AdvecLat,DW_SE_AdvecLat,DW_Est_AdvecLon,DW_SE_AdvecLon,DW_Est_Nugget,DW_SE_Nugget,VC_Est_SigmaSq,VC_SE_SigmaSq,VC_Est_RangeLat,VC_SE_RangeLat,VC_Est_RangeLon,VC_SE_RangeLon,VC_Est_RangeTime,VC_SE_RangeTime,VC_Est_AdvecLat,VC_SE_AdvecLat,VC_Est_AdvecLon,VC_SE_AdvecLon,VC_Est_Nugget,VC_SE_Nugget
1,7.596500000000002,0.17008239156279473,0.1309,0.003382400551857886,0.1462,0.003495503347388337,0.7241,0.06220667990797811,0.016,0.017762835552931663,-0.1058,0.1499096257466018,9.999999999999982e-09,1.2553731758663083e-13,10.719900000000003,0.21702228003016238,0.1763,0.003825705561889104,0.1982,0.004472056203683697,0.8598999999999999,0.06481206447276604,0.0131,0.005424304510015616,-0.0792,0.018230089495596048,9.999999999999982e-09,1.3078292072725291e-14
2,6.654300000000001,1.5934668795972027,0.1397,0.037786645536402076,0.1687,0.04579820521664808,0.8297,0.31524433196948753,0.0053,0.010948979528235352,-0.1433,0.10202105261640057,9.999999999999982e-09,4.1208628818314505e-13,7.107399999999999,0.13089712889250366,0.1988,0.004035788090427954,0.231,0.004717946587858988,0.8657,0.07793923875793733,-0.0059,0.00842102833551002,-0.1035,0.050152143437692094,9.999999999999982e-09,2.16279956503046e-14
3,8.670999999999998,0.5089908106586623,0.1302,0.009165107833374974,0.1367,0.009967433793019224,0.8378,0.22727770767378172,0.0025,0.054473246446832636,-0.2718,0.15405303444890434,9.999999999999982e-09,1.3765981521670063e-13,11.150599999999995,0.21984361406804495,0.15160000000000004,0.0031802746638853628,0.19120000000000004,0.00379803383485264,0.8887,0.05669754787026266,-0.0126,0.0034951626677264826,-0.0805,0.02282573757449981,9.999999999999982e-09,1.0908989702282227e-14
4,8.659699999999997,5.4635168858170555,0.1051,0.07859367660585637,0.1079,0.0835784076580002,0.9007000000000001,0.817507168955222,-0.0,4.468004905652728e-16,-0.0,1.872695109507565e-15,9.999999999999982e-09,6.642982249300203e-13,12.752600000000005,0.36954917389549574,0.17,0.005249276991302122,0.1889,0.00557416823322796,1.3757,0.04800585662601269,-0.004,0.002383116427884546,-0.008,0.003944580720895124,9.999999999999982e-09,1.137561870184033e-14
5,19.5931,2.7610500329725514,0.17630000000000004,0.026896162151382772,0.1853,0.028925353436082817,1.5004000000000002,0.25432483436344266,-0.0159,0.009416756496458102,-0.4003,0.017501875811695135,9.999999999999982e-09,1.0699318615625806e-13,17.692299999999992,0.7308048204028542,0.2052,0.008919344657851798,0.2426,0.010722526954540413,1.2882999999999998,0.22223368269292532,-0.0101,0.04793689243530313,-0.4436,0.11016270300191051,9.999999999999982e-09,7.799398083874202e-15
6,17.0221,0.7679931349401287,0.1775,0.008669737603306289,0.2002,0.009597321241271281,1.1096,0.06469673077918442,0.0556,0.013837523816039815,-0.384,0.032081991702916514,9.999999999999982e-09,8.552122343319816e-14,17.664300000000008,0.6224275657934479,0.2122,0.00800820372988624,0.2642,0.01033468635190446,1.1637,0.143732316907772,0.0787,0.014153782926022582,-0.3392,0.14474508314223164,9.999999999999982e-09,6.8691847559009605e-15
7,11.884999999999998,4.859796208566889,0.2576,0.10979657385658835,0.2923,0.12856302368850867,1.267,1.6599207986281557,0.0191,0.07189706187934969,-0.2946,1.3051988211394145,9.999999999999982e-09,5.672689317308934e-13,11.4535,0.2804358068167591,0.21939999999999996,0.005809516906228563,0.26819999999999994,0.007356589221502048,1.1769999999999998,0.1836753071656063,0.002,0.006845332077822977,-0.2254,0.07121031766559036,9.999999999999982e-09,1.5384443030618808e-14
8,12.030999999999999,1.4824184819574673,0.1269,0.0177118002157877,0.1523,0.022313714708154415,0.7945,0.2703564124633952,-0.0023,0.008043870830988334,-0.3988,0.15116513018573047,9.999999999999982e-09,1.5948803507382033e-13,11.839699999999999,0.2757024510591167,0.1566,0.004564773093947081,0.2011,0.005420418254040924,0.9626,0.12439909881818362,-0.0331,0.011418343774453919,-0.1464,0.060761517824704,0.1243,0.023588129757357575
9,8.0513,0.1656269898526256,0.1682,0.0036904562773439303,0.2131,0.004741040913885547,0.7852,0.029611904626325708,0.0,5.247661277523028e-16,-0.0,5.959083208126151e-16,9.999999999999982e-09,1.7747563994243524e-13,9.3798,0.17893065682183226,0.1878,0.003924912634163662,0.2327,0.004913098997315171,1.1062,0.038364324305087606,-0.0102,0.0040129479377727885,0.0001,0.005680338714582009,9.999999999999982e-09,1.752762637277689e-14
10,13.910300000000001,1.3637735449972352,0.1363,0.01609962439742045,0.1827,0.02066688733352703,0.5733,0.1453346655432602,0.0,3.135991909904606e-16,-0.0,1.033707030798658e-15,0.33190000000000003,0.005580383999965219,14.358799999999999,0.2983252963316877,0.21490000000000006,0.004593835136495416,0.25310000000000005,0.005408925376902853,1.2460000000000004,0.039923679581093885,-0.0184,0.003852854654101329,0.0007,0.006134169848426895,9.999999999999982e-09,1.1662554320103503e-14
11,10.279800000000003,0.15497641743878587,0.11659999999999998,0.0022425000298246216,0.11659999999999998,0.003384515748557133,0.8001999999999999,0.01896129922481038,-0.0047,0.01786593216385805,0.1341,0.028924205274013414,9.999999999999982e-09,1.7327258920080328e-13,12.953100000000003,0.3139461273980324,0.2664,0.00667662287353091,0.2996,0.007486465521412898,1.2913000000000001,0.07670355396263788,-0.0048,0.006640793533339509,-0.0715,0.011928957465614228,9.999999999999982e-09,1.6995215144928245e-14
12,12.1894,0.19492671915749255,0.14259999999999998,0.0024292336807916802,0.18979999999999997,0.0033720336569736556,1.0721,0.06751851778241545,-0.0012,0.013589655014831104,-0.3627,0.030461414081298935,9.999999999999982e-09,7.155023626763938e-14,14.577599999999997,0.9521143522044421,0.18900000000000003,0.013234197745294612,0.2427,0.01679756459436276,1.085,0.27225303881127294,-0.0235,0.08453576817941606,-0.3478,0.29364685123893736,9.999999999999982e-09,1.4228862860954288e-14
