model,n,rmse_mean,rmse_median,mae_mean,mae_median,bias_mean,bias_median
Corridor_4x4_lag643,224,0.1414,0.1350,0.1274,0.1204,-0.1201,-0.1160
Debiased_Whittle,224,0.1662,0.1590,0.1505,0.1436,-0.1434,-0.1378
Vecchia_mm20,224,0.0853,0.0768,0.0741,0.0675,-0.0470,-0.0478
