threshold_cells,acceptance_rate,mean_error_cells,median_error_cells,harm_rate,material_harm_rate_0p25cell,improvement_rate
0.0000000000,0.5000000000,0.4007134340,0.3419900414,0.3750000000,0.2500000000,0.1250000000
0.5000000000,0.6250000000,0.4449471624,0.3832916579,0.5000000000,0.3750000000,0.1250000000
1.0000000000,1.0000000000,0.2373937330,0.2319364103,0.5000000000,0.3750000000,0.5000000000
1.5000000000,1.0000000000,0.2373937330,0.2319364103,0.5000000000,0.3750000000,0.5000000000
2.0000000000,1.0000000000,0.2373937330,0.2319364103,0.5000000000,0.3750000000,0.5000000000
