status,error,year,month,day_idx,day,model_variant,model_family,model_label,smooth,gc_alpha,gc_beta,nugget_mode,fixed_nugget,range_lon_mode,range_time_mode,fixed_range_lon,fixed_range_time,advec_mode,fixed_advec_lat,fixed_advec_lon,n_rows_per_time,n_valid_o3,n_total_rows,valid_rate,monthly_mean,first_key,last_key,spec_name,block_shape,lag_pattern,reference_advec_lon_abs,vecchia_loss_per_obs,steps_raw,precompute_s,fit_s,total_fit_s,est_sigmasq,est_range_lat,est_range_lon,est_range_time,est_advec_lat,est_advec_lon,est_nugget,n_clusters,block_shape_lat,block_shape_lon,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,target_chunk_size,strategy,temporal_basis,force_target_center,lag0_block_count,lag1_block_count,lag2_block_count,lag1_max_blocks,lag2_max_blocks,lag1_lon_offset,lag2_lon_offset,lag1_lon_interval_lo,lag1_lon_interval_hi,lag2_lon_interval_lo,lag2_lon_interval_hi,corridor_anchor_mode,grid_lon_step,corridor_block_lon_width,block_row_offset,block_col_offset,worker_stage,n_conditional_blocks,n_conditional_scores,n_scores_before_filter,residual_df,mean_leverage,max_leverage,conditional_loss_total,conditional_loss_per_score,mean_y2,sum_y2,n_curve_points,max_abs_bridge_scaled,min_conditional_eigenvalue,max_conditional_eigenvalue,local_rank01_mean_y2,local_rank01_n,local_rank02_mean_y2,local_rank02_n,local_rank03_mean_y2,local_rank03_n,local_rank04_mean_y2,local_rank04_n,local_rank05_mean_y2,local_rank05_n,local_rank06_mean_y2,local_rank06_n,local_rank07_mean_y2,local_rank07_n,local_rank08_mean_y2,local_rank08_n,local_rank09_mean_y2,local_rank09_n,local_rank10_mean_y2,local_rank10_n,local_rank11_mean_y2,local_rank11_n,local_rank12_mean_y2,local_rank12_n,local_rank13_mean_y2,local_rank13_n,local_rank14_mean_y2,local_rank14_n,local_rank15_mean_y2,local_rank15_n,local_rank16_mean_y2,local_rank16_n,diag_s
ok,,2023,7,0,2023-07-01,matern_s05_n1_rangetime_short,matern,Matern s=0.5 nugget1 range_time=1,0.500000,,,fixed_1,1.000000,free,fixed_1,,1.000000,free,,,18126,141301,145008,0.974436,259.996345,y23m07day01_hm00:53,y23m07day01_hm07:48,corridor_width_4x4_lag643_delta0p126,4x4,6/4/3,0.126000,1.133138,1,1.018512,134.032361,135.050873,6.542253,0.124570,0.187882,1.000000,0.079309,-0.193599,1.000000,1160,4,4,16,9269,141301,44,32,offset_corridor_tapered,corridor,0,6,4,3,4,3,0.126000,0.252000,0.063000,0.189000,0.000000,0.252000,width,0.063000,0.252000,0,0,diag,9269,141301,141301,141292.000000,0.000064,0.008457,159499.276295,1.128791,0.993916,140432.401404,141301,2.088695,1.773672,57.409823,1.077580,9269,1.027500,9259,1.008636,9253,0.995283,9247,0.971227,9233,0.989150,9221,0.977821,9198,0.971696,9175,0.979820,8778,0.960651,8753,0.982697,8735,0.972229,8698,0.990594,8401,0.972584,8256,1.016077,8049,1.006511,7776,2.237860
ok,,2023,7,0,2023-07-01,matern_s05_n1_rangetime_true,matern,Matern s=0.5 nugget1 range_time true,0.500000,,,fixed_1,1.000000,free,fixed_2,,2.000000,free,,,18126,141301,145008,0.974436,259.996345,y23m07day01_hm00:53,y23m07day01_hm07:48,corridor_width_4x4_lag643_delta0p126,4x4,6/4/3,0.126000,1.126374,1,1.220748,148.882138,150.102886,9.952168,0.198588,0.299215,2.000000,0.081674,-0.196241,1.000000,1160,4,4,16,9269,141301,44,32,offset_corridor_tapered,corridor,0,6,4,3,4,3,0.126000,0.252000,0.063000,0.189000,0.000000,0.252000,width,0.063000,0.252000,0,0,diag,9269,141301,141301,141292.000000,0.000064,0.017698,159155.527945,1.126358,1.000882,141416.553338,141301,0.815110,1.741299,107.489835,0.997835,9269,1.011959,9259,0.996858,9253,1.002606,9247,0.981509,9233,1.001959,9221,0.995170,9198,0.990317,9175,0.999104,8778,0.978908,8753,1.003904,8735,0.992074,8698,1.011168,8401,0.993063,8256,1.037490,8049,1.027492,7776,2.240547
ok,,2023,7,0,2023-07-01,matern_s05_n1_rangetime_long,matern,Matern s=0.5 nugget1 range_time=4,0.500000,,,fixed_1,1.000000,free,fixed_4,,4.000000,free,,,18126,141301,145008,0.974436,259.996345,y23m07day01_hm00:53,y23m07day01_hm07:48,corridor_width_4x4_lag643_delta0p126,4x4,6/4/3,0.126000,1.127065,2,1.076222,214.614513,215.690735,18.688187,0.382187,0.575617,4.000000,0.082410,-0.197845,1.000000,1160,4,4,16,9269,141301,44,32,offset_corridor_tapered,corridor,0,6,4,3,4,3,0.126000,0.252000,0.063000,0.189000,0.000000,0.252000,width,0.063000,0.252000,0,0,diag,9269,141301,141301,141292.000001,0.000064,0.050648,159255.462868,1.127065,1.004736,141961.169167,141301,1.299084,1.724711,242.085523,0.955891,9269,1.001484,9259,0.990479,9253,1.007027,9247,0.988358,9233,1.009367,9221,1.005094,9198,1.000138,9175,1.009714,8778,0.989308,8753,1.015529,8735,1.002078,8698,1.022299,8401,1.003982,8256,1.048954,8049,1.038630,7776,2.218352
