date,time_index,anchor_rank,anchor_row,anchor_column,row_shift,column_shift,grid_row,grid_column,grid_latitude,grid_longitude,source_latitude,source_longitude,response,true_mean,true_residual
2023-07-04,0,44,13,114,0,0,13,114,1.428,123.818,1.4292443,123.805786,265.689725419,261.9292443,3.76048111916
2023-07-04,0,45,68,49,0,0,68,49,-0.992,127.913,-0.9868645,127.88385,253.147816248,259.5131355,-6.36531925201
2023-07-04,0,46,68,50,0,0,68,50,-0.992,127.85,-0.98644376,127.82169,253.789569614,259.51355624,-5.72398662567
2023-07-04,0,47,102,55,0,0,102,55,-2.488,127.535,-2.4831252,127.554184,257.78654925,258.0168748,-0.230325549841
2023-07-04,0,48,102,56,0,0,102,56,-2.488,127.472,-2.4828603,127.49202,258.037651042,258.0171397,0.0205113422126
2023-07-04,0,49,83,3,0,0,83,3,-1.652,130.811,-1.6445978,130.79485,263.425610749,258.8554022,4.5702085495
2023-07-04,0,50,83,4,0,0,83,4,-1.652,130.748,-1.6445295,130.7326,262.623013101,258.8554705,3.76754260063
2023-07-04,0,51,44,128,0,0,44,128,0.064,122.936,0.06285566,122.91994,260.3022359,260.56285566,-0.26061975956
2023-07-04,0,52,44,129,0,0,44,129,0.064,122.873,0.08463891,122.85768,262.839092092,260.58463891,2.25445318222
2023-07-04,0,53,70,29,0,0,70,29,-1.08,129.173,-1.0767021,129.18684,259.673152792,259.4232979,0.249854892492
2023-07-04,0,54,70,30,0,0,70,30,-1.08,129.11,-1.0765488,129.12492,259.461846284,259.4234512,0.0383950844407
2023-07-04,0,55,98,19,0,0,98,19,-2.312,129.803,-2.3151217,129.79308,259.706047962,258.1848783,1.52116966248
2023-07-04,0,56,98,20,0,0,98,20,-2.312,129.74,-2.3148413,129.73099,259.634839148,258.1851587,1.44968044758
2023-07-04,0,57,38,61,0,0,38,61,0.328,127.157,0.33771077,127.15381,258.204484614,260.83771077,-2.63322615623
2023-07-04,0,58,38,62,0,0,38,62,0.328,127.094,0.33787403,127.091736,256.44710884,260.83787403,-4.39076519012
2023-07-04,0,59,13,67,0,0,13,67,1.428,126.779,1.4231304,126.7921,261.895482251,261.9231304,-0.0276481490582
2023-07-04,0,60,13,68,0,0,13,68,1.428,126.716,1.4232723,126.72984,262.763405371,261.9232723,0.840133070946
2023-07-04,0,61,34,30,0,0,34,30,0.504,129.11,0.50659037,129.08124,259.692244295,261.00659037,-1.31434607506
2023-07-04,0,62,34,31,0,0,34,31,0.504,129.047,0.50678426,129.01909,262.102778733,261.00678426,1.0959944725
2023-07-04,0,63,84,58,0,0,84,58,-1.696,127.346,-1.7013117,127.31583,259.765269287,258.7986883,0.966580986977
2023-07-04,0,64,84,59,0,0,84,59,-1.696,127.283,-1.7013052,127.25377,259.516187619,258.7986948,0.717492818832
2023-07-04,0,65,73,105,0,0,73,105,-1.212,124.385,-1.2192408,124.40059,262.244427546,259.2807592,2.96366834641
2023-07-04,0,66,73,106,0,0,73,106,-1.212,124.322,-1.21901,124.33852,261.886500712,259.28099,2.60551071167
2023-07-04,0,67,28,126,0,0,28,126,0.768,123.062,0.7574131,123.05149,265.507510852,261.2574131,4.25009775162
2023-07-04,0,68,28,127,0,0,28,127,0.768,122.999,0.7573915,122.98919,265.414893198,261.2573915,4.15750169754
2023-07-04,0,69,69,135,0,0,69,135,-1.036,122.495,-1.0439198,122.46938,257.380456926,259.4560802,-2.07562327385
2023-07-04,0,70,69,136,0,0,69,136,-1.036,122.432,-1.0438703,122.40676,255.905017763,259.4561297,-3.55111193657
2023-07-04,0,71,110,90,0,0,110,90,-2.84,125.33,-2.8488927,125.31041,258.676937092,257.6511073,1.02582979202
