pair,time_start,time_end,null_variance,true_variance,variance_ratio,g_score
1,0,1,6.04299010346,6.52364641239,1.07953948305,0.0015024687169
2,0,1,6.06639613653,6.56094695335,1.08152300076,0.00157638355649
3,0,1,6.17846993848,6.52921522621,1.05676895594,0.000776428837758
4,0,1,6.35404396713,6.55345805493,1.03138380673,0.000241202249818
5,0,1,6.39444996024,6.67386633412,1.04369670192,0.00046388503491
6,0,1,6.16216390431,6.54164176643,1.06158191636,0.000910873397243
7,0,1,7.30750906517,7.40698722482,1.01361314215,4.59131971567e-05
8,0,1,6.02587914436,6.52939861582,1.08355950383,0.00165402259025
9,0,1,6.67372137218,7.30737831032,1.09494806612,0.00212056608875
10,0,1,6.8217443273,7.43073130329,1.08927144536,0.00188118567471
11,0,1,6.02283110588,6.53075132038,1.0843324685,0.00168395362419
12,0,1,6.20482260968,6.54169746028,1.05429242249,0.000711285078901
13,0,1,6.19220659499,6.53478863359,1.05532471072,0.000738104237231
14,0,1,6.19815796773,6.53831456458,1.05488027227,0.000726498891049
15,0,1,6.32646475153,6.52887436338,1.03199411042,0.000250575167199
16,0,1,6.03286341106,6.52855310888,1.08216491308,0.00160066461188
17,0,1,6.04123475483,6.53337565391,1.08146362773,0.00157414660101
18,0,1,6.32017188743,6.51687412087,1.03112292465,0.000237249078953
19,0,1,6.3279837012,6.51739194371,1.0299318474,0.000219607460265
20,0,1,6.06092808821,6.56446302875,1.08307885083,0.00163553883884
21,0,1,6.30906461071,6.50824513866,1.03157053228,0.000244051363441
22,0,1,6.18311609611,6.53228933582,1.05647204974,0.000768473769388
23,0,1,7.01681892567,7.26569343009,1.03546828086,0.000307255594948
24,0,1,6.33276333734,6.66998202028,1.05324984765,0.00068468521035
25,0,1,6.32867364454,6.53085474659,1.03194683648,0.000249842893149
26,0,1,6.32956741236,6.76360324314,1.06857274795,0.00112443515342
27,0,1,6.16844116516,6.51253150084,1.05578238107,0.000750147777571
28,0,1,6.01359292213,6.52357902735,1.08480555831,0.00170239815418
29,0,1,6.33678404595,6.52607731189,1.0298721346,0.00021874061479
30,0,1,6.04166800804,6.52668611591,1.08027884141,0.0015298235538
31,0,1,6.25911540479,6.57663401596,1.05072899134,0.000622395301524
32,0,1,7.48603629304,8.09738211792,1.08166482247,0.00158173297099
33,0,1,6.18373014616,6.51900799463,1.05421935313,0.00070940486986
34,0,1,6.17663115972,6.5559354419,1.06140957301,0.000905881204954
35,0,1,6.21983275236,6.55705492986,1.05421724199,0.000709350582131
36,0,1,6.15469322687,6.53932850632,1.06249463057,0.000937531173626
37,0,1,6.33194778862,6.52550827579,1.03056886974,0.000228959620987
38,0,1,6.14703866592,6.54056635014,1.06401906765,0.000982878083804
39,0,1,6.33115457419,6.52177255231,1.03010793306,0.000222173464942
40,0,1,6.18846135498,6.52555013433,1.05447053153,0.000715878213535
41,0,1,6.18979983834,6.53583857168,1.05590467259,0.000753381774534
42,0,1,6.31150954188,6.67514370934,1.05761445262,0.000799298555085
43,0,1,6.18749986408,6.53142516785,1.0555838887,0.000744912931805
44,0,1,6.04612438438,6.54868916617,1.08312180661,0.00163718671893
45,0,1,6.35143359854,6.67897740641,1.05157005939,0.000642858701579
46,0,1,6.33108819311,6.5148764801,1.02902949404,0.000206687390336
47,0,1,6.03453702925,6.53423305019,1.08280602447,0.0016250909697
48,0,1,7.7204497749,8.09531105376,1.04855433165,0.000570971588895
49,0,1,6.18452654186,6.51419122527,1.05330475683,0.000686073929469
50,0,1,6.17383502005,6.52198841162,1.05639175495,0.000766329197925
1,1,2,6.28353559838,6.50511053655,1.03526278075,0.000303745907062
2,1,2,6.12618612541,6.55476018774,1.06995772795,0.00116929342265
3,1,2,6.70237511164,6.72462166088,1.00331920385,2.74819899864e-06
4,1,2,5.93823771601,6.55684268077,1.10417315613,0.00253818812684
5,1,2,6.31194421078,6.66126350869,1.05534258324,0.000738572786562
6,1,2,6.27848841558,6.5034898202,1.03583687501,0.00031360006224
7,1,2,6.938843964,7.35128113551,1.05943888833,0.000849735496793
8,1,2,6.10630745703,6.51661416511,1.06719391563,0.00108061035664
9,1,2,7.08965028844,7.31134877829,1.03127072293,0.000239484751372
10,1,2,6.31330765267,6.60960434459,1.04693208508,0.000534010751968
11,1,2,6.30182823425,6.51733463345,1.03419744099,0.000285867199604
12,1,2,6.13114039401,6.541794957,1.0669784961,0.00107383879597
13,1,2,6.11396245114,6.51042170894,1.06484489576,0.00100787249432
14,1,2,6.12578875608,6.52991168569,1.06597075833,0.00104243208639
15,1,2,6.10899856916,6.51636625267,1.06668321803,0.00106459005474
16,1,2,6.49230834932,6.62541261802,1.02050184026,0.000103666850683
17,1,2,6.12810037999,6.52742035471,1.06516211386,0.00101755334807
18,1,2,5.9613304545,6.54113063517,1.09726019805,0.00222192715859
19,1,2,6.11936468384,6.52234329945,1.06585301521,0.00103879169589
20,1,2,6.13053079697,6.53139217851,1.0653877119,0.00102446512792
21,1,2,6.32907298964,6.6214108616,1.04618968251,0.000517496237858
22,1,2,6.11281265338,6.52507504512,1.0674423404,0.00108844470734
23,1,2,6.5332692415,6.71674398773,1.02808314482,0.000193550441226
24,1,2,6.33053050996,6.77896312192,1.07083649802,0.001198190561
25,1,2,6.11729769203,6.53772765024,1.06872805271,0.00112942356398
26,1,2,6.46034484336,6.6823185682,1.03435942356,0.000288551442082
27,1,2,6.30601039473,6.61435321336,1.04889665562,0.000578924051952
28,1,2,6.27256397086,6.50128020121,1.036462957,0.00032452164406
29,1,2,6.12771151382,6.52789716147,1.06530752088,0.00102200569982
30,1,2,6.12408104472,6.5199517641,1.0646416526,0.00100169324566
31,1,2,6.68643145163,6.70861931177,1.00331834108,2.74677206836e-06
32,1,2,7.18210012419,7.44281050359,1.03630002017,0.000321661749315
