pair,endpoint0_row,endpoint0_column,endpoint1_row,endpoint1_column,center_grid_row,center_grid_column,center_latitude,center_longitude,insertion_separation_scaled
1,56,67,56,68,56,67.5,-0.464,126.7475,
2,112,134,112,135,112,134.5,-2.928,122.5265,18.7015320228
3,113,8,113,9,113,8.5,-2.972,130.4645,17.6284911436
4,14,135,14,136,14,135.5,1.384,122.4635,17.0087036543
5,13,3,13,4,13,3.5,1.428,130.7795,16.4354859983
6,112,74,112,75,112,74.5,-2.928,126.3065,12.4073889276
7,63,120,63,121,63,120.5,-0.772,123.4085,11.173719166
8,63,5,63,6,63,5.5,-0.772,130.6535,11.0080152616
9,13,86,13,87,13,86.5,1.428,125.5505,10.2670200156
10,87,40,87,41,87,40.5,-1.828,128.4485,8.82478328346
11,22,47,22,48,22,47.5,1.032,128.0075,8.42594208383
12,90,101,90,102,90,101.5,-1.96,124.6055,7.15567606869
13,52,35,52,36,52,35.5,-0.288,128.7635,6.74880730203
14,34,110,34,111,34,110.5,0.504,124.0385,6.71672539263
15,113,36,113,37,113,36.5,-2.972,128.7005,5.78134932347
16,38,12,38,13,38,12.5,0.328,130.2125,5.69305717519
17,81,76,81,77,81,76.5,-1.564,126.1805,5.61096248428
18,60,95,60,96,60,95.5,-0.64,124.9835,5.29132308596
19,36,80,36,81,36,80.5,0.416,125.9285,5.17811741852
20,113,106,113,107,113,106.5,-2.972,124.2905,5.16779450056
21,17,25,17,26,17,25.5,1.252,129.3935,4.70306283181
22,13,113,13,114,13,113.5,1.428,123.8495,4.62523512916
23,68,49,68,50,68,49.5,-0.992,127.8815,4.58628389876
24,102,55,102,56,102,55.5,-2.488,127.5035,4.55632527373
25,83,3,83,4,83,3.5,-1.652,130.7795,4.42
26,44,128,44,129,44,128.5,0.064,122.9045,4.37360263398
27,70,29,70,30,70,29.5,-1.08,129.1415,4.15562269702
28,98,19,98,20,98,19.5,-2.312,129.7715,4.02816335319
29,38,61,38,62,38,61.5,0.328,127.1255,4.01418733992
30,13,67,13,68,13,67.5,1.428,126.7475,3.99
31,34,30,34,31,34,30.5,0.504,129.0785,3.88108232327
32,84,58,84,59,84,58.5,-1.696,127.3145,3.83718646928
33,73,105,73,106,73,105.5,-1.212,124.3535,3.54818263341
34,28,126,28,127,28,126.5,0.768,123.0305,3.54496826502
35,69,135,69,136,69,135.5,-1.036,122.4635,3.41539163201
36,110,90,110,91,110,90.5,-2.84,125.2985,3.38868706138
37,22,99,22,100,22,99.5,1.032,124.7315,3.37243235662
38,51,19,51,20,51,19.5,-0.244,129.7715,3.21566478352
39,65,79,65,80,65,79.5,-0.86,125.9915,3.20480888666
40,75,90,75,91,75,90.5,-1.3,125.2985,3.1805817078
41,27,3,27,4,27,3.5,0.812,130.7795,3.07058626324
42,38,44,38,45,38,44.5,0.328,128.1965,3.06887601574
43,74,14,74,15,74,14.5,-1.256,130.0865,3.04244967091
44,45,91,45,92,45,91.5,0.02,125.2355,3.04244967091
45,99,69,99,70,99,69.5,-2.356,126.6215,3.01317108708
46,70,63,70,64,70,63.5,-1.08,126.9995,2.97274284122
47,54,53,54,54,54,53.5,-0.376,127.6295,2.97274284122
48,53,111,53,112,53,111.5,-0.332,123.9755,2.90036204637
49,25,73,25,74,25,73.5,0.9,126.3695,2.83148371
50,110,23,110,24,110,23.5,-2.84,129.5195,2.77041513135
