rank_by_g,eigenvalue,log2_eigenvalue,g_score,cumulative_g,cumulative_g_fraction,variance_direction
1,1.51602998218,0.60029828564,0.0499674589954,0.0499674589954,0.0253472833347,true_gt_null
2,1.4245054161,0.51046110693,0.0353403695226,0.085307828518,0.0432745979801,true_gt_null
3,1.39030067001,0.475396917646,0.03039031845,0.115698146968,0.0586908714483,true_gt_null
4,1.33182457246,0.413404063556,0.0226373556861,0.138335502654,0.0701742544351,true_gt_null
5,1.32820053033,0.409472979717,0.02218774446,0.160523247114,0.0814295605222,true_gt_null
6,1.31048807619,0.390104226992,0.0200442155606,0.180567462675,0.0915975062463,true_gt_null
7,1.30637203717,0.385565815526,0.0195590896092,0.200126552284,0.101519359309,true_gt_null
8,1.29860925316,0.376967394345,0.0186576833017,0.218784235586,0.110983950756,true_gt_null
9,1.29048166204,0.367909640636,0.0177330659644,0.23651730155,0.119979506192,true_gt_null
10,1.28452092312,0.361230389997,0.0170675483818,0.253584849932,0.128637460656,true_gt_null
11,0.764226637943,-0.387927549626,0.0165587626137,0.270143612546,0.137037320406,true_lt_null
12,1.27761501381,0.353453171694,0.0163099721931,0.286453584739,0.145310974794,true_gt_null
13,0.769541807129,-0.377928388478,0.015750902028,0.302204486767,0.15330102641,true_lt_null
14,0.772297869486,-0.372770703422,0.015341415779,0.317545902546,0.161083355556,true_lt_null
15,0.774706919163,-0.368277469972,0.0149887045688,0.332534607115,0.168686762837,true_lt_null
16,0.777419160446,-0.363235429788,0.0145973872416,0.347131994356,0.176091664303,true_lt_null
17,0.779326734088,-0.359699787368,0.0143258137752,0.361457808131,0.183358803118,true_lt_null
18,0.781684350688,-0.355341939565,0.0139943071162,0.375452115247,0.190457776623,true_lt_null
19,1.25560071983,0.328377761128,0.0139933002749,0.389445415522,0.197556239383,true_gt_null
20,0.784850075858,-0.349511001995,0.013556320733,0.403001736255,0.20443303299,true_lt_null
21,0.786564256441,-0.346363466994,0.0133225585182,0.416324294774,0.21119124468,true_lt_null
