first_rectangle_index,second_rectangle_index,first_rectangle_id,second_rectangle_id,original_scipy_eigenvalue,axis_symmetrized_scipy_eigenvalue
644,1260,s000_024_t00_01,s001_023_t00_01,-0.19027520551162438,-0.19027520739344564
644,3444,s000_024_t00_01,s005_019_t00_01,-0.19027520927526692,-0.19027520739344567
651,1267,s000_024_t01_02,s001_023_t01_02,-0.19027520551162436,-0.19027520739344558
651,3451,s000_024_t01_02,s005_019_t01_02,-0.19027520927526695,-0.19027520739344561
657,1273,s000_024_t02_03,s001_023_t02_03,-0.19027520551162447,-0.19027520739344569
657,3457,s000_024_t02_03,s005_019_t02_03,-0.19027520927526698,-0.19027520739344564
662,1278,s000_024_t03_04,s001_023_t03_04,-0.19027520551162447,-0.19027520739344561
662,3462,s000_024_t03_04,s005_019_t03_04,-0.19027520927526695,-0.19027520739344567
666,1282,s000_024_t04_05,s001_023_t04_05,-0.1902752055116245,-0.19027520739344578
666,3466,s000_024_t04_05,s005_019_t04_05,-0.19027520927526703,-0.19027520739344575
669,1285,s000_024_t05_06,s001_023_t05_06,-0.19027520551162438,-0.19027520739344564
669,3469,s000_024_t05_06,s005_019_t05_06,-0.19027520927526698,-0.19027520739344567
671,1287,s000_024_t06_07,s001_023_t06_07,-0.19027520551162436,-0.19027520739344567
671,3471,s000_024_t06_07,s005_019_t06_07,-0.190275209275267,-0.19027520739344575
2408,2940,s003_021_t00_01,s004_020_t00_01,-0.19027520551162438,-0.19027520739344569
2415,2947,s003_021_t01_02,s004_020_t01_02,-0.19027520551162441,-0.19027520739344564
2421,2953,s003_021_t02_03,s004_020_t02_03,-0.19027520551162452,-0.19027520739344578
2426,2958,s003_021_t03_04,s004_020_t03_04,-0.19027520551162444,-0.19027520739344569
2430,2962,s003_021_t04_05,s004_020_t04_05,-0.19027520551162452,-0.19027520739344575
2433,2965,s003_021_t05_06,s004_020_t05_06,-0.19027520551162444,-0.19027520739344564
2435,2967,s003_021_t06_07,s004_020_t06_07,-0.19027520551162441,-0.19027520739344564
2940,5180,s004_020_t00_01,s009_015_t00_01,-0.19027520927526692,-0.19027520739344567
2947,5187,s004_020_t01_02,s009_015_t01_02,-0.19027520927526698,-0.19027520739344569
2953,5193,s004_020_t02_03,s009_015_t02_03,-0.19027520927526695,-0.19027520739344569
2958,5198,s004_020_t03_04,s009_015_t03_04,-0.19027520927526698,-0.19027520739344572
2962,5202,s004_020_t04_05,s009_015_t04_05,-0.190275209275267,-0.19027520739344578
2965,5205,s004_020_t05_06,s009_015_t05_06,-0.19027520927526698,-0.19027520739344567
2967,5207,s004_020_t06_07,s009_015_t06_07,-0.190275209275267,-0.19027520739344575
