year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,sigma,range_lat,range_lon,range_time,nugget
2022,7,1,lat,Corridor_4x4_lag643,2.9500,2.0387,1.8278,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lat,Debiased_Whittle,3.0170,2.0625,1.9544,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lat,Vecchia_mm20,2.9625,1.9966,1.9259,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,1,lon,Corridor_4x4_lag643,0.4427,0.3891,-0.3891,3.9851,0.1194,0.1515,1.1154,2.2072
2022,7,1,lon,Debiased_Whittle,0.2628,0.2267,-0.1623,3.5972,0.1418,0.2201,1.2601,2.4864
2022,7,1,lon,Vecchia_mm20,0.3354,0.2808,-0.2808,3.4937,0.1703,0.2118,1.6525,2.6723
2022,7,2,lat,Corridor_4x4_lag643,3.9777,2.6714,2.3555,7.0359,0.1715,0.1787,1.0242,1.8939
2022,7,2,lat,Debiased_Whittle,4.6514,3.2558,3.0734,6.4137,0.1200,0.1311,0.8784,1.4776
2022,7,2,lat,Vecchia_mm20,3.1006,1.9780,1.6227,7.8296,0.3299,0.3572,1.6104,2.6110
2022,7,2,lon,Corridor_4x4_lag643,0.7352,0.6381,-0.1518,7.0359,0.1715,0.1787,1.0242,1.8939
2022,7,2,lon,Debiased_Whittle,1.1189,0.8831,0.5692,6.4137,0.1200,0.1311,0.8784,1.4776
2022,7,2,lon,Vecchia_mm20,0.9152,0.7526,-0.7324,7.8296,0.3299,0.3572,1.6104,2.6110
2022,7,3,lat,Corridor_4x4_lag643,4.1429,2.8981,2.7775,8.8221,0.1898,0.2358,1.0405,1.5376
2022,7,3,lat,Debiased_Whittle,6.6705,5.5576,5.5576,5.9562,0.1507,0.1610,0.8402,1.0284
2022,7,3,lat,Vecchia_mm20,2.8178,1.8434,1.6728,10.2319,0.3491,0.5161,1.8609,2.2946
2022,7,3,lon,Corridor_4x4_lag643,0.8159,0.6577,-0.5333,8.8221,0.1898,0.2358,1.0405,1.5376
2022,7,3,lon,Debiased_Whittle,2.3593,2.0241,2.0241,5.9562,0.1507,0.1610,0.8402,1.0284
2022,7,3,lon,Vecchia_mm20,1.2582,1.0955,-0.9811,10.2319,0.3491,0.5161,1.8609,2.2946
2022,7,4,lat,Corridor_4x4_lag643,2.7213,1.8649,1.4156,7.6722,0.1842,0.1821,1.2079,2.1201
2022,7,4,lat,Debiased_Whittle,3.7681,2.7788,2.7788,6.1565,0.1759,0.1635,1.1198,2.0101
2022,7,4,lat,Vecchia_mm20,1.8912,1.2856,0.6276,8.4243,0.3425,0.3735,2.0497,2.9670
2022,7,4,lon,Corridor_4x4_lag643,0.8987,0.7700,-0.7700,7.6722,0.1842,0.1821,1.2079,2.1201
2022,7,4,lon,Debiased_Whittle,0.7637,0.5916,0.5503,6.1565,0.1759,0.1635,1.1198,2.0101
2022,7,4,lon,Vecchia_mm20,1.5690,1.3469,-1.3308,8.4243,0.3425,0.3735,2.0497,2.9670
2022,7,5,lat,Corridor_4x4_lag643,3.4981,2.4455,2.3613,6.5943,0.1874,0.1871,1.2409,1.2005
2022,7,5,lat,Debiased_Whittle,4.5792,3.4993,3.4993,5.2483,0.1396,0.1333,1.1900,1.0364
2022,7,5,lat,Vecchia_mm20,2.4132,1.5776,1.3193,7.6151,0.3265,0.3837,2.0529,1.9366
2022,7,5,lon,Corridor_4x4_lag643,0.6364,0.4975,-0.4202,6.5943,0.1874,0.1871,1.2409,1.2005
2022,7,5,lon,Debiased_Whittle,1.0481,0.8474,0.6793,5.2483,0.1396,0.1333,1.1900,1.0364
2022,7,5,lon,Vecchia_mm20,1.3228,1.1712,-1.1712,7.6151,0.3265,0.3837,2.0529,1.9366
2022,7,6,lat,Corridor_4x4_lag643,0.4351,0.3864,-0.0039,6.9239,0.1930,0.2185,1.3918,2.1403
2022,7,6,lat,Debiased_Whittle,2.3344,2.0456,2.0456,4.7351,0.1162,0.1013,0.7036,1.6871
2022,7,6,lat,Vecchia_mm20,1.6023,1.3913,-1.3404,8.9506,0.4537,0.6665,3.3791,2.8998
2022,7,6,lon,Corridor_4x4_lag643,1.2327,1.0388,-1.0388,6.9239,0.1930,0.2185,1.3918,2.1403
2022,7,6,lon,Debiased_Whittle,1.3350,1.0583,0.8137,4.7351,0.1162,0.1013,0.7036,1.6871
2022,7,6,lon,Vecchia_mm20,1.8881,1.6058,-1.5524,8.9506,0.4537,0.6665,3.3791,2.8998
2022,7,7,lat,Corridor_4x4_lag643,1.0629,0.8665,0.1969,9.8653,0.2142,0.2655,1.1956,1.1792
2022,7,7,lat,Debiased_Whittle,3.3924,3.0372,3.0372,6.9742,0.2025,0.2417,1.1187,0.6920
2022,7,7,lat,Vecchia_mm20,2.0342,1.7849,-1.7849,12.4547,0.3713,0.5735,2.1040,1.9859
2022,7,7,lon,Corridor_4x4_lag643,1.2144,1.0270,-0.3027,9.8653,0.2142,0.2655,1.1956,1.1792
2022,7,7,lon,Debiased_Whittle,2.8922,2.3980,2.3980,6.9742,0.2025,0.2417,1.1187,0.6920
2022,7,7,lon,Vecchia_mm20,1.5518,1.3139,-1.3139,12.4547,0.3713,0.5735,2.1040,1.9859
2022,7,8,lat,Corridor_4x4_lag643,0.4259,0.2727,0.1758,9.4116,0.2434,0.2266,1.1260,0.7720
2022,7,8,lat,Debiased_Whittle,3.9561,3.6377,3.6377,5.2696,0.1730,0.1454,0.9549,0.4676
2022,7,8,lat,Vecchia_mm20,1.7116,1.4203,-1.3643,11.9798,0.4298,0.4289,1.9655,1.2737
2022,7,8,lon,Corridor_4x4_lag643,0.7384,0.5697,-0.5285,9.4116,0.2434,0.2266,1.1260,0.7720
2022,7,8,lon,Debiased_Whittle,3.2453,2.8925,2.8925,5.2696,0.1730,0.1454,0.9549,0.4676
2022,7,8,lon,Vecchia_mm20,2.1601,1.8559,-1.8434,11.9798,0.4298,0.4289,1.9655,1.2737
2022,7,9,lat,Corridor_4x4_lag643,2.4717,1.7818,1.3252,9.8838,0.2259,0.1908,1.2120,1.5288
2022,7,9,lat,Debiased_Whittle,3.9468,3.0256,3.0256,7.7887,0.2004,0.1587,0.9086,1.4408
2022,7,9,lat,Vecchia_mm20,1.8354,1.2159,1.0875,10.1947,0.3914,0.3685,2.0393,2.3325
2022,7,9,lon,Corridor_4x4_lag643,1.2704,1.0974,0.2663,9.8838,0.2259,0.1908,1.2120,1.5288
2022,7,9,lon,Debiased_Whittle,2.5984,1.9958,1.9513,7.7887,0.2004,0.1587,0.9086,1.4408
2022,7,9,lon,Vecchia_mm20,0.5704,0.4968,0.2348,10.1947,0.3914,0.3685,2.0393,2.3325
2022,7,10,lat,Corridor_4x4_lag643,1.5630,1.0782,0.4991,9.9370,0.2100,0.1992,1.2940,1.4960
2022,7,10,lat,Debiased_Whittle,3.9752,3.2459,3.2459,6.5064,0.1338,0.1096,0.9013,1.2877
2022,7,10,lat,Vecchia_mm20,1.4089,1.1489,-0.9536,12.0629,0.4520,0.4892,2.4367,2.5742
2022,7,10,lon,Corridor_4x4_lag643,1.2000,1.0328,-1.0328,9.9370,0.2100,0.1992,1.2940,1.4960
2022,7,10,lon,Debiased_Whittle,2.0998,1.7200,1.6202,6.5064,0.1338,0.1096,0.9013,1.2877
2022,7,10,lon,Vecchia_mm20,2.4632,2.0692,-2.0411,12.0629,0.4520,0.4892,2.4367,2.5742
2022,7,11,lat,Corridor_4x4_lag643,1.8031,1.2639,1.1129,5.9939,0.1915,0.2049,1.0377,1.3456
2022,7,11,lat,Debiased_Whittle,2.7461,2.1381,2.1381,5.0045,0.1436,0.1381,0.8876,0.9998
2022,7,11,lat,Vecchia_mm20,0.7311,0.5770,0.1181,7.7134,0.4406,0.5486,2.1837,1.8289
2022,7,11,lon,Corridor_4x4_lag643,0.6795,0.5634,-0.4579,5.9939,0.1915,0.2049,1.0377,1.3456
2022,7,11,lon,Debiased_Whittle,0.8848,0.6934,0.4791,5.0045,0.1436,0.1381,0.8876,0.9998
2022,7,11,lon,Vecchia_mm20,1.3169,1.1483,-1.0207,7.7134,0.4406,0.5486,2.1837,1.8289
2022,7,12,lat,Corridor_4x4_lag643,4.6617,3.3506,3.1239,8.4238,0.2134,0.2091,1.1038,1.3961
2022,7,12,lat,Debiased_Whittle,4.7417,3.4245,3.1901,8.3647,0.2047,0.1782,1.1813,1.3371
2022,7,12,lat,Vecchia_mm20,3.3394,2.2726,2.1359,9.7008,0.4259,0.5003,2.2076,2.3192
2022,7,12,lon,Corridor_4x4_lag643,1.1164,0.9444,-0.6640,8.4238,0.2134,0.2091,1.1038,1.3961
2022,7,12,lon,Debiased_Whittle,1.2261,1.0651,-0.7269,8.3647,0.2047,0.1782,1.1813,1.3371
2022,7,12,lon,Vecchia_mm20,1.4249,1.1976,-1.1734,9.7008,0.4259,0.5003,2.2076,2.3192
2022,7,13,lat,Corridor_4x4_lag643,3.8642,2.7674,2.6807,7.8807,0.1667,0.1766,1.1025,1.9613
2022,7,13,lat,Debiased_Whittle,5.3521,4.2568,4.2568,5.9158,0.1302,0.1335,0.8362,1.9232
