quantity,recomputed,saved,signed_error,absolute_error
coefficient_A_standardized,0.645658192065651,0.645658192065651,0,0
coefficient_B_standardized,0.63460342910300083,0.63460342910300083,0,0
D_AA,0.0030563450150919622,0.0030563450150919713,-9.1072982488782372e-18,9.1072982488782372e-18
D_AB,-0.23858773213155354,-0.23858773213155354,0,0
D_BB,0.0098506662277084243,0.009850666227708452,-2.7755575615628914e-17,2.7755575615628914e-17
G_AA,0.99999999999999978,1,-2.2204460492503131e-16,2.2204460492503131e-16
G_AB,0.22014612986355395,0.22014612986355395,0,0
G_BB,1.0000000000000002,1,2.2204460492503131e-16,2.2204460492503131e-16
