model,entry,direct_full_matrix,independent_k_delta_decomposition,signed_error,absolute_error
1,AA,15.735725520570037,15.735725520570037,0,0
1,AB,1.6316637604607138,1.6316637604607136,-2.2204460492503131e-16,2.2204460492503131e-16
1,BB,15.726217837285681,15.726217837285679,-1.7763568394002505e-15,1.7763568394002505e-15
M,AA,15.683790378655353,15.683790378655353,0,0
M,AB,5.6839242184956458,5.6839242184956431,-2.6645352591003757e-15,2.6645352591003757e-15
M,BB,15.558991320159713,15.558991320159713,0,0
0,AA,16.992565190851678,16.992565190851671,-7.1054273576010019e-15,7.1054273576010019e-15
0,AB,3.7390416056413938,3.7390416056413929,-8.8817841970012523e-16,8.8817841970012523e-16
0,BB,16.976163160983514,16.976163160983511,-3.5527136788005009e-15,3.5527136788005009e-15
