model,h_lat,h_lon,placement_count,mean,minimum,maximum,stationarity_span,negative_lag_mean,even_symmetry_absolute_error
1,0,0,25,7.8693868077473326,7.8693868077473326,7.8693868077473326,0,7.8693868077473326,0
M,0,0,25,7.8693868077473352,7.8693868077473326,7.8693868077473361,3.5527136788005009e-15,7.8693868077473352,0
0,0,0,25,8.4979242461111486,8.4979242461111468,8.4979242461111504,3.5527136788005009e-15,8.4979242461111486,0
1,4,4,1,0.0015240474623142708,0.0015240474623142708,0.0015240474623142708,0,0.0015240474623142708,0
M,4,4,1,0.027491618419659372,0.027491618419659372,0.027491618419659372,0,0.027491618419659372,0
0,4,4,1,0.00164165068531227,0.00164165068531227,0.00164165068531227,0,0.00164165068531227,0
1,2,4,3,0.0062778891044925761,0.0062778891044925761,0.0062778891044925761,0,0.0062778891044925761,0
M,2,4,3,0.089891147667478674,0.089891147667478674,0.089891147667478674,0,0.089891147667478674,0
0,2,4,3,0.0098426656193935091,0.0098426656193935074,0.0098426656193935126,5.2041704279304213e-18,0.0098426656193935091,0
1,1,0,20,0.81915091639368853,0.81915091639368809,0.81915091639368853,4.4408920985006262e-16,0.81915091639368853,0
M,1,0,20,2.8949856204602495,2.8949856204602504,2.8949856204602504,0,2.8949856204602495,0
0,1,0,20,1.8739522061662957,1.8739522061662957,1.8739522061662961,4.4408920985006262e-16,1.8739522061662957,0
1,3,4,2,0.0033190361633317553,0.0033190361633317206,0.00331903616333179,6.9388939039072284e-17,0.0033190361633317553,0
M,3,4,2,0.05302351121242798,0.053023511212427946,0.053023511212428015,6.9388939039072284e-17,0.05302351121242798,0
0,3,4,2,0.0044314033455992666,0.0044314033455992658,0.0044314033455992666,8.6736173798840355e-19,0.0044314033455992666,0
