dataset,day,direction,band_type,band_index,band_low,band_high,lon_scheme,rank,rank_fraction,eigenvalue,eigenvalue_fraction,cumulative_fraction
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,1,0.0125,6.3417217646913695,0.07927152205864213,0.07927152205864213
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,2,0.025,5.965487005096728,0.07456858756370911,0.15384010962235123
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,3,0.0375,5.787752448711261,0.07234690560889077,0.22618701523124202
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,4,0.05,5.429523964816756,0.06786904956020946,0.29405606479145147
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,5,0.0625,5.325973084914343,0.0665746635614293,0.3606307283528808
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,6,0.075,4.869369620799827,0.06086712025999785,0.42149784861287865
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,7,0.0875,4.287035433767917,0.05358794292209897,0.4750857915349776
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,8,0.1,3.9898361690573596,0.049872952113217,0.5249587436481946
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,9,0.1125,3.3291231252572038,0.04161403906571506,0.5665727827139097
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,10,0.125,2.5655293354321937,0.032069116692902425,0.5986418994068121
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,11,0.1375,2.2893259017050536,0.028616573771313176,0.6272584731781253
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,12,0.15,2.068699701321715,0.025858746266521442,0.6531172194446467
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,13,0.1625,1.7841619457824205,0.02230202432228026,0.675419243766927
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,14,0.175,1.7512119686331398,0.02189014960791425,0.6973093933748412
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,15,0.1875,1.6694014379854545,0.020867517974818183,0.7181769113496594
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,16,0.2,1.4360093332901427,0.017950116666126788,0.7361270280157862
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,17,0.2125,1.2770072311499807,0.01596259038937476,0.752089618405161
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,18,0.225,1.1424591656410292,0.014280739570512868,0.7663703579756739
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,19,0.2375,1.057829791908383,0.01322287239885479,0.7795932303745287
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,20,0.25,0.9345195059223109,0.011681493824028888,0.7912747241985576
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,21,0.2625,0.7627359898588066,0.009534199873235085,0.8008089240717927
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,22,0.275,0.6778178592893743,0.00847272324111718,0.8092816473129099
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,23,0.2875,0.6340273308454106,0.007925341635567634,0.8172069889484775
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,24,0.3,0.584547407555572,0.0073068425944446515,0.8245138315429222
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,25,0.3125,0.5697229636908286,0.007121537046135359,0.8316353685890576
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,26,0.325,0.5530743824708984,0.00691342978088623,0.8385487983699439
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,27,0.3375,0.5212883708020131,0.006516104635025164,0.8450649030049691
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,28,0.35,0.47983132393571193,0.0059978915491964,0.8510627945541654
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,29,0.3625,0.44178370664472444,0.005522296333059056,0.8565850908872245
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,30,0.375,0.430919718187174,0.005386496477339676,0.8619715873645641
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,31,0.3875,0.43083173857909735,0.005385396732238718,0.8673569840968028
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,32,0.4,0.411503719738075,0.005143796496725938,0.8725007805935288
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,33,0.4125,0.37093365954676766,0.004636670744334596,0.8771374513378634
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,34,0.425,0.34744525242241847,0.004343065655280231,0.8814805169931436
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,35,0.4375,0.3352763121257946,0.004190953901572434,0.885671470894716
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,36,0.45,0.3231884602849406,0.004039855753561758,0.8897113266482778
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,37,0.4625,0.31595444909832043,0.003949430613729006,0.8936607572620068
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,38,0.475,0.3010170012890753,0.0037627125161134424,0.8974234697781203
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,39,0.4875,0.2895082970734453,0.0036188537134180664,0.9010423234915383
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,40,0.5,0.2869287422478632,0.0035866092780982906,0.9046289327696366
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,41,0.5125,0.28688343307600794,0.0035860429134501,0.9082149756830867
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,42,0.525,0.2770917559263232,0.0034636469490790405,0.9116786226321658
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,43,0.5375,0.26130275473532055,0.0032662844341915073,0.9149449070663573
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,44,0.55,0.25460431639701336,0.003182553954962668,0.91812746102132
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,45,0.5625,0.25150335055625517,0.00314379188195319,0.9212712529032733
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,46,0.575,0.24747939489672388,0.003093492436209049,0.9243647453394823
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,47,0.5875,0.24281361981152214,0.003035170247644027,0.9273999155871263
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,48,0.6,0.23678894932181424,0.0029598618665226785,0.930359777453649
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,49,0.6125,0.2278584406700153,0.0028482305083751915,0.9332080079620242
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,50,0.625,0.2151049982380091,0.0026888124779751144,0.9358968204399993
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,51,0.6375,0.20594648648500843,0.002574331081062606,0.938471151521062
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,52,0.65,0.2007647465090223,0.002509559331362779,0.9409807108524247
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,53,0.6625,0.19924271430755666,0.002490533928844459,0.9434712447812692
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,54,0.675,0.19597848237351237,0.002449731029668905,0.9459209758109381
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,55,0.6875,0.19305120514738827,0.0024131400643423537,0.9483341158752805
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,56,0.7,0.1908469889467349,0.002385587361834187,0.9507197032371146
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,57,0.7125,0.18886430806746485,0.002360803850843311,0.953080507087958
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,58,0.725,0.18641011490322515,0.0023301264362903147,0.9554106335242483
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,59,0.7375,0.18411170055346215,0.0023013962569182773,0.9577120297811665
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,60,0.75,0.18405514794190558,0.0023006893492738202,0.9600127191304404
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,61,0.7625,0.17730737552344022,0.002216342194043003,0.9622290613244834
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,62,0.775,0.1766567815349091,0.0022082097691863644,0.9644372710936697
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,63,0.7875,0.17623906307909146,0.0022029882884886435,0.9666402593821584
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,64,0.8,0.17123463131493147,0.0021404328914366435,0.968780692273595
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,65,0.8125,0.17041756424843404,0.002130219553105426,0.9709109118267004
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,66,0.825,0.16536553292274725,0.002067069161534341,0.9729779809882347
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,67,0.8375,0.1621436984639206,0.002026796230799008,0.9750047772190338
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,68,0.85,0.16187979955522588,0.0020234974944403237,0.9770282747134741
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,69,0.8625,0.15978617422628863,0.0019973271778286083,0.9790256018913027
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,70,0.875,0.1597593247951935,0.001996991559939919,0.9810225934512427
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,71,0.8875,0.15921772458642958,0.00199022155733037,0.9830128150085731
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,72,0.9,0.15518083832221305,0.0019397604790276635,0.9849525754876007
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,73,0.9125,0.1551541020524918,0.0019394262756561478,0.9868920017632569
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,74,0.925,0.1536861674387696,0.0019210770929846202,0.9888130788562415
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,75,0.9375,0.15309359249432494,0.0019136699061790621,0.9907267487624205
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,76,0.95,0.15170947607302224,0.0018963684509127783,0.9926231172133333
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,77,0.9625,0.1515674900190199,0.0018945936252377491,0.994517710838571
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,78,0.975,0.14976503945351,0.0018720629931688753,0.9963897738317399
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,79,0.9875,0.1445132525071844,0.0018064156563398052,0.9981961894880796
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,80,1.0,0.14430484095364762,0.0018038105119205956,1.0000000000000002
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,1,0.0125,7.3945915660321,0.09243239457540124,0.09243239457540124
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,2,0.025,7.246086206660102,0.09057607758325126,0.1830084721586525
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,3,0.0375,6.667423587369386,0.08334279484211732,0.26635126700076983
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,4,0.05,6.563907668028982,0.08204884585036226,0.3484001128511321
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,5,0.0625,5.533852904755938,0.06917316130944921,0.4175732741605813
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,6,0.075,4.505324652635036,0.056316558157937936,0.4738898323185193
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,7,0.0875,3.6314886576851304,0.04539360822106412,0.5192834405395834
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,8,0.1,3.0255726453922094,0.03781965806740261,0.557103098606986
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,9,0.1125,2.8117698753649583,0.03514712344206197,0.592250222049048
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,10,0.125,2.532869808271973,0.031660872603399656,0.6239110946524477
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,11,0.1375,2.2411346887738293,0.028014183609672862,0.6519252782621205
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,12,0.15,2.070761557253689,0.025884519465671108,0.6778097977277917
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,13,0.1625,1.8441728018244261,0.023052160022805322,0.700861957750597
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,14,0.175,1.6322782704037655,0.020403478380047066,0.7212654361306441
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,15,0.1875,1.4154327888194387,0.01769290986024298,0.7389583459908871
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,16,0.2,1.2755646421519709,0.015944558026899633,0.7549029040177867
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,17,0.2125,1.1279917322213737,0.014099896652767169,0.7690028006705538
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,18,0.225,0.9606103567201308,0.012007629459001634,0.7810104301295555
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,19,0.2375,0.8948817055279703,0.011186021319099626,0.7921964514486551
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,20,0.25,0.844683396866159,0.010558542460826987,0.8027549939094821
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,21,0.2625,0.7498096705272197,0.009372620881590245,0.8121276147910724
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,22,0.275,0.6773271138465287,0.008466588923081607,0.820594203714154
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,23,0.2875,0.6261486778833117,0.007826858473541396,0.8284210621876954
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,24,0.3,0.5638486178560781,0.007048107723200975,0.8354691699108964
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,25,0.3125,0.5274435493888291,0.006593044367360363,0.8420622142782568
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,26,0.325,0.49873489601430787,0.0062341862001788475,0.8482964004784356
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,27,0.3375,0.4747253551136021,0.005934066938920025,0.8542304674173556
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,28,0.35,0.45807785739597306,0.005725973217449662,0.8599564406348053
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,29,0.3625,0.4478102800462146,0.005597628500577681,0.8655540691353829
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,30,0.375,0.4477942322756199,0.005597427903445248,0.8711514970388281
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,31,0.3875,0.4174013632699819,0.005217517040874773,0.8763690140797029
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,32,0.4,0.38837218234834336,0.0048546522793542915,0.8812236663590572
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,33,0.4125,0.3646975046729708,0.004558718808412134,0.8857823851674694
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,34,0.425,0.33282058109041435,0.004160257263630179,0.8899426424310997
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,35,0.4375,0.31825216186482197,0.003978152023310274,0.89392079445441
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,36,0.45,0.30110176190074617,0.0037637720237593264,0.8976845664781693
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,37,0.4625,0.2877504842508286,0.003596881053135357,0.9012814475313047
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,38,0.475,0.28239999424061246,0.0035299999280076553,0.9048114474593123
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,39,0.4875,0.28190234816967785,0.0035237793521209725,0.9083352268114333
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,40,0.5,0.278908933153891,0.0034863616644236367,0.9118215884758569
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,41,0.5125,0.2737440529091709,0.003421800661364636,0.9152433891372216
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,42,0.525,0.2663210413290433,0.0033290130166130404,0.9185724021538346
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,43,0.5375,0.2549173613591939,0.003186467016989923,0.9217588691708245
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,44,0.55,0.24028517390027854,0.003003564673753481,0.924762433844578
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,45,0.5625,0.22818711279978982,0.002852338909997372,0.9276147727545754
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,46,0.575,0.22716668517586816,0.0028395835646983516,0.9304543563192738
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,47,0.5875,0.22152939828696958,0.0027691174785871193,0.9332234737978609
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,48,0.6,0.21066995137738267,0.002633374392217283,0.9358568481900782
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,49,0.6125,0.19934439171028354,0.0024918048963785437,0.9383486530864568
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,50,0.625,0.1921563859393044,0.0024019548242413045,0.9407506079106981
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,51,0.6375,0.18955685172206604,0.002369460646525825,0.943120068557224
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,52,0.65,0.18425784137437343,0.0023032230171796675,0.9454232915744036
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,53,0.6625,0.18140914617253703,0.0022676143271567126,0.9476909059015604
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,54,0.675,0.18098509915805572,0.002262313739475696,0.9499532196410361
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,55,0.6875,0.17610125136790988,0.002201265642098873,0.952154485283135
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,56,0.7,0.17556466322304595,0.002194558290288074,0.954349043573423
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,57,0.7125,0.17348926704292422,0.0021686158380365525,0.9565176594114595
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,58,0.725,0.1679103033568359,0.0020988787919604484,0.95861653820342
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,59,0.7375,0.16533604849416716,0.0020667006061770893,0.960683238809597
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,60,0.75,0.16389703170822895,0.0020487128963528616,0.9627319517059499
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,61,0.7625,0.16267516063727633,0.0020334395079659538,0.9647653912139159
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,62,0.775,0.16131036076216565,0.0020163795095270703,0.966781770723443
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,63,0.7875,0.15960216975933952,0.001995027121991744,0.9687767978454347
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,64,0.8,0.15816290703043442,0.00197703633788043,0.9707538341833151
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,65,0.8125,0.15713551235814002,0.00196419390447675,0.9727180280877918
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,66,0.825,0.15459428011784873,0.0019324285014731088,0.974650456589265
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,67,0.8375,0.1545665270986528,0.0019320815887331594,0.9765825381779981
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,68,0.85,0.15335431296726776,0.0019169289120908467,0.978499467090089
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,69,0.8625,0.14885189094265075,0.001860648636783134,0.9803601157268721
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,70,0.875,0.14820277365116424,0.0018525346706395527,0.9822126503975116
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,71,0.8875,0.14698442167006867,0.001837305270875858,0.9840499556683875
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,72,0.9,0.14465871691255772,0.0018082339614069712,0.9858581896297944
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,73,0.9125,0.1443304978654366,0.0018041312233179573,0.9876623208531123
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,74,0.925,0.14320923159717694,0.0017901153949647114,0.9894524362480771
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,75,0.9375,0.1426532671621025,0.001783165839526281,0.9912356020876034
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,76,0.95,0.14229456144503336,0.0017786820180629166,0.9930142841056664
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,77,0.9625,0.14227917167123913,0.0017784896458904887,0.9947927737515568
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,78,0.975,0.14016471011179074,0.001752058876397384,0.9965448326279542
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,79,0.9875,0.1394031398725535,0.0017425392484069185,0.9982873718763612
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,80,1.0,0.13701024989114205,0.0017126281236392754,1.0000000000000004
simulation,13,east_west,latitude_band,3,-1.0,0.0,primary,1,0.0125,6.726401282002909,0.08408001602503637,0.08408001602503637
simulation,13,east_west,latitude_band,3,-1.0,0.0,primary,2,0.025,6.112761874497983,0.07640952343122479,0.16048953945626115
simulation,13,east_west,latitude_band,3,-1.0,0.0,primary,3,0.0375,6.087687104939708,0.07609608881174636,0.2365856282680075
simulation,13,east_west,latitude_band,3,-1.0,0.0,primary,4,0.05,5.644513621333959,0.0705564202666745,0.30714204853468197
simulation,13,east_west,latitude_band,3,-1.0,0.0,primary,5,0.0625,5.02413116828235,0.06280163960352939,0.3699436881382113
