dataset,day,direction,band_type,band_index,band_low,band_high,n_profiles,n_positions,rank,eigenvalue_fraction,ranked_periodogram_fraction
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,53,0.002490533928844459,0.002530312464855743
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,54,0.002449731029668905,0.0024349863021436258
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,55,0.0024131400643423537,0.0024349863021436258
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,56,0.002385587361834187,0.0023267160098729457
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,57,0.002360803850843311,0.0023267160098729453
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,58,0.0023301264362903147,0.002307315463978306
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,59,0.0023013962569182773,0.002307315463978306
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,60,0.0023006893492738202,0.002229994340316782
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,61,0.002216342194043003,0.002229994340316782
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,62,0.0022082097691863644,0.0022091156178604097
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,63,0.0022029882884886435,0.0022091156178604097
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,64,0.0021404328914366435,0.0021359285813027326
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,65,0.002130219553105426,0.0021359285813027326
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,66,0.002067069161534341,0.0020402347655432734
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,67,0.002026796230799008,0.002040234765543273
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,68,0.0020234974944403237,0.002020384763804041
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,69,0.0019973271778286083,0.002020384763804041
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,70,0.001996991559939919,0.0019920036632868703
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,71,0.00199022155733037,0.00199200366328687
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,72,0.0019397604790276635,0.00192118023132393
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,73,0.0019394262756561478,0.0019211802313239296
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,74,0.0019210770929846202,0.0019180574979134352
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,75,0.0019136699061790621,0.0019180574979134346
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,76,0.0018963684509127783,0.0018623283149559263
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,77,0.0018945936252377491,0.0018623283149559263
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,78,0.0018720629931688753,0.0017775146738160032
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,79,0.0018064156563398052,0.0017519025987978172
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,80,0.0018038105119205956,0.001751902598797817
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,1,0.09243239457540124,0.08910059283086062
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,2,0.09057607758325126,0.08910059283086062
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,3,0.08334279484211732,0.08272834758609467
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,4,0.08204884585036226,0.08237120208014673
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,5,0.06917316130944921,0.08237120208014673
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,6,0.056316558157937936,0.0507141804975307
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,7,0.04539360822106412,0.0507141804975307
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,8,0.03781965806740261,0.0357500154999105
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,9,0.03514712344206197,0.0357500154999105
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,10,0.031660872603399656,0.027726762437602838
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,11,0.028014183609672862,0.027726762437602838
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,12,0.025884519465671108,0.02397418492004141
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,13,0.023052160022805322,0.02397418492004141
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,14,0.020403478380047066,0.01831536116824319
simulation,13,east_west,latitude_band,2,-2.0,-1.0,343,80,15,0.01769290986024298,0.01831536116824319
