dataset,direction,rank,eigenvalue_fraction_mean,eigenvalue_fraction_min,eigenvalue_fraction_max,periodogram_fraction_mean,periodogram_fraction_min,periodogram_fraction_max
real,east_west,1,0.25782350834589074,0.16492320661806706,0.39321380827778557,0.31555761405315,0.15911749929622948,0.5171277148280149
real,east_west,2,0.15000138628974283,0.11137351306971423,0.18035446193748633,0.09497174239340037,0.057670127696227744,0.159246989456236
real,east_west,3,0.08245570049239663,0.06514481242430972,0.1050992802708776,0.09497174239340035,0.05767012769622772,0.159246989456236
real,east_west,4,0.05827699157748823,0.04242508554872995,0.09000734325824782,0.050147742879133886,0.03716037600099774,0.08158798483619314
real,east_west,5,0.04506809418881665,0.03644652919091718,0.05916583252849154,0.05014774287913388,0.03716037600099773,0.08158798483619314
real,east_west,6,0.03393938724243384,0.02486285759449891,0.04500683850936581,0.027739628112993128,0.01958997164403341,0.03498713684503258
real,east_west,7,0.02714597957489411,0.020067501561032385,0.033959500020642124,0.027739628112993128,0.01958997164403341,0.034987136845032574
real,east_west,8,0.023533397287045878,0.017425258507321306,0.030901589103219235,0.021692523128922035,0.015183405701544585,0.02987414496699291
real,east_west,9,0.020747770187614523,0.01617431856222244,0.025485592550952053,0.021692523128922035,0.015183405701544585,0.02987414496699291
real,east_west,10,0.018020721583800716,0.014290365679735585,0.021728548917159012,0.016075806428763197,0.0120538879401317,0.01906486718724332
real,east_west,11,0.015662973753519615,0.012108338338188009,0.018692181078655317,0.016075806428763193,0.0120538879401317,0.019064867187243314
real,east_west,12,0.013876425182593967,0.010371651440768017,0.01780312023998516,0.012759960178657473,0.008939309404673105,0.01706357115936874
real,east_west,13,0.012664623720324819,0.009267780030103206,0.016935953062501247,0.012759960178657472,0.008939309404673105,0.017063571159368737
real,east_west,14,0.011829682943170796,0.008493327788163342,0.015564377288656187,0.011103323181833916,0.007307763264027951,0.014357119666662435
real,east_west,15,0.01094349641877442,0.007318534088762891,0.014683871640658114,0.011103323181833916,0.007307763264027949,0.014357119666662435
real,east_west,16,0.010232466378774086,0.0066015615786490945,0.014501323507334088,0.009972972564349675,0.00682538500675385,0.014338873375676272
real,east_west,17,0.009676177379772813,0.006552935057359251,0.014032382086514864,0.009972972564349675,0.00682538500675385,0.01433887337567627
real,east_west,18,0.009181634380496732,0.006416733815979333,0.013990569410027805,0.008758427213088112,0.00625277305015746,0.013179238259642331
real,east_west,19,0.00858768143794387,0.006157084815600249,0.01271429170379285,0.00875842721308811,0.006252773050157459,0.013179238259642328
real,east_west,20,0.00786399758335939,0.005545923468673903,0.010396583327199794,0.007359996557710287,0.004985520867506474,0.009854118824740568
real,east_west,21,0.007319117675959614,0.005189133018156414,0.009914432287956786,0.0073599965577102865,0.004985520867506474,0.009854118824740566
real,east_west,22,0.006859314357163025,0.004804047059592965,0.009603892385189574,0.006471966796369839,0.004285605406697241,0.009134150299898246
real,east_west,23,0.006453533267017808,0.004256957750324908,0.008832619764985063,0.006471966796369839,0.004285605406697241,0.009134150299898246
real,east_west,24,0.006180071504011302,0.003878371793218427,0.008382650458193627,0.006008671138731073,0.00383844264647189,0.007974860946377879
real,east_west,25,0.005874758068672577,0.003702505772280007,0.007780779159649626,0.006008671138731072,0.00383844264647189,0.007974860946377879
real,east_west,26,0.005547038142063933,0.0034273767788917334,0.0074091355972158365,0.005391271631313658,0.0032811090031513736,0.007265945159799158
real,east_west,27,0.005235536478245887,0.003246422029767395,0.007035841910838743,0.005391271631313657,0.0032811090031513736,0.007265945159799157
real,east_west,28,0.0050105765781216114,0.003037374096627266,0.006946445716553581,0.004911164429370136,0.0027998488116585487,0.006822399609108342
real,east_west,29,0.004892881894087284,0.002869430345035346,0.006784798588484149,0.004911164429370136,0.0027998488116585483,0.006822399609108342
real,east_west,30,0.00469587118118946,0.002749843938477065,0.006491543606243126,0.004421034626128812,0.002504093143180403,0.006012625152802868
real,east_west,31,0.004421176461068303,0.002507275670131156,0.006036352748819716,0.004421034626128811,0.0025040931431804026,0.006012625152802868
real,east_west,32,0.004162067190021288,0.002292198456573082,0.005719261652762288,0.003980620398788526,0.0022571502945450956,0.0056397595806343
real,east_west,33,0.0039528190277983806,0.0022603034178443585,0.005693996097849944,0.0039806203987885255,0.002257150294545095,0.0056397595806343
real,east_west,34,0.003828625417668053,0.002249811962983083,0.005681705591838054,0.003769609397052386,0.002234628203238973,0.0056181418690409825
real,east_west,35,0.0037614913862832277,0.0022350110527092695,0.005672600118996643,0.0037696093970523855,0.002234628203238973,0.0056181418690409825
real,east_west,36,0.003652602718873178,0.002131074880484842,0.005660881036628269,0.0034811076291009335,0.0018273824853890553,0.005518696660692237
