dataset,direction,frequency_index,frequency_cycles_per_degree,power_fraction_mean,power_fraction_min,power_fraction_max
real,east_west,0,0.0,0.3155576140531501,0.15911749929622948,0.517127714828015
real,east_west,1,0.19749999999999998,0.1878478473866211,0.11534025539245546,0.318493978912472
real,east_west,2,0.39499999999999996,0.10239112315844734,0.07432075200199549,0.1631759696723863
real,east_west,3,0.5924999999999999,0.055479256225986255,0.03917994328806683,0.06997427369006516
real,east_west,4,0.7899999999999999,0.04338504625784407,0.030366811403089177,0.05974828993398583
real,east_west,5,0.9874999999999999,0.032151612857526386,0.024107775880263405,0.03812973437448663
real,east_west,6,1.1849999999999998,0.024992112651409635,0.017878618809346214,0.03412714231873747
real,east_west,7,1.3824999999999998,0.02227428123165363,0.014615526528055903,0.029019227980897823
real,east_west,8,1.5799999999999998,0.01986806205017843,0.013650770013507703,0.03177230350777071
real,east_west,9,1.7774999999999999,0.01799212259024241,0.012505546100314919,0.028677746751352533
real,east_west,10,1.9749999999999999,0.014700878061969085,0.00997104173501295,0.02064979096896665
real,east_west,11,2.1725,0.012998652340600205,0.008571210813394483,0.01826830059979649
real,east_west,12,2.3699999999999997,0.01195804224508543,0.007676885292943782,0.015949721892755755
real,east_west,13,2.5675,0.01053947338415445,0.006562218006302749,0.014531890319598315
real,east_west,14,2.7649999999999997,0.01003875441836875,0.005599697623317097,0.01364479921821668
real,east_west,15,2.9625,0.008951234227677676,0.005008186286360807,0.012025250305605733
real,east_west,16,3.1599999999999997,0.007850507023425041,0.004469256406477947,0.011279519161268597
real,east_west,17,3.3575,0.007566936602476075,0.004514300589090191,0.011037393321384472
real,east_west,18,3.5549999999999997,0.007007007078241649,0.0036547649707781116,0.011236283738081963
real,east_west,19,3.7525,0.006500313276089783,0.0036201350309003344,0.009877314637483271
real,east_west,20,3.9499999999999997,0.005937321308571969,0.0031101601458060337,0.008976499144961039
real,east_west,21,4.1475,0.005653730049505641,0.002846049968316025,0.008644416276185793
real,east_west,22,4.345,0.005220592637625671,0.002785334444731793,0.00859205463146507
real,east_west,23,4.5424999999999995,0.00505740277640611,0.0028880557590562047,0.007968364609669201
real,east_west,24,4.739999999999999,0.004752761213298483,0.0027314790381907116,0.006862891717534867
real,east_west,25,4.9375,0.0043297654824013985,0.0024815411404198813,0.006547109150608705
real,east_west,26,5.135,0.004181241261660407,0.0024857362799581236,0.006318034765698562
real,east_west,27,5.3325,0.004022934527929844,0.002258824350617549,0.006197800528090691
real,east_west,28,5.529999999999999,0.0038714279308127227,0.0021093551543971065,0.005885274850578756
real,east_west,29,5.7275,0.003745501406246582,0.0021150711774345315,0.006048352566502179
real,east_west,30,5.925,0.0035950707445855756,0.0021290401156779538,0.005600253326588437
real,east_west,31,6.1225,0.0033924459361647794,0.0020359256165163706,0.005244323319510414
real,east_west,32,6.319999999999999,0.003348759947408703,0.0019686315868660586,0.005453311551172377
real,east_west,33,6.517499999999999,0.003190006357556248,0.0019119733576998393,0.005103232492340169
real,east_west,34,6.715,0.0031426357833498125,0.0019245069386721843,0.00497348479001118
real,east_west,35,6.9125,0.0030200681699259773,0.001576084324082927,0.00482982720665387
real,east_west,36,7.109999999999999,0.00309861011466725,0.0017314036027211855,0.005337814343463572
real,east_west,37,7.307499999999999,0.0029749702252019504,0.0016800600077898898,0.004840609422954847
real,east_west,38,7.505,0.0029333475195342227,0.0016940874084222285,0.004870709916254644
real,east_west,39,7.7025,0.0030076174568996208,0.0016807193535256872,0.005444609789438041
real,east_west,40,7.8999999999999995,0.0014729120290995408,0.0007187771649195175,0.0025352469493084883
real,north_south,0,0.0,0.1842966006046626,0.07368399699914724,0.38623926089170907
real,north_south,1,0.19749999999999998,0.1558022143231299,0.06302478314748786,0.26777908013190044
real,north_south,2,0.39499999999999996,0.0965705360310895,0.06153444260576238,0.1549067430528007
real,north_south,3,0.5924999999999999,0.08192189636294836,0.05111286120324078,0.11793585208395879
real,north_south,4,0.7899999999999999,0.05985077763037248,0.04034400588789794,0.09951791676952082
real,north_south,5,0.9874999999999999,0.04580881936044886,0.027451458099838136,0.06864031150006007
real,north_south,6,1.1849999999999998,0.037173227218047174,0.021385085234211544,0.05332602368299513
real,north_south,7,1.3824999999999998,0.03207600899827,0.021620976174143068,0.04656702202420776
real,north_south,8,1.5799999999999998,0.027934142969244683,0.01842535882214807,0.03703974540452236
