dataset,day,direction,band_type,band_index,band_low,band_high,n_profiles,n_positions,frequency_index,frequency_cycles_per_degree,wavelength_degrees,one_sided_power_fraction,cumulative_low_frequency_fraction
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,0,0.0,inf,0.09058414652258444,0.09058414652258444
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,1,0.19749999999999998,5.063291139240507,0.1344687603730332,0.22505290689561763
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,2,0.39499999999999996,2.5316455696202533,0.13017931315339712,0.3552322200490148
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,3,0.5924999999999999,1.687763713080169,0.11584424789237405,0.4710764679413888
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,4,0.7899999999999999,1.2658227848101267,0.1033540824640387,0.5744305504054275
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,5,0.9874999999999999,1.0126582278481013,0.05781263722494071,0.6322431876303681
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,6,1.1849999999999998,0.8438818565400845,0.043914315771345795,0.6761575034017139
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,7,1.3824999999999998,0.7233273056057867,0.04665368385305948,0.7228111872547736
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,8,1.5799999999999998,0.6329113924050633,0.03344201659321493,0.7562532038479884
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,9,1.7774999999999999,0.5625879043600563,0.02703645360817887,0.7832896574561673
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,10,1.9749999999999999,0.5063291139240507,0.0187329026999228,0.8020225601560901
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,11,2.1725,0.4602991944764097,0.016444934073603087,0.8184674942296931
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,12,2.3699999999999997,0.42194092827004226,0.01461579414165342,0.8330832883713465
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,13,2.5675,0.3894839337877313,0.013438125493350762,0.8465214138646973
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,14,2.7649999999999997,0.36166365280289337,0.010759348752762974,0.8572807626174602
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,15,2.9625,0.33755274261603374,0.010942049539639422,0.8682228121570998
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,16,3.1599999999999997,0.31645569620253167,0.009257866130618943,0.8774806782877188
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,17,3.3575,0.29784065524944153,0.008599521446330539,0.8860801997340494
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,18,3.5549999999999997,0.2812939521800282,0.008197429124242747,0.8942776288582921
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,19,3.7525,0.2664890073284477,0.00724211770256649,0.9015197465608585
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,20,3.9499999999999997,0.25316455696202533,0.007324954328346992,0.9088447008892055
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,21,4.1475,0.24110910186859555,0.006468565535172839,0.9153132664243784
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,22,4.345,0.23014959723820486,0.006350122048050706,0.9216633884724291
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,23,4.5424999999999995,0.22014309301045681,0.006159597759125553,0.9278229862315546
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,24,4.739999999999999,0.21097046413502113,0.005854834123795733,0.9336778203553503
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,25,4.9375,0.20253164556962025,0.005060624929711486,0.9387384452850618
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,26,5.135,0.19474196689386564,0.005183743738921984,0.9439221890239837
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,27,5.3325,0.1875293014533521,0.0046534320197458914,0.9485756210437296
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,28,5.529999999999999,0.18083182640144668,0.0048699726042872515,0.9534455936480168
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,29,5.7275,0.17459624618070713,0.0044182312357208195,0.9578638248837377
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,30,5.925,0.16877637130801687,0.004459988680633564,0.9623238135643712
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,31,6.1225,0.16333197223356474,0.004271857162605465,0.9665956707269767
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,32,6.319999999999999,0.15822784810126583,0.004614630927956612,0.9712103016549334
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,33,6.517499999999999,0.1534330648254699,0.0038361149958268696,0.9750464166507603
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,34,6.715,0.14892032762472077,0.00398400732657374,0.9790304239773341
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,35,6.9125,0.14466546112115733,0.0038423604626478597,0.9828727844399819
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,36,7.109999999999999,0.1406469760900141,0.004080469531086546,0.9869532539710685
simulation,13,east_west,latitude_band,1,-3.0,-2.0,356,80,37,7.307499999999999,0.13684570646595964,0.004040769527608082,0.9909940234986766
