dataset,day,effective_rank_ew,effective_rank_ns,effective_rank_ratio_ew_over_ns,lambda1_fraction_ew,lambda1_fraction_ns,lambda1_ratio_ew_over_ns,modes90_ew,modes90_ns,modes90_ratio_ew_over_ns
simulation,13,33.75385250377164,40.7464387360177,0.8283877941444492,0.09385072272555872,0.07857579561439834,1.19439735852145,37.6,42.4,0.8867924528301887
simulation,19,33.41607377096337,42.24181927682668,0.7910661601001404,0.09341585162557915,0.07173733206337005,1.3021929996373314,37.2,43.6,0.8532110091743119
simulation,25,32.167657448422425,41.85904215032862,0.7684757174542727,0.10776090988506207,0.07931979265878164,1.3585626773966568,36.2,43.6,0.8302752293577982
real,13,21.39794463050609,33.03408477142453,0.6477535181787736,0.2506083840191087,0.12291204303852825,2.0389245660862745,31.4,37.4,0.839572192513369
real,19,28.336159018548493,36.922809471639034,0.7674431990424219,0.18655629838641846,0.14793112334199562,1.26110242504633,41.2,45.4,0.907488986784141
real,25,16.589852049576375,33.72965651540828,0.4918476428005678,0.336305842632145,0.1938514566065314,1.7348636348642938,27.8,44.4,0.6261261261261262
