dataset,day,direction,band_type,band_index,band_low,band_high,lon_scheme,n_profiles,n_positions,mean_point_variance,pooled_lag_zero_variance,lag1_correlation,lag2_correlation,minimum_toeplitz_eigenvalue,lambda1_fraction,top5_fraction,effective_rank_entropy,effective_rank_participation,spectral_rank_centroid,modes_80,modes_90,modes_95
simulation,13,east_west,latitude_band,1,-3.0,-2.0,primary,356,80,9.182434325530274,9.156640970683277,0.7459658001431935,0.5660586877961721,0.14430484095364762,0.07927152205864213,0.3606307283528808,35.72139750514166,23.326123250169648,0.18176832040408758,21,39,56
simulation,13,east_west,latitude_band,2,-2.0,-1.0,primary,343,80,9.7181259921074,9.689793263267434,0.7636435448203467,0.5957757292039074,0.13701024989114205,0.09243239457540124,0.4175732741605813,33.07441396877599,20.61201055285992,0.17089059312879212,20,37,55
simulation,13,east_west,latitude_band,3,-1.0,0.0,primary,368,80,9.044957747541327,9.020379058009963,0.7424699423835484,0.5566037677947595,0.12338765586054828,0.08408001602503637,0.3699436881382113,36.159064126786035,23.41100301522153,0.18310396492144393,22,39,56
simulation,13,east_west,latitude_band,4,0.0,1.0,primary,368,80,9.787552684716681,9.760956074160385,0.768493108629385,0.6025870124430546,0.11937324302467162,0.10725609366979082,0.43593384940187846,32.03902589891777,19.44578903002996,0.1670453056955333,20,37,54
simulation,13,east_west,latitude_band,5,1.0,2.0,primary,368,80,10.10721057183504,10.079745325715923,0.7732279379524186,0.61073142184409,0.12813069542492242,0.10621358729892304,0.4220991698380012,31.775361019236737,19.63962399418821,0.16545320477217781,19,36,53
simulation,13,north_south,longitude_band,1,122.0,123.0,primary,115,80,9.125876257513733,9.046520811796222,0.7391445133280381,0.5291702716168399,0.11636964266932157,0.07351673662827465,0.3330834067345411,37.5666163046563,25.249534829355945,0.18704817974123675,23,39,55
simulation,13,north_south,longitude_band,2,124.0,125.0,primary,128,80,7.87042631078315,7.808938605230155,0.6696807626493414,0.4320195206112744,0.16496164704594715,0.06316881872337737,0.2898402383520841,44.728578961206296,31.215222695801096,0.22007828972246543,28,45,61
simulation,13,north_south,longitude_band,3,126.0,127.0,primary,128,80,9.023601498552534,8.95310461184509,0.7057573587947739,0.4920858761526264,0.1530072089543247,0.0870562491049863,0.3256691129135852,40.25134643766236,26.541372038582203,0.20136792799199252,26,43,58
simulation,13,north_south,longitude_band,4,128.0,129.0,primary,128,80,9.594762971027,9.519803885315852,0.7342867875028225,0.5407112130657347,0.1412862009096119,0.10811263015567481,0.40945302647791054,35.477535157402365,21.188624884936253,0.1830524231827375,23,40,56
simulation,13,north_south,longitude_band,5,130.0,131.0,primary,120,80,7.580623342135458,7.517451480950995,0.6657097388361481,0.41924838877650344,0.1784433543069454,0.06102454345967863,0.27114164456824463,45.708116819161184,32.66461374696511,0.2234850033469249,29,45,60
simulation,19,east_west,latitude_band,1,-3.0,-2.0,primary,368,80,10.325667121657517,10.297608243609533,0.7726705464317504,0.6080569769066796,0.125132416073767,0.09547365937865221,0.4158551710961662,31.902764857466963,19.84456195569073,0.16590941438811865,20,36,53
simulation,19,east_west,latitude_band,2,-2.0,-1.0,primary,351,80,9.504827151252746,9.477747871619549,0.7606525047110315,0.5890552278366966,0.13555050973071542,0.08633081997454072,0.39956255862531387,33.714689774615096,21.37500200764317,0.17320944606811478,21,37,55
simulation,19,east_west,latitude_band,3,-1.0,0.0,primary,368,80,9.660409649134873,9.634158535957878,0.7577276370329276,0.5849865232066201,0.13759877711585283,0.08873937840383787,0.39104577497711945,34.02775230396901,21.59607604767987,0.17465275083619858,21,38,55
simulation,19,east_west,latitude_band,4,0.0,1.0,primary,368,80,9.618603469113719,9.592465959686779,0.7596954648924077,0.587799514177755,0.13717114678437173,0.08685891486237259,0.3774698195565789,33.79228873067419,21.608283881654987,0.17399074037170528,21,37,55
simulation,19,east_west,latitude_band,5,1.0,2.0,primary,368,80,9.672705293480103,9.646420768226083,0.7568936286383532,0.587956882589644,0.14160624815784223,0.10967648550849232,0.3923721867574688,33.642873188091606,20.927925872269117,0.17391162734944526,21,38,55
simulation,19,north_south,longitude_band,1,122.0,123.0,primary,128,80,9.763771371672409,9.68749190783122,0.7363997748632424,0.5264644681127983,0.1315371021694123,0.0746297907418148,0.3250583705342932,37.406537904665065,25.206634204764498,0.18755870100859365,23,39,55
simulation,19,north_south,longitude_band,2,124.0,125.0,primary,128,80,8.14905825945192,8.085393741799951,0.6839535125848376,0.45523987528038157,0.1744992232635524,0.07667869412937221,0.30268265570736186,43.05533883342213,29.47370008310184,0.21269442926349352,27,44,60
simulation,19,north_south,longitude_band,3,126.0,127.0,primary,128,80,8.24819915788099,8.183760101960043,0.688628013888857,0.4618522012263261,0.16643489341651427,0.07070441559453801,0.3055144997793012,42.566251084485884,29.11037267265309,0.21028489354564436,27,44,59
simulation,19,north_south,longitude_band,4,128.0,129.0,primary,128,80,7.367785706420884,7.3102248805894705,0.6605432954788097,0.425312661384814,0.1895061226913106,0.06724313752528892,0.2946009889724954,45.19027878137722,31.201155270057956,0.2230739589473004,29,46,61
simulation,19,north_south,longitude_band,5,130.0,131.0,primary,120,80,8.27820084455294,8.209215837514998,0.6791210244438816,0.4535777341685081,0.16269286790194348,0.06943062232583633,0.31253453957990707,42.99068978018309,28.959719655806936,0.2135289070393719,28,45,60
simulation,25,east_west,latitude_band,1,-3.0,-2.0,primary,368,80,10.554517319770557,10.525836566184223,0.7789806234960449,0.6186730394194588,0.12700467902631196,0.1252068081281049,0.4339465477097021,30.910126373884957,18.622386718174166,0.16181566345631718,19,35,53
simulation,25,east_west,latitude_band,2,-2.0,-1.0,primary,352,80,10.096545466321981,10.06786209851993,0.7710481641282717,0.6112281924883933,0.13359047617389888,0.110709802478266,0.44563461444364805,31.384767637575674,18.83087177955327,0.1651748749570466,20,36,54
simulation,25,east_west,latitude_band,3,-1.0,0.0,primary,368,80,10.556092538461773,10.527407504389862,0.7768991629363661,0.618320519777624,0.13166457353111227,0.10492848349466334,0.4447985010236557,31.11413826037819,18.83320685365657,0.16299476770468574,19,35,53
simulation,25,east_west,latitude_band,4,0.0,1.0,primary,368,80,9.365143373856167,9.339694614688078,0.754750118364217,0.5840938280618123,0.1380649990140702,0.08911314903644064,0.398431888677118,33.74338179965289,21.049337663211013,0.17486258520304632,21,38,55
simulation,25,east_west,latitude_band,5,1.0,2.0,primary,368,80,9.90208285121175,9.875175017376936,0.7610929734037538,0.5847183885437085,0.12787591846115556,0.10884630628783538,0.397125973451199,33.68587317062044,20.966429366171784,0.17267469232843805,21,37,54
simulation,25,north_south,longitude_band,1,122.0,123.0,primary,128,80,8.406798629675382,8.341120515381043,0.6892340145880433,0.46137658912308255,0.16794161408246863,0.08344328906474079,0.3137473159641024,42.413921437670005,28.607818338660103,0.2098934930736338,27,44,59
simulation,25,north_south,longitude_band,2,124.0,125.0,primary,128,80,8.562203123311425,8.495310911410556,0.703108832235851,0.4934333601631418,0.16314369499491077,0.08507726172525984,0.33239362506147263,40.37866330177152,26.535828748462684,0.20196053465403246,26,43,59
simulation,25,north_south,longitude_band,3,126.0,127.0,primary,128,80,8.15061396675656,8.086937295141274,0.672281390193935,0.4239483093021732,0.16254214679855827,0.05826360092315307,0.277139542102363,44.843015502762945,31.812922747947464,0.2196917770846552,28,45,60
