dataset,day,direction,band_type,band_index,band_low,band_high,lon_scheme,n_profiles,n_positions,mean_point_variance,pooled_lag_zero_variance,lag1_correlation,lag2_correlation,minimum_toeplitz_eigenvalue,lambda1_fraction,top5_fraction,effective_rank_entropy,effective_rank_participation,spectral_rank_centroid,modes_80,modes_90,modes_95
simulation,25,north_south,longitude_band,4,128.0,129.0,primary,128,80,8.016919416668623,7.954287233725898,0.6824578513171492,0.4636936895032032,0.18533900696564112,0.07117212936077931,0.3126321389367046,42.55969957661203,28.738538671310128,0.21174437661972334,28,45,61
simulation,25,north_south,longitude_band,5,130.0,131.0,primary,120,80,9.443994655293864,9.365294699833079,0.7094685254910594,0.4878683218792397,0.1483648907005935,0.09864268221997519,0.37298752325441425,39.09991093282659,24.336284174202433,0.19741146450598843,26,41,57
simulation,13,north_south,longitude_band,1,121.0,122.0,alternate,127,80,7.937753042268122,7.875251049809316,0.6951266418187044,0.4651895971358873,0.15567661218077922,0.07577792612359782,0.3035164899258766,42.27647450421912,29.117008026521745,0.20860132614264182,26,43,59
simulation,13,north_south,longitude_band,2,123.0,124.0,alternate,120,80,7.807770751614791,7.742705995351333,0.6654425872236018,0.4265115779290832,0.18410635652638904,0.07570854167461734,0.2854204307798649,44.93572740959647,31.157232377019213,0.221353289697043,29,46,61
simulation,13,north_south,longitude_band,3,125.0,126.0,alternate,128,80,8.488566945722429,8.422250016458973,0.69248443847161,0.45840009876917936,0.16084891504431456,0.06885217395819221,0.287802615672174,42.681273664258214,29.87749121962173,0.21017585199625932,27,43,59
simulation,13,north_south,longitude_band,4,127.0,128.0,alternate,128,80,7.422839562747301,7.364848628663336,0.6514325349714986,0.410884370880359,0.19199479520655188,0.07963840366729891,0.3050219871899441,45.59524510541422,30.517019127946,0.22632443873204772,30,47,61
simulation,13,north_south,longitude_band,5,129.0,130.0,alternate,128,80,9.461776298726063,9.387856171392269,0.7277316393735783,0.5211851469682799,0.13516535550835893,0.08098054269164293,0.37310929576436125,37.342789978267696,23.924685046954117,0.18851891687977462,24,41,56
simulation,19,north_south,longitude_band,1,121.0,122.0,alternate,128,80,8.562357267516006,8.495463851363535,0.6983709780757498,0.487467754239439,0.15613568686507542,0.06985565935502278,0.32318164636025193,40.9261991229161,27.443491100167147,0.20451730822911113,27,43,59
simulation,19,north_south,longitude_band,2,123.0,124.0,alternate,120,80,9.367009466821305,9.288951054597794,0.7180997868264758,0.5057374455169318,0.15463545792599262,0.09083094776488257,0.33553937430948,39.22599351536873,25.88608899837389,0.19549616132632835,25,41,57
simulation,19,north_south,longitude_band,3,125.0,126.0,alternate,128,80,8.38486293462761,8.319356192950831,0.7011890462083517,0.4747772920837771,0.15316377978840254,0.08098660759346565,0.3433764280680514,40.825866743163175,26.736081390399544,0.2030014969299176,27,42,58
simulation,19,north_south,longitude_band,4,127.0,128.0,alternate,128,80,8.240895444758504,8.17651344909633,0.6802392032536986,0.4204171748215092,0.1480869910121745,0.05822404641150712,0.2501101273589975,44.72947531162272,32.53602955184212,0.21878544819252568,28,44,58
simulation,19,north_south,longitude_band,5,129.0,130.0,alternate,128,80,8.852949087711263,8.783785422963518,0.7007071312452068,0.4778894837456771,0.15412139312767695,0.06712319903396656,0.30903153734296995,41.64229841214678,28.662486313254448,0.20566923540755697,25,43,59
simulation,25,north_south,longitude_band,1,121.0,122.0,alternate,128,80,8.789985909241393,8.721314144325444,0.7054149325015611,0.49219145562006184,0.14114973553022855,0.08159988542512729,0.3256485863891388,40.14710642270488,26.58582601572865,0.20076031473127748,26,43,58
simulation,25,north_south,longitude_band,2,123.0,124.0,alternate,120,80,10.78691811556001,10.697027131263676,0.7611231509860644,0.5929732002901842,0.13176198027979763,0.16277522758397467,0.45194522867184084,31.13092958789126,16.876413076987912,0.1675343582467646,21,37,54
simulation,25,north_south,longitude_band,3,125.0,126.0,alternate,128,80,7.575156350567593,7.515975441578783,0.6618502517394801,0.4343853982714719,0.1828220809668822,0.059441378361332044,0.26995095107517275,45.328554151855066,32.02785688367959,0.22390266387073465,29,47,62
simulation,25,north_south,longitude_band,4,127.0,128.0,alternate,128,80,8.962500976525316,8.892481437646211,0.7043362556132328,0.48292967946878,0.1550164369596587,0.0780229681545099,0.3304817538440242,40.91412265667886,27.483940697434107,0.20290865275282094,25,42,58
simulation,25,north_south,longitude_band,5,129.0,130.0,alternate,128,80,8.144432068179583,8.08080369264693,0.681112117326094,0.4458463167129453,0.15954748182035747,0.0799786532069345,0.2913203658615137,43.319340139127455,29.697196307820327,0.21396241093239787,28,44,59
real,13,east_west,latitude_band,1,-3.0,-2.0,primary,356,80,9.573232073924675,9.546340972593429,0.7837368754301308,0.6253550765241682,0.11070556503662181,0.21194426892991142,0.524389562551864,26.670648389930488,12.735637071189599,0.15301486552926744,19,35,52
real,13,east_west,latitude_band,2,-2.0,-1.0,primary,345,80,9.866985613241932,9.838385654942682,0.7901839775905878,0.6348048818573352,0.11580874540234909,0.20639854977383232,0.54064729495461,25.57064879637945,12.111163512663003,0.14907466959425508,19,34,51
real,13,east_west,latitude_band,3,-1.0,0.0,primary,368,80,9.577933497652754,9.551906504452612,0.8192973681223777,0.7047329548879628,0.09273458456658164,0.2973080942405236,0.6394953041639337,18.438383327104127,7.556631006738263,0.12710786046589495,15,32,49
real,13,east_west,latitude_band,4,0.0,1.0,primary,368,80,12.87269152153661,12.837711381532435,0.8269618543618811,0.7091548173327505,0.09167039820401669,0.2779664671800086,0.6429820404710379,18.53430521879596,7.932835039596646,0.12424902167635477,15,31,47
real,13,east_west,latitude_band,5,1.0,2.0,primary,368,80,15.09549253127289,15.054472171133563,0.8623210834656374,0.7470429796716141,0.060894589285635424,0.25942453997126746,0.6327689565120931,17.775737420320404,8.440559409533014,0.10997023426381689,12,25,40
real,13,north_south,longitude_band,1,122.0,123.0,primary,117,80,9.388919550234199,9.308672374591172,0.7122549093985413,0.5195930479122833,0.12003872646647062,0.10967751369682953,0.4204520592013878,36.37637551658387,20.83983428640825,0.19118555312648175,26,43,57
real,13,north_south,longitude_band,2,124.0,125.0,primary,128,80,7.761850000160665,7.701210547034409,0.7372783748650013,0.5779463257628001,0.131617283976332,0.13425289348449418,0.4397172207664014,32.98037382698653,18.380190552711902,0.17786065176625612,23,41,58
real,13,north_south,longitude_band,3,126.0,127.0,primary,128,80,4.318316895520485,4.284580044774231,0.683138949258371,0.4567565932825163,0.14980383398572084,0.0708436516566223,0.315813189272077,42.69536688558109,28.745505309347877,0.2116549259009985,28,44,59
real,13,north_south,longitude_band,4,128.0,129.0,primary,128,80,6.971144810821926,6.9166827419873815,0.762571439381821,0.5781240904451612,0.10987938282825335,0.1026351991781006,0.39956067989324123,33.49541175814239,20.837661587887492,0.17145575947979178,21,37,53
real,13,north_south,longitude_band,5,130.0,131.0,primary,125,80,13.000652568489675,12.896647347941755,0.8765682029350085,0.7496284799261267,0.052115246322857744,0.19715095717659467,0.5969370195302913,19.622895869828792,10.826049100824912,0.10885718164854001,12,22,35
real,19,east_west,latitude_band,1,-3.0,-2.0,primary,368,80,9.713296539387944,9.686901711835256,0.7540016671399361,0.6302748343577919,0.1617769407512424,0.1933980984051601,0.5660835102609328,25.38725708699183,11.37186699013583,0.16116619387463788,22,41,58
real,19,east_west,latitude_band,2,-2.0,-1.0,primary,351,80,9.486580287613569,9.459552993346865,0.7183863886378208,0.5757366020217038,0.18675485428649874,0.1669861501481396,0.50286721989995,30.518872111203322,14.4215358647962,0.18108263269290298,25,44,60
real,19,east_west,latitude_band,3,-1.0,0.0,primary,368,80,8.089816894848168,8.067833696764342,0.7067072699371094,0.5550747051223406,0.18997086924205323,0.16492320661806706,0.4738975436280036,33.21542046604803,16.569972578673774,0.18867760032816014,27,45,61
real,19,east_west,latitude_band,4,0.0,1.0,primary,368,80,10.23105517397568,10.203253393611613,0.7715287498537496,0.6214294143154472,0.12348973037855276,0.1794396379890219,0.5377763839205408,27.52826503197238,13.837539563107796,0.15802794044907767,21,38,54
real,19,east_west,latitude_band,5,1.0,2.0,primary,368,80,9.160650764581689,9.135757691851847,0.7763584173153671,0.6522510837386667,0.14482558483020458,0.22803439877170353,0.55084889471376,25.03098039652689,11.442095112214512,0.1523924478216455,19,38,55
real,19,north_south,longitude_band,1,122.0,123.0,primary,128,80,6.372605798211717,6.322819815413188,0.590300179127053,0.40103831575953774,0.25982548900727315,0.15707990513368858,0.3507708946173533,44.52868764657923,22.66898502930019,0.24462536716528555,37,54,66
real,19,north_south,longitude_band,2,124.0,125.0,primary,128,80,5.73382268924706,5.689027199487318,0.6631564430467761,0.45652336851381375,0.18446667530666228,0.10181448981343492,0.38157663926656615,41.1078066357061,23.841538185452055,0.2148885703919478,30,47,62
real,19,north_south,longitude_band,3,126.0,127.0,primary,128,80,6.5146224459587945,6.463726958099739,0.7646904209079916,0.6079995158531191,0.12552553090818705,0.1448867648200733,0.4827513623698139,29.85871472902382,15.980170800242856,0.16393999741542223,21,38,54
real,19,north_south,longitude_band,4,128.0,129.0,primary,128,80,7.143448720440769,7.087640527312326,0.658542468223024,0.4897948629766556,0.20156931111986323,0.15749766513781646,0.4054109023471607,38.36131451992634,19.61697175712189,0.21217284423612548,31,49,63
real,19,north_south,longitude_band,5,130.0,131.0,primary,125,80,8.593532810883776,8.524784548396704,0.7525655556167908,0.5805757094361137,0.13460035060283007,0.1783767918049649,0.4749947342733831,30.757523826959666,15.62325199098007,0.16962928258981375,22,39,55
real,25,east_west,latitude_band,1,-3.0,-2.0,primary,368,80,13.103999835345997,13.068391140141253,0.826058693721484,0.7146707568781645,0.10227557239773018,0.32095743361870843,0.633689630245934,18.03355966646598,7.183968944866159,0.12434109157127896,15,30,48
real,25,east_west,latitude_band,2,-2.0,-1.0,primary,352,80,12.676177596732911,12.640165728560376,0.8038978547878269,0.6713415659581099,0.10099581922790504,0.26029679202250794,0.5827191585674938,21.875274486774373,9.387397501577624,0.13825648070559673,17,34,50
real,25,east_west,latitude_band,3,-1.0,0.0,primary,368,80,16.408172048511126,16.36358462446626,0.8569771995663569,0.7564756498109011,0.07481396261232047,0.36785250829169686,0.6818739166545891,14.657258559163015,5.782507865375135,0.10706437323800326,12,26,43
real,25,east_west,latitude_band,4,0.0,1.0,primary,368,80,17.467586627328423,17.420120359319377,0.842995688957333,0.7430864265741848,0.09009880221732242,0.3392086709500265,0.6774428746498553,15.961716084142289,6.468500087029586,0.1141975229308438,13,28,46
real,25,east_west,latitude_band,5,1.0,2.0,primary,368,80,15.751706585488103,15.70890303498406,0.8807046340535448,0.7968879788446499,0.06018496490646479,0.39321380827778557,0.716902922220428,12.421451451336225,5.07056339705085,0.09379402706812998,9,21,37
real,25,north_south,longitude_band,1,122.0,123.0,primary,128,80,9.948786754129873,9.871061857613233,0.674921914120312,0.4740590843118991,0.16654216154973955,0.1373788665993086,0.36839243806268357,39.91935320930284,22.37247648661404,0.20944103459743615,29,46,61
real,25,north_south,longitude_band,2,124.0,125.0,primary,128,80,9.880150993023557,9.80296231339056,0.7031811585771004,0.5177771149104937,0.15891742674936968,0.14912727180157273,0.4073372121734175,36.686360288699774,20.098324549194945,0.19498305295416557,26,44,59
real,25,north_south,longitude_band,3,126.0,127.0,primary,128,80,9.750797501242655,9.674619395764196,0.681630128926928,0.476972003282777,0.16551490196460042,0.12791301457867782,0.36607416329025977,40.19970576657007,23.415433114502115,0.20787480458328284,28,46,61
real,25,north_south,longitude_band,4,128.0,129.0,primary,128,80,9.293350574320012,9.220746272958138,0.7234905290994393,0.5941580666945886,0.15916811101445402,0.2817693400161618,0.5375748577881352,25.645543827202722,9.457120494335769,0.17358721593458468,25,45,60
real,25,north_south,longitude_band,5,130.0,131.0,primary,126,80,6.793084664061899,6.739171293712202,0.7440481876729249,0.5956672572532432,0.1306825733176332,0.27306879003693607,0.5232938430729761,26.197319485266,10.082541215411691,0.16728756853952167,23,41,57
real,13,north_south,longitude_band,1,121.0,122.0,alternate,127,80,9.189263476729703,9.116907071401123,0.7003320408934102,0.49014850060739057,0.12846135877996367,0.11554739899885529,0.38399888835582074,38.61533835258694,22.791490917718733,0.1988568848024202,27,43,59
real,13,north_south,longitude_band,2,123.0,124.0,alternate,120,80,7.335098049860882,7.273972232778709,0.6966415273122297,0.4971614299672509,0.16323277945465683,0.159278448794773,0.3941188494159405,37.31517923184786,19.8129491479267,0.1987454258412073,27,44,59
real,13,north_south,longitude_band,3,125.0,126.0,alternate,128,80,4.570202088496376,4.534497384679999,0.6194733179110027,0.41541226101010365,0.2232296393363558,0.10473803938126247,0.3626252050672304,44.524345023205335,26.142743921710405,0.23364431778121753,34,51,64
real,13,north_south,longitude_band,4,127.0,128.0,alternate,128,80,4.964153483993117,4.92537103489942,0.6839851013302979,0.44813458880111784,0.15533836802077172,0.09838246415618,0.340597905829526,42.232822334014024,27.296038962182678,0.21055526292936494,28,44,59
real,13,north_south,longitude_band,5,129.0,130.0,alternate,128,80,12.360356892650294,12.263791604426464,0.8699807015310768,0.7392445366746785,0.052247311584663725,0.2113343589683999,0.5779250098810116,19.906920502198215,10.63773092890477,0.11161345981164512,12,23,37
real,19,north_south,longitude_band,1,121.0,122.0,alternate,128,80,7.258683596243704,7.201975130648049,0.5178367424208328,0.3289761384454837,0.3212412649753628,0.09096164839208812,0.30250964150384285,53.218817962311064,33.94141124254813,0.2790758511253709,42,59,69
real,19,north_south,longitude_band,2,123.0,124.0,alternate,120,80,5.797570546601688,5.749257458713341,0.6107844008424583,0.4075558351565782,0.2050203680428396,0.10668335466090265,0.3398310186988079,45.96322271633987,27.8860072338364,0.2383043431561461,35,52,64
real,19,north_south,longitude_band,3,125.0,126.0,alternate,128,80,5.925610907781284,5.879317072564243,0.7180120794666072,0.5399724243565771,0.15133584038889614,0.094437540047978,0.40805600017459404,36.17354572807047,21.665189079602918,0.18924483321528354,25,43,58
real,19,north_south,longitude_band,4,127.0,128.0,alternate,128,80,7.794553667495316,7.733658716968009,0.66670565076538,0.48037785174150743,0.18029254732215508,0.0929366090676702,0.3844442567822438,40.67923178879044,24.217388991270393,0.2127417026591542,30,48,62
real,19,north_south,longitude_band,5,129.0,130.0,alternate,128,80,8.872845937264358,8.80352682837948,0.7334243364116735,0.5458608622349257,0.14756584788950025,0.12241352109964676,0.4275174145054047,34.639958089987765,20.066941226121198,0.18181440974402227,25,40,56
real,25,north_south,longitude_band,1,121.0,122.0,alternate,127,80,12.14984380507791,12.054175743620602,0.6512947043641948,0.4419784608163544,0.19524553537882122,0.07225120689679224,0.314280782817968,44.623392298506396,29.615026221048677,0.22425427953238408,31,48,63
real,25,north_south,longitude_band,2,123.0,124.0,alternate,120,80,9.73736437553669,9.656219672407214,0.703545470140314,0.5259170225365188,0.14944389854911283,0.17745681063570712,0.44227639275446234,34.623241777257256,17.153750305412974,0.1920359468252706,27,44,60
real,25,north_south,longitude_band,3,125.0,126.0,alternate,128,80,8.398705435456787,8.33309054924228,0.6632747122579422,0.4269466826266645,0.18005017671191814,0.07158011974554937,0.3066109726575166,44.78444216180235,30.454404753102683,0.22122759301484782,30,46,61
real,25,north_south,longitude_band,4,127.0,128.0,alternate,128,80,11.533514514450596,11.44340893230645,0.7388768637183727,0.567529968794978,0.13940683221593503,0.18918959993088802,0.45572958818199505,31.612339566584797,15.665125669923054,0.1757928419443251,24,41,56
real,25,north_south,longitude_band,5,129.0,130.0,alternate,128,80,7.164867306272217,7.108891780441963,0.7353269809191966,0.6069277412756874,0.15340947528481017,0.32285659325723737,0.5653766006001646,22.990024579756042,7.8340232361416335,0.16624911630574793,24,43,59
