dataset,direction,rank,rank_fraction,eigenvalue_fraction_mean,eigenvalue_fraction_min,eigenvalue_fraction_max,cumulative_fraction_mean,cumulative_fraction_min,cumulative_fraction_max
real,east_west,1,0.0125,0.25782350834589074,0.16492320661806706,0.39321380827778557,0.25782350834589074,0.16492320661806706,0.39321380827778557
real,east_west,2,0.025,0.15000138628974283,0.11137351306971423,0.18035446193748633,0.40782489463563354,0.2762967196877813,0.5724026332547775
real,east_west,3,0.0375,0.08245570049239663,0.06514481242430972,0.1050992802708776,0.4902805951280302,0.35867709087090716,0.6375474456790872
real,east_west,4,0.05,0.05827699157748823,0.04242508554872995,0.09000734325824782,0.5485575867055185,0.4237560210399594,0.6799725312278171
real,east_west,5,0.0625,0.04506809418881665,0.03644652919091718,0.05916583252849154,0.5936256808943351,0.4738975436280036,0.716902922220428
real,east_west,6,0.075,0.03393938724243384,0.02486285759449891,0.04500683850936581,0.6275650681367689,0.5107587665395359,0.7443236826353616
real,east_west,7,0.0875,0.02714597957489411,0.020067501561032385,0.033959500020642124,0.654711047711663,0.5394854331300392,0.7681076041107223
real,east_west,8,0.1,0.023533397287045878,0.017425258507321306,0.030901589103219235,0.678244444998709,0.5658434318165484,0.7880289564216149
real,east_west,9,0.1125,0.020747770187614523,0.01617431856222244,0.025485592550952053,0.6989922151863234,0.5908226437254728,0.8042032749838373
real,east_west,10,0.125,0.018020721583800716,0.014290365679735585,0.021728548917159012,0.7170129367701242,0.6125511926426318,0.8184936406635729
real,east_west,11,0.1375,0.015662973753519615,0.012108338338188009,0.018692181078655317,0.7326759105236438,0.6312433737212871,0.8306019790017609
real,east_west,12,0.15,0.013876425182593967,0.010371651440768017,0.01780312023998516,0.7465523357062377,0.6490464939612723,0.8409736304425289
real,east_west,13,0.1625,0.012664623720324819,0.009267780030103206,0.016935953062501247,0.7592169594265624,0.6659824470237736,0.8502414104726321
real,east_west,14,0.175,0.011829682943170796,0.008493327788163342,0.015564377288656187,0.7710466423697333,0.6815468243124299,0.8587347382607955
real,east_west,15,0.1875,0.01094349641877442,0.007318534088762891,0.014683871640658114,0.7819901387885078,0.695234674770328,0.8660532723495584
real,east_west,16,0.2,0.010232466378774086,0.0066015615786490945,0.014501323507334088,0.7922226051672818,0.7075742370737085,0.8726548339282075
real,east_west,17,0.2125,0.009676177379772813,0.006552935057359251,0.014032382086514864,0.8018987825470546,0.7190047967026224,0.8792077689855667
real,east_west,18,0.225,0.009181634380496732,0.006416733815979333,0.013990569410027805,0.8110804169275514,0.7294337188910027,0.885624502801546
real,east_west,19,0.2375,0.00858768143794387,0.006157084815600249,0.01271429170379285,0.8196680983654953,0.7393066908220944,0.8917815876171463
real,east_west,20,0.25,0.00786399758335939,0.005545923468673903,0.010396583327199794,0.8275320959488546,0.7490366332206905,0.8973275110858202
real,east_west,21,0.2625,0.007319117675959614,0.005189133018156414,0.009914432287956786,0.8348512136248143,0.7583523108239092,0.9025166441039766
real,east_west,22,0.275,0.006859314357163025,0.004804047059592965,0.009603892385189574,0.8417105279819772,0.7670148550494267,0.9074229066047257
