day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,frob_norm
2024-07-1,Vecc_74,18126.0,0.03,80,4.078166145876245,1.6044678550793148,0.1496473975236687,-3.765902439337976,0.01921576322819353,-0.18530441812623835,0.4133544482091748,1.3327114309119896,197.83034706115723,1.9104439885828628
2024-07-1,Vecc_75,18126.0,0.03,80,4.135195325888781,1.7915918513923956,0.12432754030400373,-3.723573625080105,0.025778251059794453,-0.19027978380569296,0.34557461538444206,1.330701221748444,187.07029032707214,1.8434431927864767
2024-07-1,Vecc_76,18126.0,0.03,80,4.071537622136081,1.6465716354209254,0.14549982027934996,-3.5932839705296336,0.02610607120909907,-0.17662019716408486,0.3883724163339371,1.3249116319925482,188.77883648872375,1.8497988492683073
2024-07-1,Vecc_77,18126.0,0.03,80,4.128423735761226,1.7646307931959986,0.15358265406428437,-3.766607784855706,0.034613685876927175,-0.1856508171199592,0.32450515516594014,1.3283000060483137,180.80123615264893,1.8275398386779285
2024-07-1,Vecc_78,18126.0,0.03,80,4.113012599449799,1.7719429773798017,0.12553241430537262,-3.7022776593831797,0.03624688462078901,-0.17016130031964707,0.3308142575569618,1.3216502138352708,199.16333889961243,1.823406414323935
2024-07-1,Vecc_79,18126.0,0.03,80,4.085643138117613,1.623377979527194,0.14106222070412072,-3.7105984431597783,0.03739289525925036,-0.17889010053013882,0.3907660748479598,1.3300064952350008,165.9819221496582,1.8760790737476387
2024-07-1,Vecc_80,18126.0,0.03,80,4.11798789210378,1.648180619345437,0.13824303726326767,-3.8704966221353585,0.03568931969904648,-0.17899627290037848,0.34447172205840815,1.3310012724760605,175.82660150527954,1.8756437685254683
2024-07-1,Vecc_81,18126.0,0.03,80,4.085805540946907,1.657177456811836,0.16354982379757468,-3.83826548834566,0.034463122633578105,-0.1951150386933327,0.36962125956712455,1.3267046198143373,196.93201684951782,1.8867533881864402
2024-07-1,Vecc_82,18126.0,0.03,80,4.096468545262364,1.672899703893014,0.10183624500189017,-3.7976802335754054,0.028505922522689936,-0.17686356458352498,0.3740114435947422,1.3253501779492465,171.80269408226013,1.889591157971197
2024-07-1,Vecc_83,18126.0,0.03,80,4.075951056112133,1.6554154332989606,0.16410684431951753,-3.8585815216333854,0.02601734211718316,-0.18958074475709638,0.3941427893988998,1.3276598553659358,189.9229712486267,1.9163192224423533
