Iteration,Heads,MAPE,FrobNorm,Time,Est_SigmaSq,Est_RangeLat,Est_RangeLon,Est_RangeTime,Est_AdvecLat,Est_AdvecLon,Est_Nugget
19,300,13.584614,0.558758,97.711066,12.525418,0.138979,0.177476,1.077466,0.022585,-0.172816,0.102258
20,0,13.636258,0.7787,95.025105,12.293019,0.137716,0.175824,1.071089,0.024814,-0.168177,0.128888
20,100,13.217065,0.710918,96.747342,12.362312,0.138797,0.177188,1.081222,0.024763,-0.16802,0.133527
20,300,11.979256,0.526035,97.756056,12.554879,0.141896,0.181086,1.111095,0.02469,-0.168256,0.147583
21,0,12.416506,0.473219,96.400316,12.606179,0.142435,0.181103,1.096161,0.017839,-0.17229,0.150623
21,100,11.994862,0.389617,95.103961,12.696577,0.14382,0.182846,1.108983,0.017734,-0.172152,0.155925
21,300,11.146216,0.273833,96.069294,12.831994,0.146008,0.185592,1.128993,0.017794,-0.172318,0.165552
22,0,15.46766,0.704527,97.296773,12.377215,0.136589,0.174662,1.040512,0.023429,-0.170001,0.076218
22,100,15.088151,0.646202,97.382812,12.437103,0.137513,0.175828,1.049112,0.023399,-0.169928,0.080366
22,300,14.321862,0.531214,98.529975,12.556521,0.139417,0.178221,1.065729,0.023396,-0.169865,0.089249
23,0,9.650411,0.365073,95.838756,12.726482,0.144399,0.183263,1.113994,0.02159,-0.170528,0.149618
23,100,9.301416,0.305975,96.652147,12.795628,0.145458,0.184588,1.123864,0.021564,-0.170441,0.153568
23,300,8.573048,0.220397,97.766727,12.913618,0.147385,0.18701,1.141861,0.021624,-0.170845,0.162128
24,0,11.088973,0.58674,97.296288,12.489952,0.140396,0.178516,1.085836,0.022068,-0.170051,0.134654
24,100,10.70935,0.526064,96.693707,12.553408,0.141376,0.179747,1.09478,0.022045,-0.16991,0.138633
24,300,9.808684,0.378437,97.786994,12.713139,0.143949,0.182964,1.118112,0.022155,-0.169961,0.150058
25,0,14.533342,0.446244,96.546323,12.640965,0.141693,0.180149,1.093686,0.026654,-0.171218,0.1237
25,100,14.127235,0.384475,97.314816,12.708857,0.142744,0.181465,1.103444,0.026619,-0.171091,0.127911
25,300,13.489616,0.294979,96.869049,12.813243,0.144406,0.183546,1.117701,0.026618,-0.171071,0.135146
26,0,14.683555,0.868163,97.120004,12.205016,0.135314,0.172349,1.016934,0.02245,-0.179389,0.094822
26,100,14.295532,0.805956,98.001283,12.267742,0.136275,0.173564,1.025734,0.022428,-0.179188,0.0989
26,300,13.546696,0.695827,99.261534,12.379068,0.138073,0.175824,1.041429,0.022405,-0.179207,0.10763
27,0,14.417136,0.703889,95.07462,12.368373,0.138679,0.176531,1.061228,0.018473,-0.180526,0.128578
27,100,14.174314,0.659775,95.976898,12.413455,0.139382,0.177414,1.067676,0.018436,-0.180439,0.131559
27,300,13.280395,0.523744,97.692949,12.554,0.141629,0.180223,1.087467,0.018441,-0.180097,0.141531
28,0,11.894528,0.839317,95.855163,12.228811,0.136648,0.173333,1.02468,0.022612,-0.170034,0.12928
28,100,11.539161,0.78269,96.771469,12.285781,0.137539,0.174445,1.032812,0.022597,-0.169894,0.133143
28,300,10.61374,0.641244,97.848006,12.428794,0.139841,0.177321,1.053581,0.02256,-0.169889,0.143809
29,0,16.906202,0.479998,98.053565,12.609882,0.139948,0.178816,1.075391,0.027201,-0.17648,0.097127
29,100,16.48926,0.420994,95.881651,12.673755,0.140936,0.180059,1.084487,0.027139,-0.176387,0.101378
29,300,15.722837,0.307422,97.778812,12.80443,0.14302,0.182691,1.103945,0.027156,-0.176645,0.11085
30,0,15.448247,0.475305,97.313439,12.620285,0.13963,0.178909,1.103406,0.02471,-0.174159,0.097836
30,100,14.974502,0.404229,94.505888,12.699721,0.140854,0.180459,1.114863,0.024694,-0.174059,0.1031
30,300,14.292665,0.30779,97.817497,12.816224,0.142651,0.182731,1.129891,0.024727,-0.173765,0.110578
31,0,17.725483,0.714529,98.016615,12.364718,0.136831,0.175154,1.063817,0.016199,-0.174012,0.093034
31,100,17.46193,0.668463,99.490278,12.412126,0.137562,0.176078,1.070644,0.016167,-0.173922,0.096266
31,300,16.572224,0.533358,100.08134,12.553173,0.139825,0.178936,1.092227,0.016183,-0.174035,0.107048
32,0,15.755442,0.876437,97.910424,12.202085,0.133859,0.170896,1.035782,0.021983,-0.172184,0.06935
32,100,15.36025,0.814237,97.997754,12.265224,0.134833,0.172123,1.044863,0.021973,-0.172072,0.07383
32,300,14.687952,0.710103,99.363474,12.371419,0.136528,0.174247,1.059394,0.022047,-0.171788,0.082053
33,0,13.045353,0.542965,96.411986,12.534955,0.141306,0.179845,1.077107,0.02422,-0.17728,0.129633
33,100,12.597027,0.468684,98.0356,12.613092,0.142517,0.181369,1.088215,0.024213,-0.177143,0.134495
33,300,11.69894,0.327436,100.222988,12.768505,0.145018,0.184512,1.110667,0.024264,-0.177301,0.145451
34,0,13.628128,0.573959,96.657121,12.500152,0.141573,0.180421,1.088466,0.026873,-0.178093,0.153116
34,100,13.087511,0.484951,95.978164,12.59355,0.143031,0.182252,1.10194,0.026858,-0.177923,0.158949
34,300,12.216543,0.356392,97.784391,12.733621,0.145279,0.185079,1.121251,0.026841,-0.17775,0.168491
35,0,14.232127,0.826915,96.512459,12.245128,0.136908,0.174399,1.055665,0.023568,-0.176424,0.114614
35,100,13.783582,0.75634,97.377838,12.31689,0.138029,0.175807,1.066162,0.02354,-0.176266,0.119471
35,300,12.994428,0.639977,98.547572,12.436236,0.139961,0.178241,1.084721,0.023441,-0.176583,0.128604
36,0,11.353725,0.766678,95.975598,12.303583,0.139074,0.176511,1.063094,0.021751,-0.173258,0.134858
36,100,11.069853,0.71677,96.194562,12.354405,0.139862,0.177504,1.070268,0.021727,-0.173159,0.138176
36,300,10.129796,0.572149,97.073132,12.503433,0.142298,0.180556,1.093694,0.021806,-0.173416,0.149246
37,0,15.707676,0.566865,95.963498,12.519355,0.139425,0.177341,1.102383,0.018077,-0.175838,0.108978
37,100,15.377988,0.513485,96.619969,12.576513,0.140303,0.178449,1.110894,0.018089,-0.175757,0.112635
37,300,14.475243,0.378358,98.625042,12.727977,0.142722,0.181488,1.134124,0.018084,-0.175891,0.123645
38,0,14.141594,0.567752,95.086515,12.503168,0.141725,0.180123,1.064925,0.015032,-0.175306,0.153622
38,100,13.808364,0.508693,93.760796,12.564082,0.142671,0.18131,1.073309,0.015025,-0.175256,0.157293
38,300,12.975097,0.37694,97.75376,12.703129,0.144901,0.184104,1.093382,0.015041,-0.175311,0.166808
39,0,14.119399,0.757935,96.557265,12.315051,0.137153,0.174639,1.037582,0.024275,-0.170603,0.109577
39,100,13.772383,0.701756,95.877812,12.372072,0.13803,0.175738,1.045603,0.024251,-0.170524,0.113293
39,300,13.134268,0.614033,98.477238,12.46137,0.139477,0.177549,1.057106,0.024216,-0.170314,0.120156
40,0,11.263504,0.538403,95.055125,12.536115,0.141633,0.180468,1.076247,0.022459,-0.182416,0.146455
40,100,10.929347,0.488471,94.374095,12.588194,0.142445,0.18149,1.083696,0.022418,-0.182268,0.149812
40,300,10.113297,0.356526,97.673877,12.730178,0.14471,0.184333,1.104514,0.022443,-0.182207,0.159332
41,0,13.224934,0.477102,97.060289,12.610032,0.139995,0.178224,1.051675,0.022879,-0.168816,0.095657
41,100,12.986706,0.437122,95.800391,12.652493,0.140647,0.179043,1.05759,0.022879,-0.168775,0.098416
41,300,12.576357,0.370234,97.644131,12.724734,0.141798,0.180482,1.066477,0.022946,-0.168647,0.103616
42,0,15.061302,0.531894,95.043442,12.551161,0.140084,0.177793,1.073275,0.025342,-0.175934,0.108832
42,100,14.595559,0.456022,96.677426,12.631678,0.141321,0.179342,1.084734,0.025333,-0.175791,0.113936
42,300,13.823572,0.339773,96.938784,12.760276,0.143392,0.181925,1.102873,0.025397,-0.175726,0.123369
43,0,12.982905,0.804333,96.643674,12.265171,0.137309,0.174624,1.032775,0.019598,-0.168008,0.12447
43,100,12.608795,0.732955,96.588572,12.337259,0.138428,0.176028,1.04292,0.01955,-0.167868,0.129258
43,300,12.035941,0.646189,97.022317,12.425164,0.139859,0.177821,1.054838,0.019545,-0.167766,0.136085
44,0,14.740038,0.826614,96.731364,12.242254,0.137297,0.17492,1.045804,0.026924,-0.170281,0.131206
44,100,14.323677,0.761051,95.873358,12.308572,0.138343,0.176234,1.055492,0.026908,-0.170168,0.13586
44,300,13.179861,0.584637,97.031058,12.488823,0.141266,0.179908,1.082136,0.026892,-0.17022,0.149357
45,0,10.048012,0.247093,97.917806,12.885957,0.146829,0.185675,1.147743,0.022377,-0.174829,0.151557
45,100,9.663788,0.209649,96.56122,12.956425,0.147898,0.187009,1.157686,0.022331,-0.174681,0.155178
45,300,8.922251,0.204278,97.059171,13.109683,0.150339,0.190061,1.179912,0.022339,-0.174822,0.165029
46,0,15.417138,0.596427,96.529809,12.47644,0.139921,0.179433,1.060385,0.028475,-0.177449,0.1368
46,100,15.18681,0.561386,97.421501,12.512459,0.140479,0.18014,1.065487,0.028444,-0.177377,0.139116
46,300,14.207256,0.41871,101.113075,12.661649,0.142877,0.183176,1.08732,0.028346,-0.17744,0.149914
47,0,15.186118,0.789011,96.535772,12.284937,0.136801,0.174925,1.049417,0.024871,-0.17286,0.104879
47,100,14.91534,0.743004,97.57672,12.331736,0.137522,0.175835,1.056125,0.024876,-0.172788,0.107977
47,300,13.815656,0.572856,98.647977,12.506659,0.1403,0.179335,1.081479,0.024835,-0.172769,0.120557
48,0,16.067035,0.89372,98.026949,12.175544,0.13676,0.173007,1.049781,0.02702,-0.177194,0.124991
48,100,15.784581,0.848683,98.893701,12.221075,0.137478,0.173906,1.056485,0.027011,-0.177063,0.12808
48,300,15.279552,0.768293,99.592674,12.302634,0.138804,0.175556,1.069388,0.027018,-0.177153,0.134455
49,0,12.631512,0.488322,97.343001,12.591892,0.141298,0.179871,1.080724,0.019239,-0.172709,0.131496
49,100,12.152649,0.406137,95.982801,12.679795,0.142649,0.181571,1.093316,0.019216,-0.172555,0.136937
49,300,11.199837,0.262049,96.965734,12.847299,0.145313,0.184921,1.117985,0.019187,-0.172682,0.148339
50,0,13.950451,0.537528,96.517442,12.547183,0.140931,0.178901,1.105177,0.02519,-0.169843,0.122601
50,100,13.63844,0.489474,95.172618,12.598714,0.14173,0.179897,1.112527,0.025165,-0.169764,0.125888
50,300,12.818167,0.357738,96.98709,12.747269,0.144128,0.182902,1.135538,0.025247,-0.170073,0.136672
51,0,12.940335,0.606346,96.67472,12.470934,0.139139,0.176726,1.056027,0.02327,-0.168585,0.112326
51,100,12.283734,0.501086,95.952097,12.580167,0.140848,0.17887,1.072164,0.02322,-0.168383,0.119868
51,300,11.61623,0.403428,98.116818,12.684,0.142516,0.180953,1.086587,0.023195,-0.168376,0.127417
52,0,10.341138,0.271175,95.157097,12.831013,0.14482,0.184518,1.108696,0.023005,-0.174673,0.149459
52,100,9.934054,0.215473,95.36787,12.906288,0.145974,0.185971,1.119376,0.023,-0.174594,0.153848
52,300,9.03303,0.163763,97.057621,13.06188,0.148426,0.189058,1.140653,0.02298,-0.174592,0.163774
53,0,13.654415,0.466039,95.835672,12.617962,0.141748,0.180709,1.090295,0.018503,-0.176837,0.128272
