year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,sigma,range_lat,range_lon,range_time,nugget
2024,7,1,lat,Corridor_4x4_lag643,3.1078,2.2791,1.6846,11.6425,0.1815,0.2129,1.1930,0.5791
2024,7,1,lat,Debiased_Whittle,3.3991,2.3822,2.2587,10.9915,0.2082,0.2854,1.5142,0.7321
2024,7,1,lat,Vecchia_mm20,1.7216,1.2542,0.2439,13.5816,0.3276,0.3979,1.9409,1.4232
2024,7,1,lon,Corridor_4x4_lag643,2.3917,1.8310,1.2666,11.6425,0.1815,0.2129,1.1930,0.5791
2024,7,1,lon,Debiased_Whittle,2.7544,2.1268,2.1268,10.9915,0.2082,0.2854,1.5142,0.7321
2024,7,1,lon,Vecchia_mm20,0.9565,0.7587,0.1951,13.5816,0.3276,0.3979,1.9409,1.4232
2024,7,2,lat,Corridor_4x4_lag643,1.1629,1.0159,0.2097,14.7694,0.1808,0.2234,1.5481,1.6144
2024,7,2,lat,Debiased_Whittle,3.5461,3.1479,3.1479,12.1126,0.1691,0.2126,1.6113,0.8446
2024,7,2,lat,Vecchia_mm20,0.8349,0.6341,-0.5323,15.3144,0.2670,0.3676,2.1216,2.6291
2024,7,2,lon,Corridor_4x4_lag643,1.3254,1.1254,-0.6174,14.7694,0.1808,0.2234,1.5481,1.6144
2024,7,2,lon,Debiased_Whittle,2.6912,2.2615,2.2615,12.1126,0.1691,0.2126,1.6113,0.8446
2024,7,2,lon,Vecchia_mm20,1.2153,0.9873,-0.8531,15.3144,0.2670,0.3676,2.1216,2.6291
2024,7,3,lat,Corridor_4x4_lag643,3.1915,2.3478,1.7683,12.9742,0.1626,0.1907,1.3290,1.4613
2024,7,3,lat,Debiased_Whittle,4.5861,3.5355,3.5355,11.1961,0.1585,0.1711,1.3258,1.1950
2024,7,3,lat,Vecchia_mm20,1.9687,1.4288,0.7840,14.0653,0.2874,0.3729,2.2141,2.4886
2024,7,3,lon,Corridor_4x4_lag643,1.6467,1.3434,0.4974,12.9742,0.1626,0.1907,1.3290,1.4613
2024,7,3,lon,Debiased_Whittle,2.8666,2.1369,2.1168,11.1961,0.1585,0.1711,1.3258,1.1950
2024,7,3,lon,Vecchia_mm20,0.7422,0.6689,0.0081,14.0653,0.2874,0.3729,2.2141,2.4886
2024,7,4,lat,Corridor_4x4_lag643,1.2255,1.0660,0.4530,12.7403,0.1570,0.2123,1.6480,0.9054
2024,7,4,lat,Debiased_Whittle,1.9141,1.6724,1.0556,11.9192,0.1207,0.1577,1.4714,0.7026
2024,7,4,lat,Vecchia_mm20,2.2970,2.0299,-2.0299,15.8208,0.2932,0.4480,2.9139,1.9332
2024,7,4,lon,Corridor_4x4_lag643,1.1696,0.9943,-0.3264,12.7403,0.1570,0.2123,1.6480,0.9054
2024,7,4,lon,Debiased_Whittle,1.5375,1.3626,0.1181,11.9192,0.1207,0.1577,1.4714,0.7026
2024,7,4,lon,Vecchia_mm20,2.3116,1.9890,-1.9153,15.8208,0.2932,0.4480,2.9139,1.9332
2024,7,5,lat,Corridor_4x4_lag643,2.1918,1.7878,1.7399,12.8333,0.1594,0.1958,1.2907,1.2619
2024,7,5,lat,Debiased_Whittle,3.4807,2.9087,2.9063,11.5622,0.1267,0.1609,1.0711,0.9266
2024,7,5,lat,Vecchia_mm20,0.7704,0.6890,0.6890,14.0653,0.2695,0.3901,2.1362,2.1352
2024,7,5,lon,Corridor_4x4_lag643,1.1423,0.9637,-0.0195,12.8333,0.1594,0.1958,1.2907,1.2619
2024,7,5,lon,Debiased_Whittle,1.9041,1.5087,1.1083,11.5622,0.1267,0.1609,1.0711,0.9266
2024,7,5,lon,Vecchia_mm20,0.7691,0.7025,-0.3956,14.0653,0.2695,0.3901,2.1362,2.1352
2024,7,6,lat,Corridor_4x4_lag643,4.0547,3.1603,3.0120,12.5827,0.1928,0.2302,1.3008,1.6069
2024,7,6,lat,Debiased_Whittle,4.5089,3.5261,3.4648,12.6908,0.1705,0.1932,1.5510,0.8884
2024,7,6,lat,Vecchia_mm20,1.9429,1.5272,1.3339,14.6406,0.3389,0.4935,2.3595,2.6609
2024,7,6,lon,Corridor_4x4_lag643,1.6550,1.3854,0.4173,12.5827,0.1928,0.2302,1.3008,1.6069
2024,7,6,lon,Debiased_Whittle,1.9850,1.6409,0.7489,12.6908,0.1705,0.1932,1.5510,0.8884
2024,7,6,lon,Vecchia_mm20,0.6069,0.4973,-0.3313,14.6406,0.3389,0.4935,2.3595,2.6609
