year,month,day_num,direction,lag,daily_mean,mean_pair_count,hour_1,n_pairs_hour_1,hour_2,n_pairs_hour_2,hour_3,n_pairs_hour_3,hour_4,n_pairs_hour_4,hour_5,n_pairs_hour_5,hour_6,n_pairs_hour_6,hour_7,n_pairs_hour_7,hour_8,n_pairs_hour_8
2024,7,1,lat,0.0440,3.0247,16076.2500,2.9966,17911,3.2340,15565,3.2875,13866,3.0560,13779,3.0121,14332,2.9332,17276,2.8153,17938,2.8631,17943.0000
2024,7,1,lat,0.1320,6.1336,15558.8750,5.5990,17593,6.6285,15036,7.1785,13186,6.1444,13018,6.2271,13550,5.9696,16847,5.5952,17616,5.7269,17625.0000
2024,7,1,lat,0.1760,6.9607,15343.3750,6.4281,17434,7.3799,14822,8.3161,12905,6.8177,12738,7.1715,13263,6.7827,16661,6.2630,17458,6.5268,17466.0000
2024,7,1,lat,0.3960,9.4839,14389.2500,8.9894,16639,9.9090,13823,10.7879,11762,9.2184,11619,10.3082,12128,9.6264,15808,8.4232,16664,8.6090,16671.0000
2024,7,1,lat,0.6160,11.0542,13548.0000,10.7568,15844,11.3481,12919,11.5156,10843,10.5924,10704,12.4797,11310,11.9449,15018,9.9931,15870,9.8030,15876.0000
2024,7,1,lat,0.8360,12.3859,12767.7500,11.7915,15049,12.6301,12021,12.9875,10088,11.6955,9997,13.9259,10552,13.3069,14276,11.6575,15078,11.0925,15081.0000
2024,7,1,lat,1.0560,13.6905,12044.0000,12.7133,14254,13.9532,11218,14.5327,9441,13.4627,9339,14.7091,9967,14.7677,13562,13.0651,14284,12.3200,14287.0000
2024,7,1,lat,1.2760,14.5587,11344.6250,14.1434,13459,15.2065,10471,15.5651,8776,14.0096,8747,15.1424,9491,15.3134,12832,14.1899,13489,12.8991,13492.0000
2024,7,1,lat,1.4960,15.3662,10635.1250,15.1181,12664,16.4338,9747,16.4739,8151,14.6362,8124,16.0529,8943,15.5581,12061,15.1157,12694,13.5411,12697.0000
2024,7,1,lat,1.7160,16.3512,9959.1250,16.3648,11869,17.8537,9104,16.4241,7584,15.7587,7607,17.2133,8427,16.2855,11281,16.0631,11899,14.8467,11902.0000
2024,7,1,lat,1.9360,17.7060,9292.5000,18.1082,11074,19.2060,8516,17.5212,7063,17.0893,7070,18.6059,7884,17.7715,10522,17.4876,11104,15.8579,11107.0000
2024,7,1,lat,2.1560,19.1090,8624.2500,19.1107,10279,20.9808,7957,18.8990,6571,17.9749,6536,19.8621,7293,19.7097,9737,19.1342,10309,17.2003,10312.0000
2024,7,1,lon,0.0630,3.4641,16073.7500,3.2091,17956,3.3342,15535,3.5864,13834,3.3438,13710,3.5965,14286,3.6145,17295,3.4978,17985,3.5306,17989.0000
2024,7,1,lon,0.1260,5.2787,15808.3750,4.6820,17842,5.1507,15257,5.8424,13422,5.3473,13255,5.5147,13840,5.4123,17105,5.1878,17871,5.0928,17875.0000
2024,7,1,lon,0.1800,6.5597,15583.8750,5.7619,17728,6.5689,15008,7.5381,13095,6.7485,12887,6.8620,13490,6.6614,16944,6.3181,17758,6.0185,17761.0000
2024,7,1,lon,0.3690,8.9297,15000.5000,7.9122,17386,8.9832,14345,10.4958,12252,9.4866,12035,9.9457,12636,9.1129,16516,8.0368,17415,7.4641,17419.0000
2024,7,1,lon,0.5580,10.4821,14488.0000,9.4007,17044,10.7929,13763,12.2038,11523,11.5784,11289,12.0020,12032,10.3997,16102,9.1581,17074,8.3212,17077.0000
2024,7,1,lon,0.7470,11.9647,14024.7500,10.6235,16702,12.2951,13228,13.9172,10958,13.5627,10685,14.0810,11458,11.6621,15699,10.2746,16733,9.3015,16735.0000
2024,7,1,lon,0.9360,13.1766,13621.7500,11.3183,16360,13.4862,12776,15.7798,10473,15.0293,10248,15.6808,10961,12.4853,15372,11.4410,16391,10.1920,16393.0000
2024,7,1,lon,1.1250,14.2504,13247.8750,11.9684,16018,14.9481,12340,17.2351,10050,16.3439,9844,17.0438,10539,13.3841,15092,12.4176,16049,10.6619,16051.0000
2024,7,1,lon,1.3140,15.0968,12887.5000,12.6794,15676,16.2983,11952,18.0063,9622,16.7834,9429,18.5673,10214,14.4042,14791,13.0061,15707,11.0295,15709.0000
2024,7,1,lon,1.5030,15.8963,12552.7500,13.5045,15334,17.3455,11649,19.1509,9186,17.3834,9067,19.3314,9961,15.4400,14493,13.5051,15365,11.5099,15367.0000
2024,7,1,lon,1.6920,16.4752,12262.3750,14.2734,14992,17.9842,11443,19.7928,8887,18.0422,8763,19.7480,9777,15.9992,14188,14.0715,15024,11.8904,15025.0000
2024,7,1,lon,1.8810,16.6850,11986.7500,14.4639,14650,17.9857,11237,19.6531,8709,18.7564,8506,20.0066,9565,16.1449,13862,14.3910,14682,12.0782,14683.0000
2024,7,2,lat,0.0440,4.6822,17258.0000,3.8916,17908,4.7656,16983,5.7506,16618,5.0272,16540,4.9996,16602,4.8239,17528,3.6250,17941,4.5741,17944.0000
2024,7,2,lat,0.1320,8.6059,16814.6250,6.7549,17590,8.5675,16512,9.8756,16089,10.1965,16000,9.7133,15977,9.0835,17101,7.2770,17622,7.3785,17626.0000
2024,7,2,lat,0.1760,9.7342,16613.8750,7.4389,17431,9.5736,16305,10.9742,15857,11.7135,15767,11.1574,15708,10.3808,16913,8.4882,17463,8.1469,17467.0000
2024,7,2,lat,0.3960,13.2245,15725.7500,9.6904,16636,12.0483,15412,14.2890,14875,15.8818,14739,15.8685,14745,14.4995,16058,12.4942,16669,11.0245,16672.0000
2024,7,2,lat,0.6160,14.9561,14911.1250,10.8766,15843,13.3661,14637,15.9920,14026,17.0362,13869,17.4241,13893,16.5430,15270,15.1645,15874,13.2461,15877.0000
2024,7,2,lat,0.8360,15.6982,14125.7500,11.3692,15048,14.2468,13846,16.5876,13232,17.7049,13091,17.7672,13131,17.2770,14497,16.1291,15079,14.5034,15082.0000
2024,7,2,lat,1.0560,16.5544,13344.6250,12.5205,14253,15.3637,13054,17.8115,12458,18.7877,12354,18.0647,12402,18.2623,13664,16.6087,14285,15.0161,14287.0000
2024,7,2,lat,1.2760,17.0674,12601.0000,12.7514,13458,16.3529,12333,18.7993,11763,19.5985,11662,18.7157,11739,18.8808,12871,16.4445,13490,14.9961,13492.0000
2024,7,2,lat,1.4960,17.6104,11878.7500,13.4392,12663,16.7905,11597,19.3181,11069,19.3608,11051,20.0266,11132,19.4459,12126,17.1173,12695,15.3844,12697.0000
2024,7,2,lat,1.7160,18.1390,11138.0000,13.3973,11868,17.8885,10847,19.8771,10383,19.5514,10373,20.1955,10458,20.4084,11373,18.2281,11900,15.5661,11902.0000
2024,7,2,lat,1.9360,18.3197,10401.0000,13.5560,11073,18.3959,10153,19.8570,9691,19.7361,9670,19.4489,9766,20.3930,10643,19.4665,11105,15.7039,11107.0000
2024,7,2,lat,2.1560,17.9049,9668.6250,13.7498,10278,17.9606,9468,19.2235,9048,18.3964,8969,18.8906,9051,19.4321,9913,19.4081,10310,16.1780,10312.0000
