year,tau,model,count,mean_norm_bias,median_norm_bias,over_rate,mean_abs_norm_bias
2022,3,Corridor_4x4_lag643,3,-0.8682,-1.0351,0.0000,0.8682
2022,3,Debiased_Whittle,3,-0.3483,-0.4003,0.3333,0.6087
2022,3,Vecchia_mm20,3,-0.8730,-0.8556,0.0000,0.8730
2023,3,Corridor_4x4_lag643,3,-0.7410,-0.9500,0.0000,0.7410
2023,3,Debiased_Whittle,3,-0.6066,-0.8012,0.3333,0.6419
2023,3,Vecchia_mm20,3,-0.6092,-0.4464,0.0000,0.6092
2024,3,Corridor_4x4_lag643,4,-0.3440,-0.2147,0.2500,0.3711
2024,3,Debiased_Whittle,4,0.0444,0.1406,0.7500,0.2194
2024,3,Vecchia_mm20,4,-0.4703,-0.4320,0.0000,0.4703
2025,3,Corridor_4x4_lag643,8,-0.6841,-0.6988,0.0000,0.6841
2025,3,Debiased_Whittle,8,-0.4431,-0.1768,0.1250,0.4602
2025,3,Vecchia_mm20,8,-0.7342,-0.8105,0.0000,0.7342
