model,count,mean_norm_bias,median_norm_bias,mean_abs_norm_bias,median_abs_norm_bias,over_rate,mean_err_euclid,median_err_euclid
Debiased_Whittle,18,-0.3462,-0.1768,0.4617,0.2983,0.3333,0.7308,0.4152
Corridor_4x4_lag643,18,-0.6487,-0.6988,0.6547,0.6988,0.0556,0.7351,0.7626
Vecchia_mm20,18,-0.6779,-0.7570,0.6779,0.7570,0.0000,0.8112,0.8316
