lag_k,n_elems,mean,std,CV=std/|mean|,values
0,8,11.6361,4.2158,0.3623,"[9.5774, 9.477, 9.7343, 11.4625, 22.426, 9.1841, 9.0155, 12.2119]"
1,7,9.9709,1.7363,0.1741,"[9.32, 9.4561, 9.512, 14.1561, 9.6878, 8.7522, 8.9119]"
2,6,8.7918,0.412,0.0469,"[9.0561, 9.0875, 9.0663, 9.0948, 8.3772, 8.0692]"
3,5,8.1672,0.7496,0.0918,"[8.5924, 8.6797, 8.7932, 7.9982, 6.7723]"
4,4,7.7908,0.8614,0.1106,"[8.2279, 8.5863, 8.0064, 6.3424]"
5,3,7.6593,0.7456,0.0973,"[8.3671, 7.9823, 6.6285]"
6,2,7.5853,0.3882,0.0512,"[7.9735, 7.1971]"
7,1,7.8443,0.0,0.0,[7.8443]
