model,k,AIC,ΔAIC
Baseline,1,-1506.3242690765824,0.0
L1,2,-1440.5114304784502,65.81
L2,2,-1377.0318859940305,129.29
L1+L2,3,-1375.0336676801326,131.29
L3,2,-1316.988596906158,189.34
L1+L3,3,-1315.0160816795192,191.31
L2+L3,3,-1314.9999761541576,191.32
L1+L2+L3,4,-1313.0256336041953,193.3
L4,2,-1252.1143980202612,254.21
L1+L4,3,-1250.4557099526826,255.87
L2+L4,3,-1250.2769192490434,256.05
L1+L2+L4,4,-1248.679308455695,257.64
L5,2,-1187.2834488479496,319.04
L2+L5,3,-1185.5316357547433,320.79
L1+L5,3,-1185.2755727904585,321.05
L1+L2+L5,4,-1183.5390569436915,322.79
L6+L3,3,-1125.3472333844386,380.98
L6(=same_mo_-1yr),2,-1124.2830304277807,382.04
L6+L4,3,-1123.6633290289578,382.66
L1+L6+L3,4,-1123.4563492053642,382.87
L6+L5,3,-1122.3866544380967,383.94
L2+L6,3,-1122.2972229824136,384.03
L6+L2,3,-1122.2972229824136,384.03
L6+L1,3,-1122.2883939312596,384.04
L1+L6,3,-1122.2883939312596,384.04
L1+L6+L4,4,-1122.0517283622721,384.27
L1+L6+L5,4,-1120.3887715369947,385.94
L1+L6+L2,4,-1120.306358852554,386.02
L1+L2+L6,4,-1120.306358852554,386.02
L7,2,-1068.1641322667003,438.16
L1+L7,3,-1065.7535610781224,440.57
L2+L7,3,-1065.7112075520088,440.61
L6+L7,3,-1065.6187880148857,440.71
L1+L2+L7,4,-1063.7887948973075,442.54
L1+L6+L7,4,-1063.692182927807,442.63
L1+L2+L6+L7,5,-1061.7209275178873,444.6
L8,2,-997.7930422871312,508.53
L1+L8,3,-995.9140811215061,510.41
L6+L8,3,-995.8923499624028,510.43
L2+L8,3,-995.7890094236514,510.54
L1+L6+L8,4,-994.0270132989087,512.3
L1+L2+L8,4,-993.9149796718119,512.41
L9,2,-934.3456096001739,571.98
L6+L9,3,-932.4478025342189,573.88
L2+L9,3,-932.3693226031811,573.95
L1+L9,3,-932.349514592708,573.97
L1+L6+L9,4,-930.4551912699436,575.87
L1+L2+L9,4,-930.375701773205,575.95
L10,2,-875.378806449574,630.95
L6+L10,3,-873.2757008111948,633.05
L1+L10,3,-873.2697437306699,633.05
L2+L10,3,-873.2671957635811,633.06
L1+L6+L10,4,-871.2857348364774,635.04
L1+L2+L10,4,-871.2837723411085,635.04
L11,2,-807.6934209765237,698.63
L6+L11,3,-805.7417491389482,700.58
L1+L11,3,-805.7405876011835,700.58
L2+L11,3,-805.6951627786497,700.63
L1+L6+L11,4,-803.8207209916286,702.5
L1+L2+L11,4,-803.7446272033885,702.58
L1+L6+L7+L12,5,-745.7734344691033,760.55
L12(=same_mo_-2yr),2,-744.7713227537424,761.55
L2+L12,3,-742.8121080714485,763.51
L6+L12,3,-742.7798245703806,763.54
L1+L12,3,-742.7724836181335,763.55
L1+L2+L12,4,-740.8147214151827,765.51
L1+L6+L12,4,-740.7800808515015,765.54
L1+L2+L6+L12,5,-738.8209116342589,767.5
