year,month,day_idx,slot,hours_elapsed,spatial_mean,n_obs,spatial_mean_c
2022,4,0,0,457992.93333333335,238.45634212931992,17940,2.994123754867161
2022,4,0,1,457993.88333333336,238.20559251299534,17891,2.7433741385425776
2022,4,0,2,457994.88333333336,238.4268747501947,17974,2.964656375741953
2022,4,0,3,457995.8,238.52970983748403,18029,3.067491463031274
2022,4,0,4,457996.8,238.60171819240847,17941,3.139499817955709
2022,4,0,5,457997.8,239.05371792656948,17840,3.5914995521167157
2022,4,0,6,457998.8,238.84281741096726,17999,3.3805990365144964
2022,4,0,7,457999.8,238.96835371276117,17992,3.506135338308411
2022,4,1,0,458016.93333333335,239.8692438051619,17358,4.407025430709126
2022,4,1,1,458017.88333333336,240.09211779655092,17164,4.629899422098163
2022,4,1,2,458018.88333333336,240.55683826325833,17291,5.094619888805568
2022,4,1,3,458019.8,240.78080502651295,17350,5.3185866520601905
2022,4,1,4,458020.8,240.83590395400591,17524,5.373685579553154
2022,4,1,5,458021.8,240.84787248294293,17588,5.385654108490172
2022,4,1,6,458022.8,240.80064055967364,17403,5.338422185220878
2022,4,1,7,458023.8,241.0326152342589,17502,5.570396859806152
2022,4,2,0,458040.93333333335,239.20338193236717,17388,3.7411635579144047
2022,4,2,1,458041.88333333336,238.87195233579206,17082,3.409733961339299
2022,4,2,2,458042.88333333336,238.93489422436457,17115,3.472675849911809
2022,4,2,3,458043.8,238.8552552943242,17090,3.3930369198714345
2022,4,2,4,458044.8,238.59410986092286,16969,3.1318914864700957
2022,4,2,5,458045.8,239.29892436024844,16905,3.8367059857956747
2022,4,2,6,458046.8,239.20963791333372,17377,3.747419538880962
2022,4,2,7,458047.8,239.54196209436523,17676,4.0797437199124715
2022,4,3,0,458064.93333333335,238.21275221702075,16662,2.7505338425679895
2022,4,3,1,458065.88333333336,238.15079222209133,16975,2.6885738476385654
2022,4,3,2,458066.88333333336,238.36594254804893,17170,2.9037241735961743
