year,month,model_variant,model_label,parameter,n,mean,median,sd,p10,p90
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,sigmasq,30,16.650267,14.196893,6.780113,10.684472,26.762524
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,sigmasq,30,12.468670,10.829829,4.713440,8.129842,19.913972
2024,7,matern_s03,Matern s=0.3 nugget0,sigmasq,30,11.451379,10.245700,3.634668,7.779619,16.281856
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,range_lat,30,0.135362,0.115243,0.068839,0.070616,0.217160
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,range_lat,30,0.228133,0.199015,0.102158,0.129528,0.346330
2024,7,matern_s03,Matern s=0.3 nugget0,range_lat,30,0.257851,0.241219,0.097538,0.141397,0.389553
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,range_lon,30,0.169057,0.145140,0.075620,0.093870,0.287252
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,range_lon,30,0.285698,0.250505,0.112357,0.165675,0.463571
2024,7,matern_s03,Matern s=0.3 nugget0,range_lon,30,0.323911,0.293572,0.117551,0.203704,0.505896
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,range_time,30,0.876220,0.713575,0.444291,0.496688,1.517176
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,range_time,30,1.484538,1.248534,0.666112,0.872098,2.460778
2024,7,matern_s03,Matern s=0.3 nugget0,range_time,30,1.692499,1.629813,0.519431,1.085476,2.332544
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,advec_lat,30,0.000460,0.001802,0.024276,-0.021677,0.024510
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,advec_lat,30,0.000417,0.001798,0.024189,-0.021357,0.024350
2024,7,matern_s03,Matern s=0.3 nugget0,advec_lat,30,0.000218,0.001322,0.022840,-0.018728,0.022597
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,advec_lon,30,-0.114347,-0.066588,0.123710,-0.290263,0.001117
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,advec_lon,30,-0.114358,-0.066569,0.122767,-0.288486,0.000697
2024,7,matern_s03,Matern s=0.3 nugget0,advec_lon,30,-0.113332,-0.061340,0.124068,-0.284082,0.000978
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,nugget,30,0.000000,0.000000,0.000000,0.000000,0.000000
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,nugget,30,0.000000,0.000000,0.000000,0.000000,0.000000
2024,7,matern_s03,Matern s=0.3 nugget0,nugget,30,0.000000,0.000000,0.000000,0.000000,0.000000
