year,month,model_variant,model_label,direction,frequency_band,bin_idx_min,bin_idx_max,k_mid_mean,n_bins,ratio_I_over_EI_mean,ratio_I_over_EI_median,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_median,ratio_EI_over_continuous_mean,ratio_EI_over_continuous_median,whitened_ratio_mean,data_spectrum_mean,expected_spectrum_mean,expected_spectrum_profile_mean,continuous_spectrum_mean,continuous_spectrum_profile_mean
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,diag,high_frequency_band,64,79,12.424306,14,0.872317,0.862640,0.888385,0.874566,1.028284,1.019377,0.888219,0.049140,0.056114,0.055129,0.054600,0.053661
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,diag,low_frequency_bins_1_5,1,5,0.605160,4,0.713072,0.684184,0.725826,0.690846,1.016454,1.010518,1.065311,17.311121,23.886981,23.354913,23.178287,22.671013
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,diag,lowest_frequency_bin,0,0,0.086451,1,1.219012,0.931522,1.240944,0.967648,0.863174,0.863951,3.545390,376.391497,689.624869,673.003270,1944.019869,1896.196888
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,diag,mid_frequency_band,28,43,6.224503,16,0.940997,0.917718,0.958004,0.932220,1.029176,1.019836,0.954895,0.099501,0.105939,0.104029,0.102968,0.101146
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,lat,high_frequency_band,64,79,10.250947,12,2.769755,2.028252,2.818512,2.059359,13758081410001842815202496278272093506340276737234488709164570251961979261959676859430016237846341972964737125618911313049378590073172200986965642554033598099691100541313272185327476096591319882874660914850946521504426885525183326985915077282601617539642417940398289274275184359049319565385202139136.000000,4.140000,4.512649,0.466928,0.195075,0.190861,0.038574,0.038102
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,lat,low_frequency_bins_1_5,1,5,0.497159,4,1.122032,0.921521,1.143649,0.941322,1.814928,1.763797,1.587367,50.242656,49.792564,48.708676,27.439570,26.885042
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,lat,lowest_frequency_bin,0,0,0.071023,1,0.244589,0.093372,0.253760,0.093932,0.301873,0.305351,0.333786,483.171363,1629.205895,1589.955924,5444.386675,5310.545943
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,lat,mid_frequency_band,28,43,5.089962,12,2.268732,1.643099,2.307288,1.669770,6083542626529793286112446310819616088344976097215458638983473107161992324398818297054265114181346023962071051447248703078770727412456666502439785555741419612272740635682397520608584134482685366061525194377704410832399179238888242985871244522142090318562499980844015627330712731544228005442794553344.000000,2.925626,2.234696,0.750600,0.361562,0.354105,0.107545,0.106107
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,lon,high_frequency_band,64,79,7.097934,16,0.944447,0.901707,0.959547,0.908062,2.292732,1.975756,1.034359,0.119335,0.133923,0.131104,0.060614,0.059606
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,lon,low_frequency_bins_1_5,1,5,0.345038,5,1.192486,1.040701,1.211196,1.051796,1.280753,1.288614,2.247967,98.206471,74.678926,72.885845,62.444151,60.919074
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,lon,lowest_frequency_bin,0,0,0.049291,1,0.244589,0.093372,0.253760,0.093932,0.301873,0.305351,0.333786,483.171363,1629.205895,1589.955924,5444.386675,5310.545943
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,lon,mid_frequency_band,28,43,3.548967,16,1.113486,0.913964,1.132093,0.925355,1.828299,1.689321,1.022138,0.360213,0.327276,0.320279,0.180824,0.177475
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,norm,high_frequency_band,64,79,12.449007,16,0.879236,0.879160,0.895325,0.893341,8325699426569302558590108427591097123040155446963697936034461757194101227778329072891005376478151187880697591222085353294252659016535281124575789568311793050001971860786717656199076097462706792821906928313215478593858045703777930437563903235825349665163726703167179038375845544523346345304522752.000000,1.019880,0.896406,0.050575,0.057240,0.056237,0.055466,0.054515
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,norm,low_frequency_bins_1_5,1,5,0.605160,5,0.981487,0.937569,0.998646,0.952474,1.140341,1.105384,1.280185,24.530918,23.753031,23.220758,20.053899,19.613440
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,norm,lowest_frequency_bin,0,0,0.086451,1,1.219012,0.931522,1.240944,0.967648,0.863174,0.863951,3.545390,376.391497,689.624869,673.003270,1944.019869,1896.196888
2024,7,gc_a08_b05,GC a=0.8 b=0.5 nugget0,norm,mid_frequency_band,28,43,6.224503,16,1.029853,1.027842,1.049063,1.049833,65298125380988054215847298189599275081560472063790175199314847329001452331264444654821461678945642656722128928228147398134108579693394875768604087089657640779772126776163817842447636232416777559378384655348155834017724966352887279654281078806894860450676605232737341650986635972426850603729158144.000000,1.071467,1.048360,0.111639,0.107889,0.105905,0.100435,0.098646
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,diag,high_frequency_band,64,79,12.424306,14,0.882941,0.869025,0.888701,0.875605,1.021063,1.015208,0.888369,0.049076,0.055370,0.055055,0.054248,0.053948
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,diag,low_frequency_bins_1_5,1,5,0.605160,4,0.850575,0.738810,0.855154,0.735152,0.995148,0.996187,1.127294,17.164581,18.561929,18.391319,18.654949,18.486752
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,diag,lowest_frequency_bin,0,0,0.086451,1,2.084230,1.729309,2.094099,1.752482,0.767349,0.772736,3.940411,261.841746,240.944194,238.281100,513.603490,507.652770
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,diag,mid_frequency_band,28,43,6.224503,16,0.942853,0.924354,0.948645,0.923115,1.021140,1.015064,0.945551,0.099311,0.105551,0.104921,0.103390,0.102789
2024,7,gc_a08_b1,GC a=0.8 b=1 nugget0,lat,high_frequency_band,64,79,10.250947,12,4.727308,3.699448,4.758228,3.698163,2.048053,1.745580,4.951712,0.461033,0.107201,0.106407,0.055623,0.055384
